Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag
6935,0.5817610974360755,0.8223143139563418,0.0345763967428571,3.201459584982944,495816.0,450896.0,9.616209030151367,9.801051139831545,BS_manning003/E01267N3753E01646N3535-BS-M809_E01470N3715_D144_S067D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01470N3715_D144_S067D30R270_A006995_S075,1.39,13,30.0,2.125693486896365e-09,2.969,1.202,495816,9.616,14.7066,37.1526,37151470,237.0,2.969,0.0,2.9547139467859476e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(1.0, 2.0]",test,8.0933
4734,0.5790533983290922,0.7555261584028297,0.0919113681510226,1.868875271784376,260608.0,298778.0,12.71871280670166,10.513242721557615,BS_manning003/E01267N3753E01646N3535-BS-M792_E01530N3737_D010_S067D70R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01530N3737_D010_S067D70R270_A004781_S062,1.86,13,30.0,1.956241466328283e-09,3.678,-2.139,260610,12.719,15.3075,37.3774,37371530,1315.0,3.678,0.0,3.638609127370606e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(1.0, 2.0]",test,7.928
5942,0.5744396625581091,0.8558338909997992,0.0332477618212548,3.1698187595533627,478108.0,412532.0,17.250255584716797,16.929004669189453,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S157D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S157D70R270_A006995_S075,3.1,22,30.0,7.82408104530875e-10,2.311,0.938,478108,17.25,15.3075,37.3774,37371530,1315.0,2.311,0.0,2.4254651240457136e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(3.0, 99.0]",test,8.0933
12703,0.5716428174764202,0.8443332700975346,0.0372023342573719,2.8605064107249034,455891.0,466037.0,9.974372863769531,9.45263671875,BS_manning003/E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S337D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S337D30R270_A006995_S075,1.44,21,30.0,2.370475229548085e-09,4.13,-0.387,455891,9.974,15.5157,36.9278,36921551,1188.0,4.13,0.0,3.4134843305492423e-09,1.8674136321195144e-05,1960.0,"36.857,15.342","(1.0, 2.0]",train,8.0933
850,0.5654354439671759,0.0765213079627913,0.7011096300580096,0.8690123784286881,134156.0,60533.0,5.849747657775879,3.8068227767944336,BS_manning003/E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S157D70R270_A003139_S050,E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S157D70R270_A003139_S050,1.13,12,24.0,6.766836303671397e-09,2.99,-1.74,134156,5.85,15.0245,37.3774,37371502,919.0,2.99,0.0,7.646525023148677e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(1.0, 2.0]",test,7.7453
13075,0.55843769461076,0.659051256445887,0.0675513737779959,1.7310300508357412,347422.0,412331.0,7.935586929321289,9.38743782043457,BS_manning003/E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S157D30R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S157D30R270_A004781_S062,1.04,15,30.0,7.208997282075884e-09,2.857,1.864,347422,7.936,15.2345,36.9278,36921523,927.0,2.857,0.0,7.49735717335892e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,7.928
4155,0.5534782198570276,0.8578717607469623,0.0432214672136903,2.698359566285189,346608.0,358828.0,11.900672912597656,10.433547973632812,BS_manning003/E01267N3753E01646N3535-BS-M792_E01530N3737_D010_S067D50R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01530N3737_D010_S067D50R270_A004781_S062,1.22,14,30.0,6.689945713921858e-09,3.623,-1.135,346616,11.901,15.3075,37.3774,37371530,1315.0,3.623,0.0,8.161733770984666e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(1.0, 2.0]",train,7.928
9218,0.5531251430835943,0.8499664123709264,0.037036288025628,2.992011315172404,437470.0,464428.0,15.832481384277344,9.502121925354004,BS_manning003/E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S247D50R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S247D50R270_A004781_S062,1.41,28,30.0,1.4427184633326753e-08,3.59,0.916,437470,15.832,15.0245,37.3774,37371502,919.0,3.59,0.0,2.034233033299072e-08,1.8674136321195144e-05,919.0,"37.157,14.742","(1.0, 2.0]",test,7.928
8580,0.5521122886569797,0.1374513153052732,0.6946303244838414,0.8539916312312885,84992.0,68022.0,6.837145805358887,4.027426719665527,BS_manning003/E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S157D70R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01523N3692_D010_S157D70R270_A004781_S062,1.33,34,24.0,3.5075609256796874e-09,3.724,-2.12,84992,6.837,15.2345,36.9278,36921523,927.0,3.724,0.0,4.665056031153985e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,7.928
9974,0.550149996906218,0.5700226734223376,0.0993745914927951,1.4393293320022478,310065.0,406483.0,7.404958724975586,7.711261749267578,BS_manning003/E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S067D90R270_A012497_S042,E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S067D90R270_A012497_S042,1.51,29,12.6,7.708910278500291e-10,2.105,-2.102,310065,7.405,15.3446,37.6022,37601534,569.0,2.105,0.0,1.164045452053544e-09,1.8674136321195144e-05,575.0,"37.457,15.342","(1.0, 2.0]",test,8.0933
