,mse,r2,g,l2n,true,pred,truemax,predmax,id
11636,0.002793622371283196,0.7883802038853689,0.08941577830090908,0.11555471750723087,10512.0,14637.0,2.0977094173431396,2.029784917831421,BS_manning003/E01267N3753E01646N3535-BS-M774_E01516N3647_D107_S247D50R090_A003139_S050
11637,0.007256161834768031,0.8220163411541861,0.12083238733331225,0.2034024667597585,16272.0,13152.0,4.363803386688232,2.2851779460906982,BS_manning003/E01522N3585E03578N2685-BS-M754_E01878N3355_D010_S067D70R090_A001972_S039
11638,0.0023813057699407715,0.46553184324407604,0.2074573237597913,0.06696864874948102,6319.0,10656.0,1.8452848196029663,1.3277243375778198,BS_manning003/E01267N3753E01646N3535-BS-M680_E01530N3737_D051_S337D50R270_A000357_S016
11639,0.0036760358209776784,0.8272177448783272,0.07775768106008396,0.14668950913126627,11143.0,16312.0,4.124161243438721,3.256716012954712,BS_manning003/E01522N3585E03578N2685-BS-M754_E01692N3535_D010_S247D50R270_A001972_S039
11640,0.045577900251753956,0.5416564479338375,0.1327517930163291,0.3211796244420522,45495.0,57521.0,4.7796783447265625,6.960258960723877,BS_manning003/E01267N3753E01646N3535-BS-M774_E01551N3692_D107_S337D10R270_A003139_S050
11641,0.004469314152826754,0.8950172765071931,0.05507866022568231,0.20845971464766988,19188.0,20332.0,3.290663003921509,2.746004104614258,BS_manning003/E01470N3877E01631N3641-BS-M754_E01559N3737_D140_S022D10R090_A003524_S022
11642,0.0019876696585684733,0.5305869762042756,0.2762692730508637,0.06521955472743857,5048.0,7807.0,1.7781169414520264,1.1566969156265259,BS_manning003/E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S157D10R090_A001180_S030
11643,0.0015952771049478945,-0.8296044963761822,0.42141342732901377,0.029586626819176943,3730.0,8090.0,0.8385363221168518,0.9902199506759644,BS_manning003/E01470N3877E01631N3641-BS-M680_E01587N3737_D075_S157D50R270_A000638_S009
11644,0.009724938257653234,0.9160968178271738,0.03733871935141597,0.3466976278703009,42209.0,41780.0,4.474759101867676,4.4351115226745605,BS_manning003/E01470N3877E01631N3641-BS-M792_E01513N3805_D010_S157D10R090_A008541_S034
11645,0.006730452332131657,0.9106405714895554,0.04314067717684733,0.27803596054591695,28267.0,33020.0,4.151704788208008,3.5670487880706787,BS_manning003/E01267N3753E01646N3535-BS-M792_E01491N3670_D125_S067D90R090_A004781_S062
11646,0.003284482179419037,0.9389395986809188,0.034026131107454005,0.23399742468149984,20477.0,17717.0,4.546908855438232,3.866438388824463,BS_manning003/E01522N3585E03578N2685-BS-M774_E01886N3400_D010_S067D30R090_A003139_S050
11647,0.001997563381634382,0.5574315623366088,0.17641910121886917,0.06743096964595682,6569.0,10646.0,1.5127208232879639,1.2934449911117554,BS_manning003/E01267N3753E01646N3535-BS-M732_E01551N3692_D142_S157D30R090_A001180_S030
11648,0.31745297780318865,0.6512822150521028,0.16128015210938607,1.0449342533145878,191531.0,91547.0,17.982688903808594,12.434700965881348,BS_manning003/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S067D70R090_A006995_S075
11649,0.0018225973007819168,-0.8888712770266538,0.4260933598801485,0.031123134750243323,3873.0,8427.0,0.8444320559501648,1.0557401180267334,BS_manning003/E01446N4259E02038N3783-BS-M732_E01985N3872_D010_S292D30R090_A001180_S030
11650,0.002183071781513792,0.8698358149117847,0.06864745277530104,0.13018755437563118,9983.0,12541.0,2.37374210357666,1.9587780237197876,BS_manning003/E01522N3585E03578N2685-BS-M754_E01859N3400_D010_S247D30R090_A001972_S039
11651,0.0025792380320847066,0.6770777662939373,0.20411823845378052,0.08966452181810305,7943.0,8839.0,2.2819771766662598,1.2768592834472656,BS_manning003/E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S157D70R270_A006995_S075
11652,0.0024972001304606867,0.5115858806804305,0.18050416702193672,0.07180497756546639,7143.0,11604.0,1.7607347965240479,1.4472417831420898,BS_manning003/E01598N4052E01840N3892-BS-M774_E01731N3895_D010_S112D30R090_A005608_S028
11653,0.07901951455997464,0.970701516963358,0.005809416552047808,2.5529257648629633,428008.0,433067.0,9.120291709899902,10.59079360961914,BS_manning003/E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S337D30R270_A006995_S075
11654,0.001514965514897629,0.7244111766606145,0.13980255302695688,0.07441580519980363,6856.0,9553.0,1.765122890472412,1.2477422952651978,BS_manning003/E01548N3896E01854N3659-BS-M707_E01647N3760_D010_S157D50R090_A001194_S013
11655,0.006095286408162357,0.8525739832677843,0.07150207959086774,0.2050316889596966,16993.0,18341.0,3.5855906009674072,3.0753767490386963,BS_manning003/E01267N3753E01646N3535-BS-M754_E01551N3692_D010_S292D50R090_A001972_S039
11656,0.011710360510543633,0.9212341023589063,0.038610040139885116,0.3928801038330453,49427.0,45588.0,6.282600402832031,7.236470699310303,BS_manning003/E01267N3753E01646N3535-BS-M774_E01575N3670_D107_S067D30R270_A003139_S050
11657,0.0016194705730043476,0.20841760757312133,0.27405241252458,0.04536046075594031,5532.0,8836.0,1.276471495628357,1.0869237184524536,BS_manning003/E01267N3753E01646N3535-BS-M707_E01530N3737_D220_S067D50R090_A000668_S023
11658,0.12486521638709053,0.8824042667942471,0.054073188265548744,1.1447349479007554,198886.0,159020.0,15.282482147216797,10.986922264099121,BS_manning003/E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S067D30R090_A006995_S075
11659,0.007490901856116409,0.76472260714484,0.11018381097171848,0.17956614201111845,13141.0,16295.0,5.788683891296387,2.8665542602539062,BS_manning003/E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S022D50R270_A001180_S030
11660,0.00802696602879567,0.8026129502149036,0.08225954088307341,0.2033352434838501,17023.0,21686.0,3.95150089263916,4.712979316711426,BS_manning003/E01522N3585E03578N2685-BS-M774_E01905N3355_D010_S247D50R090_A003139_S050
11661,0.08296551499516433,0.8965393393591655,0.045242683175924836,0.9639598184885292,157051.0,123243.0,16.368528366088867,14.772539138793945,BS_manning003/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S202D50R270_A006995_S075
11662,0.1998678904548645,0.45226063848130493,0.40690358286627515,0.6308981719816174,89387.0,34812.0,7.60998010635376,5.969026565551758,BS_manning003/E01108N3882E01527N3690-BS-M809_E01506N3760_D010_S292D30R090_A012497_S042
