,Train_size,RP,Site,True,Pred,Bias,Sigma
0,225,1000.0,1,0.0,0.0,0.0,0.0
1,225,10000.0,1,0.0,0.5677318177682157,0.5677318177682157,0.03208856628009071
2,225,100000.0,1,2.410258236361121,3.854325917103301,1.44406768074218,2.3511755877938967
3,225,1000000.0,1,7.4243857134306115,7.0354025207111555,-0.38898319271945603,2.3811905952976495
4,225,10000000.0,1,7.433682631739302,7.638587909197155,0.20490527745785325,2.1809777336095477
5,225,100000000.0,1,9.204977452232926,9.272309977929586,0.06733252569665993,2.0610305152576274
6,225,1000000000.0,1,9.433373685032144,10.802101957644082,1.3687282726119374,2.061030515257629
7,225,1000.0,2,0.0,0.0,0.0,0.0
8,225,10000.0,2,0.7350225362935461,0.9699660222374277,0.2349434859438816,0.01553504325403987
9,225,100000.0,2,2.2770984305471704,2.727867653329544,0.45076922278237364,0.7216964208957917
10,225,1000000.0,2,4.117844824408092,4.806389905904812,0.68854508149672,0.8904707569799619
11,225,10000000.0,2,5.421263629077283,6.158814322734236,0.7375506936569529,1.0205102551275642
12,225,100000000.0,2,6.6891201351536544,7.128150664656792,0.43903052950313715,1.0297703379649548
13,225,1000000000.0,2,7.022159145917837,8.298375378298001,1.2762162323801638,3.3016508254127057
14,225,1000.0,3,0.0,0.0,0.0,0.0
15,225,10000.0,3,0.0,0.0,0.0,0.0
16,225,100000.0,3,0.8895605648252498,1.2193186293284224,0.3297580645031726,0.6806320178786638
17,225,1000000.0,3,2.6678405640613527,3.4943549148540587,0.826514350792706,0.7003501750875438
18,225,10000000.0,3,4.362668852919924,4.251512659494151,-0.11115619342577343,0.7503751875937965
19,225,100000000.0,3,6.160423136706249,4.996227113423221,-1.1641960232830275,0.7423638403449289
20,225,1000000000.0,3,6.37644754044327,5.3189931874028895,-1.0574543530403808,0.6803401700850422
21,225,1000.0,4,0.0,0.0,0.0,0.0
22,225,10000.0,4,1.1373701959312041,1.4664687917759862,0.32909859584478207,0.6454073816077226
23,225,100000.0,4,2.974338182902808,3.2049032717363626,0.23056508883355464,0.7687262739449023
24,225,1000000.0,4,4.582247778434207,5.445699439171119,0.8634516607369127,0.8004002001000492
25,225,10000000.0,4,6.349771234316684,6.256004948116047,-0.09376628620063698,0.8004002001000501
26,225,100000000.0,4,7.722310942983323,6.964650898674787,-0.757660044308536,0.8004002001000501
27,225,1000000000.0,4,8.993180763905627,7.299983682650513,-1.6931970812551143,0.8004002001000501
28,225,1000.0,5,0.6755648752224959,1.1761931448863243,0.5006282696638285,0.5531300632280125
29,225,10000.0,5,3.060441298481421,3.3877531165540917,0.32731181807267085,0.6877415809737784
30,225,100000.0,5,4.940173073431346,5.36266654960752,0.4224934761761743,0.98221193278036
31,225,1000000.0,5,6.714517771123502,7.966884355764624,1.2523665846411225,1.2406263731972649
32,225,10000000.0,5,8.618955803473286,9.056333656276513,0.43737785280322683,1.2406203101550783
33,225,100000000.0,5,10.08349153327847,9.88611162903997,-0.19737990423850071,1.2406203101550766
34,225,1000000000.0,5,11.154261304175764,10.332154892935305,-0.8221064112404584,1.2506253126563287
35,225,1000.0,6,0.0,0.0,0.0,0.0
36,225,10000.0,6,0.0,0.0,0.0,0.0
37,225,100000.0,6,1.7785537275472387,2.0449791719949233,0.26642544444768457,1.1704988710182591
38,225,1000000.0,6,4.048510634085829,4.9370697733035955,0.888559139217767,0.8704352176088044
39,225,10000000.0,6,6.1630088341310225,6.51568292412645,0.3526740899954275,1.0005002501250626
40,225,100000000.0,6,7.902834526671923,7.637060644813316,-0.26577388185860773,1.3006503251625805
41,225,1000000000.0,6,8.21279056880808,7.662221938068008,-0.5505686307400719,1.3006503251625805
42,225,1000.0,7,0.0,0.0,0.0,0.0
43,225,10000.0,7,0.6403835375201357,1.1461486531014653,0.5057651155813296,0.75507293180199
44,225,100000.0,7,3.2107319253467477,3.759382493967944,0.5486505686211962,1.20776986863847
45,225,1000000.0,7,5.093057151770431,5.74987158467942,0.6568144329089893,1.2106053026513255
46,225,10000000.0,7,7.344897502240284,7.801882395960998,0.4569848937207146,1.890642580190244
47,225,100000000.0,7,8.34303504691091,8.835846122970977,0.49281107606006813,1.8909454727363677
48,225,1000000000.0,7,9.623495921484418,8.998195470410867,-0.6253004510735511,1.8809404702351173
49,225,1000.0,8,0.0,0.0,0.0,0.0
50,225,10000.0,8,0.0,0.0,0.0,0.0
51,225,100000.0,8,0.4148781471981973,0.84227185825127,0.4273937110530727,0.27144588709161344
52,225,1000000.0,8,2.4659414871525014,2.585209545205282,0.11926805805278073,0.7703851925962981
53,225,10000000.0,8,4.925483006755997,4.351611800920074,-0.573871205835923,1.070535267633817
54,225,100000000.0,8,6.10162515652854,5.143422077533453,-0.958203078995087,1.4415644787094637
55,225,1000000000.0,8,7.112240293670511,5.35637455995564,-1.755865733714871,1.2653271179823031
56,225,1000.0,9,0.0,0.0,0.0,0.0
57,225,10000.0,9,1.1632400868571453,1.0731284191758736,-0.09011166768127166,0.4497884959243663
58,225,100000.0,9,2.7466548370440473,2.857356193502117,0.11070135645806944,0.5102551275637821
