,Train_size,RP,Site,True,Pred,Bias,Sigma
0,228,1000.0,1,0.0,0.0,0.0,0.0
1,228,10000.0,1,0.0,0.0,0.0,0.0
2,228,100000.0,1,0.935136269438345,0.8878506939909152,-0.04728557544742984,0.6625653964526783
3,228,1000000.0,1,3.6790206118969158,3.685068811437904,0.006048199540988453,1.4407203601800895
4,228,10000000.0,1,7.191610864315678,7.769752629111501,0.5781417647958227,2.511255627813906
5,228,100000000.0,1,9.2129017221681,9.87115369846191,0.6582519762938102,2.5112556278139078
6,228,1000000000.0,1,10.56025115111922,10.677924236170275,0.11767308505105589,2.5112556278139078
7,228,1000.0,2,0.0,0.4940344654428131,0.4940344654428131,0.3601368972923235
8,228,10000.0,2,2.3625700055125134,2.3915177736593414,0.02894776814682798,0.4172494059069316
9,228,100000.0,2,3.6976422985458473,3.9006390246262854,0.20299672608043817,0.5177429235672864
10,228,1000000.0,2,4.750009408662028,5.027271576292155,0.277262167630127,0.7463789836087615
11,228,10000000.0,2,5.884901235129102,5.740878423321229,-0.14402281180787302,0.7096464816652084
12,228,100000000.0,2,6.658851510462244,6.359366538570798,-0.2994849718914461,0.7087786217573804
13,228,1000000000.0,2,7.6065282620943995,6.840162815099907,-0.7663654469944925,0.7103551775887942
14,228,1000.0,3,0.0,0.0,0.0,0.0
15,228,10000.0,3,0.3369153710234869,0.3975747602236161,0.0606593892001292,0.24440728129437778
16,228,100000.0,3,1.1357483244003712,1.090645835745054,-0.0451024886553173,0.33594063741718094
17,228,1000000.0,3,2.459920202302472,2.822589486287955,0.36266928398548304,0.6140551534556673
18,228,10000000.0,3,4.3939462927390185,4.442940903310637,0.04899461057161858,0.6361942502308287
19,228,100000000.0,3,5.974077437641258,5.51465338169733,-0.459424055943928,0.6703351675837919
20,228,1000000000.0,3,5.982100089937212,5.541022535151244,-0.4410775547859682,0.6703351675837919
21,228,1000.0,4,0.0,0.0,0.0,0.0
22,228,10000.0,4,0.5825024936169365,0.5951020694487827,0.012599575831846233,0.3935454665983996
