ID,P05,P16,P50,P84,P95,Pmean
E01267N3753E01646N3535-BS-M707_E01502N3737_D220_S247D30R090_A000668_S023,1.153825385752548e-06,1.9379279040321603e-06,3.7516288337300997e-06,8.180812522391327e-06,1.4433482943883791e-05,5.112703163451752e-06
E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D30R090_A012497_S042,0.0,0.0,1.4005656495537999e-11,2.521343975661439e-07,8.587315038742399e-07,1.603423838104217e-07
E01267N3753E01646N3535-BS-M732_E01502N3737_D142_S067D50R090_A001180_S030,6.155083244548912e-08,1.0518972609812512e-07,2.246248144230375e-07,5.662914076090139e-07,1.1000776796072204e-06,3.4648638095910046e-07
E01267N3753E01646N3535-BS-M680_E01502N3737_D010_S247D30R090_A000357_S016,1.6630698529875001e-06,2.6881674968755197e-06,5.1366755194050005e-06,9.596815589662117e-06,1.553807901430799e-05,6.320906423054127e-06
E01267N3753E01646N3535-BS-M707_E01502N3737_D010_S067D50R090_A000668_S023,1.203189436238394e-07,2.025325130462712e-07,4.137400646973e-07,8.773739046261504e-07,1.6435238406329698e-06,5.661961876953588e-07
E01267N3753E01646N3535-BS-M707_E01527N3715_D115_S067D50R090_A000668_S023,1.172090338719422e-06,2.0464780178236383e-06,3.9976235158925e-06,8.796212113935059e-06,1.548536351274676e-05,5.3944995571671295e-06
E01267N3753E01646N3535-BS-M680_E01502N3737_D092_S247D30R090_A000357_S016,1.6630698529875001e-06,2.6881674968755197e-06,5.1366755194050005e-06,9.596815589662117e-06,1.553807901430799e-05,6.320906423054127e-06
E01889N4173E02097N3847-BS-M754_E02038N3850_D140_S337D30R090_A003524_S022,8.11656053119323e-08,1.300819759399872e-07,1.0988314472060999e-06,1.769917045183416e-06,2.17625967630153e-06,1.0095571684577615e-06
E01108N3882E01527N3690-BS-M809_E01506N3760_D010_S247D30R090_A012497_S042,0.0,0.0,3.09825230462e-10,4.2602799896408e-07,6.381434071365077e-07,1.4898128575148253e-07
E01108N3882E01527N3690-BS-M809_E01445N3737_D010_S247D30R090_A012497_S042,0.0,0.0,2.32813072071875e-10,3.3260941896699994e-07,5.049605190346874e-07,1.1727333926757299e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D50R090_A001972_S039,6.32773925063575e-09,1.31835721071936e-08,3.9784859226680006e-08,1.313147568439084e-07,2.8590293226368494e-07,8.112251116462004e-08
E01108N3882E01527N3690-BS-M809_E01442N3715_D010_S247D30R090_A012497_S042,0.0,0.0,1.543374838146e-10,2.0905648370970876e-07,3.192969498672799e-07,7.434167105931231e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S202D50R090_A001972_S039,6.32773925063575e-09,1.31835721071936e-08,3.9784859226680006e-08,1.313147568439084e-07,2.8590293226368494e-07,8.112251116462004e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S157D50R090_A003524_S022,4.1557026480354e-09,9.98483663390976e-09,3.304008158688e-08,9.838359170904956e-08,2.0931074053366493e-07,6.222508458642243e-08
