scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
7_PS_2798/0026_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01710N3774_S005,7.2716613,202270,3.51855,TRUE,0.5463637,12.3801941
3_PS_2798/2508_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02426N3465_S002,12.550506,261985,4.524372,TRUE,0.6555583,20.46994199
2_PS_2798/0706_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02122N3652_S001,4.2557955,37929,1.9776504,TRUE,0.29614952,3.911101105
5_PS_2798/2206_E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02206N3569_S003,5.905442,54770,2.564158,TRUE,0.4089448,6.574906249
7_PS_2798/1530_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01723N3765_S002,6.1070776,215202,3.8091662,TRUE,0.5808299,14.50974714
3_PS_2798/0027_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02344N3478_S002,12.556609,205341,4.5031714,TRUE,0.6535185,20.27855266
PS_2798/1686_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01684N3791_S004,6.5035357,142669,3.1457376,TRUE,0.4977225,9.895665048
4_PS_2798/1133_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02337N3493_S002,11.043879,253986,4.3623533,TRUE,0.63972086,19.03012631
3_PS_2798/2360_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01670N3819_S002,6.329928,177973,3.4922302,TRUE,0.54310286,12.19567177
5_PS_2798/1346_E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02351N3465_S003,12.627768,181831,4.164414,TRUE,0.61955386,17.34234396
9_PS_2798/1683_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01783N3758_S004,7.449171,199284,3.9259493,TRUE,0.59394467,15.41307791
9_PS_2798/2724_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01768N3805_S003,6.2498107,153041,3.5966759,TRUE,0.5559013,12.93607753
10_PS_2803/0499_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02441N3439_S001,13.19235,230587,4.688803,TRUE,0.671062,21.98487357
2_PS_2798/0773_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01760N3738_S002,6.469363,181670,3.7892087,TRUE,0.5785485,14.35810257
PS_2798/2678_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S001,7.730165,330934,4.5881557,TRUE,0.66163814,21.05117273
3_PS_2798/2148_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02253N3527_S001,5.074768,46026,2.3382769,TRUE,0.36889592,5.467538861
8_PS_2798/1937_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01715N3697_S003,7.262506,219261,4.363469,TRUE,0.6398319,19.03986171
7_PS_2798/0343_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02441N3439_S005,12.949732,272907,4.885355,TRUE,0.6888961,23.86669348
10_PS_2803/1250_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01725N3727_S003,7.1663756,215078,4.826811,TRUE,0.68366027,23.29810443
