Index	Folder	PID	ID	Source_Region	Type	Scaling	Rupture Model	Rigidity	Mag	Slip Model	Lat	Long	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta
581	8_PS_2798	2344	E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02328N3482_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.88	S002	34.82	23.28	9.646154	147533	3.83908	TRUE	0.58422714	14.73853525
582	2_PS_2798	636	E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02368N3461_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.88	S002	34.61	23.68	4.4801016	34630	1.1902581	TRUE	0.07564116	1.416714345
583	6_PS_2798	397	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01727N3708_S001	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S001	37.08	17.27	5.6244936	132912	3.721785	TRUE	0.5707513	13.85168359
584	6_PS_2798	473	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02159N3618_S002	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.71	S002	36.18	21.59	3.4724445	22636	1.5989327	TRUE	0.2038302	2.556585779
585	2_PS_2798	2324	E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.95	S005	34.65	24.26	8.146193	155719	3.2495625	TRUE	0.5118249	10.55965644
586	8_PS_2798	1765	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01670N3819_S004	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S004	38.19	16.7	6.565747	230812	4.460401	TRUE	0.6493739	19.89517708
587	8_PS_2798	1937	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01715N3697_S003	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S003	36.97	17.15	7.262506	219261	4.363469	TRUE	0.6398319	19.03986171
588	7_PS_2798	884	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02344N3478_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S002	34.78	23.44	11.07287	218057	4.2556033	TRUE	0.62896115	18.11015945
589	PS_2798	755	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02393N3468_S003	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S003	34.68	23.93	2.375886	12322	0.81874996	TRUE	-0.086848706	0.670351497
590	10_PS_2803	325	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01756N3795_S005	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S005	37.95	17.56	5.75619	145031	3.2878172	TRUE	0.5169077	10.80974194
591	PS_2798	1125	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02162N3488_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S002	34.88	21.62	4.8022127	31114	2.062019	TRUE	0.3142927	4.251922356
592	PS_2798	954	E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02168N3560_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.95	S002	35.6	21.68	5.4266753	82196	2.90526	TRUE	0.463185	8.440535668
593	3_PS_2798	405	E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02194N3581_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.95	S004	35.81	21.94	5.1757445	79678	2.2745047	TRUE	0.35688683	5.17337163
594	7_PS_2798	2418	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02344N3478_S005	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S005	34.78	23.44	12.419276	218536	4.1398463	TRUE	0.61698425	17.13832739
595	10_PS_2803	229	E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02226N3538_S004	E02020N3739E02658N3366	PS	Str	PYes	Var	8.95	S004	35.38	22.26	7.5646477	149152	3.1897829	TRUE	0.5037611	10.17471495
596	8_PS_2798	2290	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02294N3487_S003	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.88	S003	34.87	22.94	6.2279587	56949	2.4927647	TRUE	0.39668128	6.21387585
597	3_PS_2798	308	E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02467N3448_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.95	S002	34.48	24.67	8.486578	155011	3.207031	TRUE	0.50610316	10.28504783
598	7_PS_2798	694	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01729N3832_S002	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S002	38.32	17.29	7.047679	233319	3.3253539	TRUE	0.5218379	11.05797856
599	5_PS_2798	911	E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02113N3596_S003	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.61	S003	35.96	21.13	3.357893	20184	1.7569368	TRUE	0.24475613	3.086826919
600	7_PS_2798	421	E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02458N3438_S004	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.95	S004	34.38	24.58	6.8094997	123497	2.9282668	TRUE	0.46661064	8.574746452
601	5_PS_2798	2169	E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01695N3801_S003	E01548N3896E01854N3659	PS	Str	PYes	Hom	8.61	S003	38.01	16.95	5.5092335	118927	3.7872367	TRUE	0.57832247	14.34316182
602	PS_2798	2372	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02321N3496_S002	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.88	S002	34.96	23.21	6.3307557	125733	2.7815068	TRUE	0.44428012	7.736780078
603	2_PS_2798	123	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02232N3550_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S002	35.5	22.32	3.2425733	22954	1.5113002	TRUE	0.17935075	2.284028295
604	5_PS_2798	525	E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02037N3706_S000	E01964N3926E02184N3685	PS	Mur	PYes	Hom	7.74	S000	37.06	20.37	0.93384594	4115	0.2738809	TRUE	-0.56243825	0.075010747
605	5_PS_2798	1797	E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02253N3481_S001	E02020N3739E02658N3366	PS	Str	PYes	Var	8.71	S001	34.81	22.53	5.685685	46720	1.9645197	TRUE	0.2932564	3.859337652
606	7_PS_2798	906	E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02188N3566_S005	E02020N3739E02658N3366	PS	Str	PYes	Var	8.88	S005	35.66	21.88	6.4024043	106643	2.6132321	TRUE	0.417178	6.828982008
607	6_PS_2798	749	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01718N3822_S004	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S004	38.22	17.18	7.441541	258427	3.8609412	TRUE	0.58669317	14.90686695
608	9_PS_2798	2267	E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02144N3587_S001	E02020N3739E02658N3366	PS	Str	PYes	Var	8.88	S001	35.87	21.44	7.718939	105215	2.814402	TRUE	0.44938615	7.920858618
609	5_PS_2798	1346	E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02351N3465_S003	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.95	S003	34.65	23.51	12.627768	181831	4.164414	TRUE	0.61955386	17.34234396
610	10_PS_2803	1024	E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02140N3614_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.88	S002	36.14	21.4	4.270847	46807	2.041775	TRUE	0.31000787	4.168845151
611	8_PS_2798	1386	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S004	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S004	37.97	18.04	7.2111297	252769	3.675861	TRUE	0.56535906	13.51195409
612	10_PS_2803	1421	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02417N3454_S002	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S002	34.54	24.17	7.150552	142268	2.850281	TRUE	0.4548877	8.124101779
613	6_PS_2798	292	E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02318N3471_S001	E02020N3739E02658N3366	PS	Str	PYes	Var	8.95	S001	34.71	23.18	11.114073	200708	3.8368604	TRUE	0.583976	14.72149773
614	7_PS_2798	19	E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02195N3500_S004	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.71	S004	35	21.95	5.0021067	30811	1.9340801	TRUE	0.28647447	3.740665833
615	7_PS_2798	2212	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01703N3706_S001	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S001	37.06	17.03	5.6009536	101926	3.532314	TRUE	0.5480593	12.47724219
616	3_PS_2798	1945	E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01725N3727_S001	E01548N3896E01854N3659	PS	Str	PYes	Var	8.61	S001	37.27	17.25	6.8090277	255825	4.3179703	TRUE	0.63527966	18.64486751
617	7_PS_2798	1541	E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02321N3496_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	8.88	S002	34.96	23.21	5.612443	75690	2.2680957	TRUE	0.3556614	5.144258104
618	7_PS_2798	2575	E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02189N3468_S001	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.61	S001	34.68	21.89	3.8351517	31015	1.9442282	TRUE	0.28874722	3.780023294
619	8_PS_2798	1027	E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01703N3706_S000	E01548N3896E01854N3659	PS	Str	PYes	Var	8.37	S000	37.06	17.03	5.6460123	88715	2.5477786	TRUE	0.4061617	6.491175795
620	4_PS_2798	2081	E02113N3823E02873N3483-PS-Mur_PNo_Hom-M754_E02184N3722_S000	E02113N3823E02873N3483	PS	Mur	PNo	Hom	7.54	S000	37.22	21.84	0.2738061	939	0.05629047	TRUE	-1.2495651	0.003168617
621	5_PS_2798	100	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02441N3439_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S003	34.39	24.41	5.192449	98853	1.5466545	TRUE	0.1893933	2.392140142
