ID	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta	folder	pid	Source_Region	Mag	lon	lat	Location	LocationCount	DepCat	InuCat
2_PS_2798/0390_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01804N3797_S005	7.9805236	328801	3.8352528	True	0.583794	14.70916404	2_PS_2798	0390	E01548N3896E01854N3659	8.61	18.04	37.97	37971804	22.0	5	5
5_PS_2798/1846_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02253N3527_S005	4.638917	22425	1.9480351	True	0.2895968	3.794840751	5_PS_2798	1846	E02020N3739E02658N3366	8.71	22.53	35.27	35272253	77.0	3	2
5_PS_2798/2468_E01849N3766E02950N3220-PS-Mur_PYes_Var-M792_E02002N3682_S000	1.9128366	11313	0.61739933	True	-0.20943384	0.381181933	5_PS_2798	2468	E01849N3766E02950N3220	7.92	20.02	36.82	36822002	6.0	2	2
8_PS_2798/1041_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02478N3458_S004	9.513399	258773	3.9722998	True	0.599042	15.7791657	8_PS_2798	1041	E02020N3739E02658N3366	9.02	24.78	34.58	34582478	9.0	5	5
2_PS_2798/2797_E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02335N3468_S005	10.327266	192512	3.8117127	True	0.5811202	14.52915371	2_PS_2798	2797	E02020N3739E02658N3366	8.88	23.35	34.68	34682335	59.0	5	5
2_PS_2798/2107_E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01669N3676_S000	4.3352866	29375	2.166846	True	0.33582807	4.695221588	2_PS_2798	2107	E01548N3896E01854N3659	8.37	16.69	36.76	36761669	10.0	3	3
4_PS_2798/1907_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01731N3813_S005	6.995201	286051	4.048564	True	0.607301	16.39087046	4_PS_2798	1907	E01548N3896E01854N3659	8.61	17.31	38.13	38131730	20.0	4	5
5_PS_2798/2057_E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02152N3603_S005	8.301832	79597	3.3729517	True	0.52801013	11.37680317	5_PS_2798	2057	E02020N3739E02658N3366	8.88	21.52	36.03	36032152	42.0	5	5
PS_2798/0138_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02313N3510_S001	7.147343	282942	4.044359	True	0.60684973	16.35683972	PS_2798	0138	E02020N3739E02658N3366	9.02	23.13	35.1	35102313	53.0	4	5
7_PS_2798/0884_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02344N3478_S002	11.07287	218057	4.2556033	True	0.62896115	18.11015945	7_PS_2798	0884	E02020N3739E02658N3366	9.02	23.44	34.78	34782344	64.0	5	5
3_PS_2798/1982_E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01806N3778_S002	7.1729827	281901	4.9305215	True	0.69289285	24.31004226	3_PS_2798	1982	E01577N3897E01966N3571	8.61	18.06	37.78	37781805	22.0	4	5
