,mse,r2,g,l2n,true,pred,truemax,predmax,id
10080,0.1637038113098303,0.815853985695097,0.08880744574301247,1.01924549989049,54010.0,44481.0,11.229475021362305,9.48288345336914,BS_4-8_manning003/E01108N3882E01527N3690-BS-M809_E01445N3737_D010_S292D30R270_A012497_S042
10081,0.021736904385444497,0.9486495501860034,0.025435984769794806,0.6728908833441108,28310.0,24682.0,7.899954795837402,7.6061906814575195,BS_4-8_manning003/E01522N3585E03578N2685-BS-M809_E01790N3467_D010_S067D50R090_A006995_S075
10082,0.008946209158732541,0.8940750964735648,0.05544488691596938,0.2934295654976171,9875.0,7057.0,6.646748065948486,6.273297309875488,BS_4-8_manning003/E01522N3585E03578N2685-BS-M774_E01798N3512_D010_S022D70R090_A003139_S050
10083,0.02717102252950196,0.9471743458683359,0.027485898926374097,0.7379553608999164,24740.0,18836.0,9.158493995666504,8.69556713104248,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01592N3602_D010_S067D70R270_A006995_S075
10084,0.005461267819502621,0.6167244818863,0.20980905548114215,0.12040326455421314,7231.0,4619.0,3.29632568359375,2.5964813232421875,BS_4-8_manning003/E01446N4259E02038N3783-BS-M792_E01904N3895_D010_S157D50R090_A004781_S062
10085,0.01239285618588656,0.867581561900589,0.055595548935688965,0.31117226926836267,14249.0,14644.0,5.566333293914795,5.704246997833252,BS_4-8_manning003/E01522N3585E03578N2685-BS-M792_E01770N3512_D010_S067D70R090_A004781_S062
10086,0.010004661021619487,0.9405139390086551,0.03164051375810306,0.4189127892097835,16790.0,14089.0,5.855463981628418,5.701754570007324,BS_4-8_manning003/E01522N3585E03578N2685-BS-M809_E02342N3265_D010_S067D50R090_A006995_S075
10087,0.014048321488327516,0.9126691455061466,0.03972751323224,0.40786523958406884,15411.0,14656.0,7.04502534866333,6.979352951049805,BS_4-8_manning003/E01522N3585E03578N2685-BS-M809_E01990N3378_D010_S022D50R090_A006995_S075
10088,0.004730521557076075,0.7988223650535922,0.09302342888336368,0.15434550798732366,5976.0,4779.0,3.6880383491516113,4.00368595123291,BS_4-8_manning003/E01522N3585E03578N2685-BS-M774_E02272N3310_D010_S202D50R270_A003139_S050
10089,0.006890924091312265,0.7565050655735885,0.11654894338681476,0.16917261173468046,6045.0,4722.0,5.288712024688721,4.7460222244262695,BS_4-8_manning003/E01446N4259E02038N3783-BS-M774_E01951N3850_D010_S157D30R270_A003139_S050
10090,0.013805310486838848,0.8713236876575323,0.06507158880864805,0.33234456341812935,13179.0,11192.0,5.649538993835449,5.6494622230529785,BS_4-8_manning003/E01522N3585E03578N2685-BS-M792_E01660N3512_D010_S067D50R270_A004781_S062
10091,0.020819887534083936,0.9449793441228274,0.028268905128460142,0.6318609560812141,23056.0,16657.0,8.098339080810547,8.543364524841309,BS_4-8_manning003/E01522N3585E03578N2685-BS-M809_E01766N3490_D010_S067D50R270_A006995_S075
10092,0.052139029366492166,0.9280841718201271,0.029410138805968544,0.8763159672529378,27355.0,29901.0,13.049314498901367,12.577095031738281,BS_4-8_manning003/E01446N4259E02038N3783-BS-M809_E01923N3850_D010_S157D70R270_A006995_S075
10093,0.006325782182368548,0.766392423805129,0.14963293869614758,0.16566505277548108,6423.0,3298.0,4.28617525100708,2.9509410858154297,BS_4-8_manning003/E01522N3585E03578N2685-BS-M774_E01770N3512_D010_S022D30R090_A003139_S050
10094,0.004220705926641495,0.8451602093426446,0.07825544356957459,0.1662742386863391,7029.0,4680.0,4.193538188934326,3.80008864402771,BS_4-8_manning003/E01522N3585E03578N2685-BS-M774_E01640N3557_D010_S022D50R090_A003139_S050
10095,0.024793567819760474,0.6901705522122894,0.22477096006276198,0.2875761925208234,13792.0,7532.0,5.606098651885986,3.7393550872802734,BS_4-8_manning003/E01889N4173E02097N3847-BS-M809_E01967N3917_D010_S112D70R090_A012497_S042
10096,0.008167810250777608,0.9382795935599375,0.02847553304902406,0.37078273904048853,15139.0,13991.0,5.365649223327637,6.001523017883301,BS_4-8_manning003/E01522N3585E03578N2685-BS-M792_E01813N3445_D010_S067D30R090_A004781_S062
10097,0.05548244577939553,0.95573707586237,0.019890359582529604,1.1646855505249776,37978.0,28021.0,14.597159385681152,15.224053382873535,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S157D90R090_A006995_S075
10098,0.007784964619423469,0.6502072428408008,0.21436975516322354,0.15017530107278695,6344.0,4074.0,4.484560012817383,3.0987627506256104,BS_4-8_manning003/E01470N3877E01631N3641-BS-M774_E01603N3670_D010_S112D90R270_A005608_S028
10099,0.011707964198273113,0.8378613172015864,0.08518460755820823,0.2734796431808622,13707.0,9710.0,4.569197654724121,4.666207790374756,BS_4-8_manning003/E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S157D10R270_A001972_S039
10100,0.003967221105957371,0.6000296801444913,0.2979259380031313,0.10006982611395783,4819.0,1886.0,3.3553926944732666,1.9600961208343506,BS_4-8_manning003/E01446N4259E02038N3783-BS-M792_E01962N3895_D010_S157D30R090_A004781_S062
10101,0.0036915692684181605,0.6444326339130572,0.17656679225076344,0.10248507899497591,5911.0,3100.0,2.6880135536193848,2.678448438644409,BS_4-8_manning003/E01446N4259E02038N3783-BS-M809_E02009N3850_D010_S022D90R270_A006995_S075
10102,0.24216078823111,0.8602782670974837,0.07617201203667934,1.4257133770020614,67587.0,58201.0,18.897415161132812,12.584898948669434,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S112D90R090_A006995_S075
10103,0.013053754500274376,0.9049556934526855,0.04974244117158577,0.3769124150233349,15347.0,10123.0,6.963029384613037,7.150938987731934,BS_4-8_manning003/E01267N3753E01646N3535-BS-M774_E01544N3647_D107_S247D70R270_A003139_S050
10104,0.007686580917083286,0.7313502012687036,0.13750019081641496,0.17066851865511104,8342.0,8198.0,4.201168537139893,2.9344797134399414,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01533N3580_D010_S202D30R090_A006995_S075
10105,0.03821804689658909,0.9427353759941499,0.026726492942368618,0.8504419355745587,34184.0,31532.0,11.773797035217285,9.537237167358398,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S337D10R270_A006995_S075
