Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag
3084,0.1581735599047673,0.925881743329913,0.0343570102492493,1.5909065844631969,60662.0,58539.0,13.799307823181152,12.42135524749756,BS_manning003/E01267N3753E01646N3535-BS-M809_E01544N3647_D010_S202D30R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01544N3647_D010_S202D30R090_A006995_S075,3.75,15,7.7,1.4721451831137683e-09,0.585,0.291,60662,13.799,15.4427,36.4781,36471544,310.0,0.585,0.0,5.5205444366766315e-09,1.8674136321195144e-05,310.0,"36.257,15.342","(3.0, 99.0]",test,8.0933
6277,0.1579640745273422,0.9495003610408356,0.0236386886866526,1.902533271071593,69458.0,57575.0,22.22837829589844,18.298620223999023,BS_manning003/E01267N3753E01646N3535-BS-M809_E01572N3647_D010_S202D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01572N3647_D010_S202D50R270_A006995_S075,6.31,19,8.0,1.738798042195649e-09,-0.05,-0.082,69458,22.228,15.7223,36.4781,36471572,380.0,0.082,1.0,1.0971815646254545e-08,1.8674136321195144e-05,380.0,"36.257,15.642","(3.0, 99.0]",test,8.0933
2128,0.157874328118401,0.4408496800405899,0.3255744655516456,0.5427091820800255,15021.0,21867.0,7.569968223571777,7.110076904296875,BS_manning003/E01267N3753E01646N3535-BS-M774_E01470N3715_D010_S112D50R270_A003139_S050,E01267N3753E01646N3535-BS-M774_E01470N3715_D010_S112D50R270_A003139_S050,0.56,13,8.0,1.6865904390131096e-08,3.011,-0.845,15021,7.57,14.7066,37.1526,37151470,237.0,3.011,0.0,9.444906458473417e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(0.3, 1.0]",test,7.7453
8476,0.1566817725889629,0.8126700216948024,0.1093707236688273,0.9599006192083488,45120.0,33159.0,14.477075576782228,9.143068313598633,BS_manning003/E01267N3753E01646N3535-BS-M809_E01491N3670_D010_S112D50R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01491N3670_D010_S112D50R090_A006995_S075,1.61,12,8.0,6.994500818815381e-09,0.335,0.178,45120,14.477,14.9182,36.7029,36701491,152.0,0.335,0.0,1.1261146318292764e-08,1.8674136321195144e-05,152.0,"36.557,14.742","(1.0, 2.0]",test,8.0933
5066,0.1565995005743613,0.9625530222231906,0.0124781604332141,2.4278714915579047,107026.0,98325.0,18.35260581970215,19.54428672790528,BS_manning003/E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S067D90R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01467N3692_D010_S067D90R270_A006995_S075,5.02,14,7.3,8.19330240946704e-10,3.547,2.0,107026,18.353,14.672,36.9278,36921467,100.0,3.547,0.0,4.1130378095524536e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(3.0, 99.0]",test,8.0933
6992,0.15605547936414,0.7622244715562377,0.0808997063002066,0.8658948255500934,45127.0,65499.0,9.631832122802734,8.786054611206055,BS_manning003/E01267N3753E01646N3535-BS-M792_E01551N3692_D125_S067D30R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01551N3692_D125_S067D30R270_A004781_S062,1.44,18,10.4,2.937238060940021e-09,2.274,0.53,45127,9.632,15.5157,36.9278,36921551,1188.0,2.274,0.0,4.2296228077536314e-09,1.8674136321195144e-05,1960.0,"36.857,15.342","(1.0, 2.0]",test,7.928
462,0.1559728367566971,0.9132019279929712,0.0327139971152353,1.4903166199554705,69596.0,94172.0,15.024147033691406,12.919682502746582,BS_manning003/E01470N3877E01631N3641-BS-M809_E01555N3715_D010_S247D70R270_A012497_S042,E01470N3877E01631N3641-BS-M809_E01555N3715_D010_S247D70R270_A012497_S042,2.71,11,7.1,1.506464318554252e-09,2.419,1.839,69596,15.024,15.5529,37.1526,37151555,772.0,2.419,0.0,4.082518303282023e-09,1.8674136321195144e-05,1960.0,"36.857,15.342","(2.0, 3.0]",test,8.0933
5028,0.1554039249391893,0.9123577665804564,0.0441007377905927,1.4260403176263226,55657.0,43528.0,18.114973068237305,12.414414405822754,BS_manning003/E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S157D70R270_A012497_S042,E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S157D70R270_A012497_S042,4.28,12,8.0,1.101944881102826e-09,0.665,0.405,55657,18.115,15.5904,37.3774,37371559,705.0,0.665,0.0,4.716324091120095e-09,1.8674136321195144e-05,705.0,"37.157,15.342","(3.0, 99.0]",test,8.0933
3206,0.1551967663640777,0.742346099696638,0.1483923223145336,0.805263639901911,25768.0,19255.0,11.681629180908203,10.461432456970217,BS_manning003/E01470N3877E01631N3641-BS-M792_E01555N3715_D010_S067D90R270_A008541_S034,E01470N3877E01631N3641-BS-M792_E01555N3715_D010_S067D90R270_A008541_S034,0.82,15,10.4,1.649553351064275e-09,1.74,-1.739,25768,11.682,15.5529,37.1526,37151555,772.0,1.74,0.0,1.3526337478727054e-09,1.8674136321195144e-05,1960.0,"36.857,15.342","(0.3, 1.0]",test,7.928
2587,0.1549891003042561,0.9691143106987256,0.0099331390941537,2.821331403537309,136300.0,131233.0,20.24798583984375,19.90964126586914,BS_manning003/E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S112D50R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01551N3692_D010_S112D50R270_A006995_S075,4.66,10,8.6,4.979134660966659e-09,4.095,2.717,136305,20.248,15.5157,36.9278,36921551,1188.0,4.095,0.0,2.320276752010463e-08,1.8674136321195144e-05,1960.0,"36.857,15.342","(3.0, 99.0]",test,8.0933
9308,0.154632516405531,0.9200774129998656,0.0333418971921273,1.5835007468009716,72248.0,82731.0,10.42839241027832,11.83314037322998,BS_manning003/E01267N3753E01646N3535-BS-M792_E01527N3715_D010_S247D30R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01527N3715_D010_S247D30R270_A004781_S062,1.85,12,7.1,4.779148238476472e-09,2.755,-0.35,72248,10.428,15.2708,37.1526,37151527,1118.0,2.755,0.0,8.841424241181474e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,7.928
10583,0.154440826718921,0.9245555791026584,0.0387322521968603,1.5123345642554644,49327.0,44886.0,16.15510368347168,13.54640769958496,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01568N3625_D010_S022D90R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01568N3625_D010_S022D90R270_A006995_S075,4.26,12,8.0,1.8476821113881327e-10,-0.108,-0.202,49327,16.155,15.6856,36.2533,36251568,221.0,0.202,0.0,7.871125794513451e-10,1.8674136321195144e-05,502.0,"35.957,15.642","(3.0, 99.0]",test,8.0933
7711,0.154380060311851,0.8420455616449761,0.0799547541586039,1.0560453556746925,46574.0,37258.0,12.706886291503906,10.310837745666504,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S112D50R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S112D50R090_A006995_S075,3.95,13,8.6,3.1500831373897942e-09,0.074,-0.121,46574,12.707,15.3075,37.3774,37371530,1315.0,0.121,0.0,1.2442828392689688e-08,1.8674136321195144e-05,1315.0,"37.157,15.042","(3.0, 99.0]",test,8.0933
8194,0.1540710588568317,0.9716155610562568,0.0097457898042149,2.8147312415850934,125366.0,115950.0,21.547826766967773,22.83065223693848,BS_manning003/E01267N3753E01646N3535-BS-M809_E01519N3670_D010_S202D70R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01519N3670_D010_S202D70R270_A006995_S075,4.63,12,7.5,9.645052549617364e-10,3.504,1.711,125366,21.548,15.1986,36.7029,36701519,388.0,3.504,0.0,4.465659330472839e-09,1.8674136321195144e-05,388.0,"36.557,15.042","(3.0, 99.0]",test,8.0933
7872,0.1540611725746904,0.9202191877916712,0.0371199585699485,1.462702304242083,49652.0,32210.0,17.07122230529785,18.13806533813477,BS_manning003/E01446N4259E02038N3783-BS-M809_E01970N3805_D010_S157D70R270_A006995_S075,E01446N4259E02038N3783-BS-M809_E01970N3805_D010_S157D70R270_A006995_S075,3.96,12,8.3,1.072447783751816e-09,0.005,0.004,49652,17.071,19.7028,38.0519,38051970,262.0,0.005,1.0,4.2468932236571924e-09,1.8674136321195144e-05,268.0,"37.757,19.542","(3.0, 99.0]",train,8.0933
7919,0.154019452644105,0.8203956609149752,0.0586440312855254,1.0161415757197618,50587.0,68623.0,4.499833106994629,7.262575149536133,BS_manning003/E01267N3753E01646N3535-BS-M792_E01527N3715_D125_S247D50R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01527N3715_D125_S247D50R270_A004781_S062,0.82,26,13.3,1.0193866646096712e-08,2.439,0.553,50587,4.5,15.2708,37.1526,37151527,1118.0,2.439,0.0,8.358970649799303e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(0.3, 1.0]",test,7.928
5404,0.1535239961104337,0.8953197509537927,0.0497425990410977,1.3017923245762744,60925.0,46585.0,15.990768432617188,13.98615264892578,BS_manning003/E01267N3753E01646N3535-BS-M809_E01519N3670_D010_S067D30R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01519N3670_D010_S067D30R090_A006995_S075,2.67,11,8.0,3.2868582517874916e-09,0.217,0.074,60925,15.991,15.1986,36.7029,36701519,388.0,0.217,0.0,8.775911532272602e-09,1.8674136321195144e-05,388.0,"36.557,15.042","(2.0, 3.0]",test,8.0933
