,eid,eve_id,id,mean_prob
31,31,E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000,5.133469851611971e-07
32,32,E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000,8.573216649950927e-06
33,33,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000,2.3697023776803332e-08
34,34,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005,2.9112198773681988e-08
35,35,E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004,2.4957290355441534e-08
36,36,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001,2.00210584039469e-08
37,37,E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000,1.1434873187559245e-07
38,38,E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000,2.0242702943916945e-07
39,39,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005,1.8910122294346124e-08
40,40,E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001,2.76393323902107e-08
41,41,E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000,2.2564726920867089e-07
42,42,E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004,2.7773939801532066e-08
