eid,s0
87,1.4448814982887325e-07
88,2.6439508524469453e-08
89,2.5760579880159482e-08
90,7.071917583510934e-09
91,2.0628221200229584e-08
92,2.650358090018604e-09
93,2.7870144965899632e-08
94,2.7839980082952633e-08
95,2.8223884528983452e-08
96,7.154735753028353e-09
97,2.811563299694316e-07
98,1.0594313563899993e-05
99,3.2954785401790794e-08
100,6.759886832571417e-09
101,2.9552074814572344e-08
102,1.989719894536969e-07
103,3.26128920948446e-06
104,2.9400056317765373e-08
105,2.9552074814572344e-08
106,3.277124368877689e-09
107,1.3432334880588877e-08
108,2.339413223209335e-05
109,2.064593479963636e-08
110,3.4157407195992582e-09
111,3.2215870427887377e-07
112,2.370889535623831e-07
113,1.9673021011441533e-08
114,1.0518799382507193e-05
115,2.0321780289111573e-08
116,7.042432515949088e-09
117,2.1106870143136617e-08
118,7.063590725773581e-09
119,5.720262571294793e-08
120,7.154735753028353e-09
121,2.8359769654403444e-08
122,7.064246931135257e-09
123,1.4548238988016202e-06
124,1.7476346030499246e-08
125,5.691750407234183e-09
126,1.2098158597872113e-07
127,2.3182039662779893e-07
128,2.8477039138060056e-06
129,2.1203563935897472e-08
130,1.8511159127739067e-08
131,2.6208228634708047e-08
132,2.024545269397736e-08
133,2.0674602512492624e-07
134,9.017387416936672e-07
135,5.626306845204633e-09
136,6.185608853075355e-08
137,3.18930147798748e-06
138,1.1882719245598993e-07
139,2.1046626194491304e-08
140,6.9679326791846535e-06
141,1.5174561757696144e-07
142,3.009075596962561e-08
143,3.108221934189017e-08
144,1.7280682744568709e-07
145,3.052200758427848e-08
146,1.7805918118706722e-05
147,9.420426769924204e-06
148,8.454950477517468e-08
149,5.684861611231073e-09
150,3.1721873707441865e-08
151,1.3152917034950056e-05
152,6.755195431099394e-08
153,1.6227170982928532e-05
154,6.547735646407343e-06
155,7.098947234852977e-09
156,8.65741610695429e-08
157,1.71668753062424e-06
158,5.607362656196084e-09
159,9.405260284331573e-08
160,6.9511528116646905e-09
161,7.050547166094864e-06
162,3.901641349465042e-07
163,2.9504943146615468e-08
164,3.062162207326369e-08
165,9.86219517677516e-08
166,1.6936023193035e-07
167,4.351289612574729e-07
168,1.301572574615872e-06
169,4.018656085468861e-07
170,3.402456652655107e-09
171,2.2135737484832917e-07
