eid,p84
884,1.088728705586116e-07
885,4.27923656138322e-08
886,1.9653797662813836e-08
887,1.40854368932073e-05
888,4.64662162161698e-08
889,3.2581840980878854e-05
890,5.03658474e-08
891,9.274868686859414e-09
892,4.961964408882024e-07
893,2.5142241695999992e-09
894,4.4011918668326867e-07
895,1.40854368932073e-05
896,1.594759197384015e-09
897,5.14349886e-08
898,9.89952849137502e-08
899,3.704368987869434e-08
900,5.00757218250189e-08
901,4.3447281377840733e-07
902,1.867045016993718e-08
903,8.89015535949151e-08
904,5.29767212e-08
905,4.4516564440656325e-08
906,6.020044462198517e-06
907,1.1461785519695801e-07
908,6.686823529414642e-07
909,1.35941141000947e-07
910,2.10186258124803e-07
911,1.89282912e-08
912,5.982431799999947e-08
913,6.347335478115094e-09
914,3.372707704216652e-05
915,5.174244444448583e-07
916,3.7423312883476e-07
917,4.668588786312594e-08
918,2.0285678452316144e-07
919,2.1984543398391398e-07
920,1.5746241135337027e-09
921,1.017474685161069e-06
922,6.677683108609955e-07
923,6.10577190862762e-08
924,7.85630252101045e-07
925,4.38743362831665e-08
926,3.1768769336068026e-07
927,4.7569036e-08
928,2.062625e-08
929,1.75367647058809e-07
930,1.5039273613859294e-09
931,7.238827167575586e-08
932,1.86802547770632e-08
933,1.86802547770632e-08
934,1.21904393621276e-05
935,1.8532982955808232e-08
936,0.0
937,0.0
938,4.5374897435922835e-07
939,7.641579884752252e-08
940,4.19732140818082e-07
941,1.594759197384015e-09
942,1.7780104789038132e-07
943,4.53027071219555e-07
944,7.6434020618442e-08
945,2.226637932752828e-06
946,5.762497354502473e-06
947,1.77307262569802e-07
948,6.639050019981728e-07
949,5.11834803771515e-08
950,9.274868686859414e-09
951,2.5863659648647496e-06
952,9.274868686859414e-09
953,4.447320163222624e-08
954,4.36974573923718e-08
955,8.35214793420815e-08
956,4.61891344034058e-08
957,4.36974573923718e-08
958,4.274110044039451e-08
959,3.71492310456012e-05
960,1.95340206185653e-08
961,3.049758121755071e-08
962,3.077726466029737e-08
963,9.56685552407358e-07
964,6.888454448316348e-06
