,Train_size,RP,Site,True,Pred,Bias,Pred_low,Pred_high,Sigma
0,228,1000.0,1,0.0,0.0,0.0,0.00997526632378228,0.0,0.00249381658094557
1,228,10000.0,1,0.0,0.0,0.0,0.3088067313823914,0.0,0.07720168284559785
2,228,100000.0,1,0.935136269438345,0.8878506939909152,-0.04728557544742984,1.4150623783002028,0.44264523197508004,0.2431042865812807
3,228,1000000.0,1,3.6790206118969158,3.685068811437904,0.006048199540988453,5.541122126519052,1.9897986062532715,0.8878308800664451
4,228,10000000.0,1,7.191610864315678,7.769752629111501,0.5781417647958227,10.758179826286845,4.926289513802529,1.457972578121079
5,228,100000000.0,1,9.2129017221681,9.87115369846191,0.6582519762938102,13.012113073384791,6.723289256552952,1.5722059542079598
6,228,1000000000.0,1,10.56025115111922,10.677924236170275,0.11767308505105589,14.349760154129255,6.996083315710046,1.8384192096048022
7,228,1000.0,2,0.0,0.4940344654428131,0.4940344654428131,0.857987653755738,0.12885185498354185,0.18228394969304906
8,228,10000.0,2,2.3625700055125134,2.3915177736593414,0.02894776814682798,2.881898959408217,1.9099182432036004,0.24299517905115414
9,228,100000.0,2,3.6976422985458473,3.9006390246262854,0.20299672608043817,4.509322645575103,3.32772367408542,0.29539974287242066
10,228,1000000.0,2,4.750009408662028,5.027271576292155,0.277262167630127,5.9862724984092806,4.1899503129751166,0.449080546358541
11,228,10000000.0,2,5.884901235129102,5.740878423321229,-0.14402281180787302,7.343907857078281,4.62236350462064,0.6803860881144101
12,228,100000000.0,2,6.658851510462244,6.359366538570798,-0.2994849718914461,8.225071564544631,4.996811210812688,0.8070650884329857
13,228,1000000000.0,2,7.6065282620943995,6.840162815099907,-0.7663654469944925,9.200331476318658,5.291861052499644,0.9771176059547535
14,228,1000.0,3,0.0,0.0,0.0,0.044051530719605776,0.0,0.011012882679901444
15,228,10000.0,3,0.3369153710234869,0.3975747602236161,0.0606593892001292,0.777176949200202,0.0,0.1942942373000505
16,228,100000.0,3,1.1357483244003712,1.090645835745054,-0.0451024886553173,1.486585339156856,0.717855539089399,0.19218245001686424
17,228,1000000.0,3,2.459920202302472,2.822589486287955,0.36266928398548304,3.8015585735990713,1.866988039429324,0.48364263354243686
18,228,10000000.0,3,4.3939462927390185,4.442940903310637,0.04899461057161858,6.195670997279627,3.114162923496953,0.7703770184456684
19,228,100000000.0,3,5.974077437641258,5.51465338169733,-0.459424055943928,7.267917723054837,3.856004250784084,0.8529783680676882
20,228,1000000000.0,3,5.982100089937212,5.541022535151244,-0.4410775547859682,7.422993684219684,3.940112129204465,0.8707203887538049
21,228,1000.0,4,0.0,0.0,0.0,0.10693600022016742,0.0,0.026734000055041854
22,228,10000.0,4,0.5825024936169365,0.5951020694487827,0.012599575831846233,1.0788594909574571,0.053543773355968285,0.2563289294003722
23,228,100000.0,4,1.9174936050796756,1.8158490682065394,-0.10164453687313624,2.611174933354093,1.165008461523838,0.3615416179575637
24,228,1000000.0,4,4.125729981998563,3.727372456581023,-0.39835752541754,4.917810866795788,2.613059049517367,0.5761879543196053
25,228,10000000.0,4,6.381637621635928,6.273474142712093,-0.10816347892383504,8.126646383158002,4.463885084637806,0.915690324630049
26,228,100000000.0,4,7.106303485954495,7.003643488185363,-0.10265999776913226,9.556907871482982,4.9013712236547615,1.1638841619570552
27,228,1000000000.0,4,7.767246450560196,7.07945374482567,-0.6877927057345268,10.04376923183738,5.385277913008696,1.1646228297071712
28,550,1000.0,1,0.0,0.0,0.0,0.014653016296322121,0.0,0.0036632540740805302
29,550,10000.0,1,0.0,0.0,0.0,0.14641208090288488,0.0,0.03660302022572122
30,550,100000.0,1,0.935136269438345,0.9564112784537252,0.021275009015380153,1.69328366230555,0.3869988106518187,0.32657121291343283
31,550,1000000.0,1,3.6790206118969158,3.5560670419043783,-0.12295356999253748,4.71938232066469,2.4601045140512063,0.5648194516533709
32,550,10000000.0,1,7.191610864315678,6.825093910661717,-0.36651695365396186,9.134858475280035,4.433940898861035,1.17522939410475
33,550,100000000.0,1,9.2129017221681,9.541387014623918,0.32848529245581837,13.722714164272713,5.935857499023571,1.9467141663122853
34,550,1000000000.0,1,10.56025115111922,10.316866738189809,-0.2433844129294105,13.92312745406024,7.705561085363395,1.554391592174211
35,550,1000.0,2,0.0,0.3346834711458055,0.3346834711458055,0.8355183104502476,0.0,0.2088795776125619
