Lat,Lon,wkt_geom,rate_5,rate_10,rate_25,rate_50,rate_100,rate_300,rate_500,rate_1000,rate_2000,ari10,ari50,ari100,ari200,ari500,ari1000,ari2500,ari500P,ari500M,ari500LL,ari500ZL
5.569,73.071,Point (73.070770263671875 5.56855201721191406),0.118007896,0.071504493,0.029260181,0.012650023,0.004704483,0.000650489,0.000209958,3.57E-05,4.52E-06,0.1,0.346512577,0.594641813,0.960372821,1.671291336,2.418077693,3.766634636,2.781833464,0.950545726,1.019201102,0.792425558
3.211,73.072,Point (73.07222747802734375 3.21145033836364746),0.118095389,0.071325686,0.029112918,0.012680634,0.004834154,0.000740502,0.000262123,5.39E-05,9.00E-06,0.1,0.345673151,0.597758258,0.97646476,1.732882259,2.555022025,4.080511089,2.990860975,0.950846276,1.070270548,0.844953356
6.479,73.074,Point (73.07389068603515625 6.47909975051879883),0.142187954,0.092529652,0.041436499,0.018981977,0.007573678,0.001300265,0.000494202,0.000112341,2.06E-05,0.1,0.478013124,0.8178983,1.32446538,2.341684744,3.459061433,5.542888701,4.011526989,1.335436976,1.446342415,1.116095746
5.374,73.083,Point (73.0832977294921875 5.37440633773803711),0.122078771,0.074871659,0.031139772,0.013744602,0.005328987,0.00083665,0.000295313,5.90E-05,9.29E-06,0.1,0.367882746,0.637170427,1.041710447,1.850374739,2.727888894,4.32514355,3.189026851,1.03433429,1.154565627,0.918736026
2.146,73.096,Point (73.09566497802734375 2.14583325386047363),0.142621882,0.090735868,0.040574792,0.019053688,0.007973945,0.001562906,0.000651795,0.000173709,3.85E-05,0.1,0.478803117,0.840870911,1.399217416,2.57062438,3.913134821,6.524132792,4.443496853,1.401667539,1.637576615,1.320433069
15.995,73.096,Point (73.09580230712890625 15.99461460113525391),0.132421205,0.0775465,0.031556572,0.014139729,0.005669021,0.000979598,0.000370308,8.37E-05,1.54E-05,0.1,0.374113715,0.656586553,1.089869037,1.978244684,2.962562639,4.806996094,3.719596015,0.931366032,1.258868738,1.008204592
5.079,73.097,Point (73.09698486328125 5.07932090759277344),0.13446779,0.084993309,0.037043128,0.016879404,0.006775976,0.00117202,0.000441423,9.72E-05,1.69E-05,0.1,0.43370846,0.751984079,1.233988583,2.20546251,3.265986039,5.241016212,3.723531464,1.236930735,1.381473246,1.111930683
5.888,73.121,Point (73.12084197998046875 5.88802528381347656),0.114721196,0.069197637,0.028242379,0.012169882,0.00449212,0.000612602,0.000198952,3.54E-05,4.98E-06,0.1,0.336195569,0.577631036,0.933280684,1.622979292,2.347780477,3.663575595,2.700126349,0.92369019,0.985108238,0.768398767
2.587,73.13,Point (73.12973785400390625 2.58685779571533203),0.141385168,0.090655263,0.040182286,0.018487352,0.007517065,0.001366875,0.000536048,0.000126326,2.38E-05,0.1,0.467371234,0.809192466,1.328626805,2.391531989,3.576136637,5.790930072,4.04520625,1.31881746,1.51124291,1.211849141
6.664,73.139,Point (73.13901519775390625 6.66409921646118164),0.148576862,0.097450751,0.04434128,0.020608062,0.008379449,0.001525974,0.000611812,0.000155544,3.32E-05,0.1,0.512000012,0.878220562,1.427607251,2.551646031,3.818725971,6.247243885,4.462132184,1.433622022,1.577258155,1.244677385
-0.58,73.145,Point (73.145263671875 -0.58032906055450439),0.130263587,0.080184721,0.03327918,0.014285991,0.005217204,0.000715556,0.000236102,4.30E-05,6.12E-06,0.1,0.384660656,0.646590921,1.024982049,1.758186195,2.535021224,3.944511053,2.938674674,1.011505008,1.050793395,0.826204775
6.985,73.164,Point (73.16439056396484375 6.98527622222900391),0.120767927,0.071780349,0.027327294,0.01069739,0.003493656,0.000395215,0.000119315,1.89E-05,2.23E-06,0.1,0.319139244,0.522823358,0.808919859,1.357155384,1.935085378,2.980362862,2.488861379,0.674666432,0.785398164,0.583480639
15.797,73.169,Point (73.16939544677734375 15.79723930358886719),0.136522553,0.080628706,0.033114019,0.01493861,0.006050175,0.001057353,0.000397331,8.86E-05,1.65E-05,0.1,0.391434392,0.687630166,1.142253923,2.072257217,3.087757031,4.982858971,3.84528913,0.977482416,1.323777886,1.092653996
-0.73,73.179,Point (73.179168701171875 -0.73046296834945679),0.153430349,0.101635026,0.048291364,0.023551291,0.01012433,0.002009461,0.000824793,0.000210599,4.44E-05,0.1022712,0.575613018,1.007810011,1.665706738,3.004516121,4.488977072,7.291393542,4.904931456,1.756412636,1.886505977,1.473842103
5.234,73.202,Point (73.2023773193359375 5.23411178588867188),0.129942375,0.081201032,0.034902972,0.015871654,0.006435804,0.00114828,0.000438658,9.82E-05,1.74E-05,0.1,0.411932255,0.720608342,1.194274758,2.167162217,3.233591366,5.227957124,3.664642533,1.199759058,1.380149727,1.108720483
0.888,73.204,Point (73.203887939453125 0.88841640949249268),0.148313431,0.096640331,0.04394287,0.020468737,0.008315999,0.001485776,0.000574288,0.000130391,2.29E-05,0.1,0.509069541,0.873523961,1.417982281,2.5197589,3.737660819,5.972316616,4.333397103,1.329685796,1.585094258,1.328399289
5.712,73.21,Point (73.209808349609375 5.71234273910522461),0.109782969,0.06518351,0.02560353,0.010544966,0.003656849,0.000432869,0.000128314,1.94E-05,2.19E-06,0.1,0.307042989,0.518845487,0.823194117,1.407900758,2.019941616,3.100867907,2.301023416,0.810699753,0.843720167,0.636959341
6.387,73.213,Point (73.2127227783203125 6.38683032989501953),0.130524628,0.082697707,0.036301006,0.016625041,0.006710452,0.001211959,0.000485071,0.000123958,2.69E-05,0.1,0.427913072,0.745094722,1.228505859,2.222683826,3.346340904,5.531977597,3.803003544,1.267452314,1.387987611,1.080096942
0.729,73.214,Point (73.21363067626953125 0.72868108749389648),0.110318512,0.062239042,0.023030188,0.009292688,0.003309512,0.000478828,0.000167423,3.34E-05,5.15E-06,0.1,0.279783029,0.473497817,0.764721586,1.359761007,2.025265551,3.280223568,2.483316304,0.671253463,0.850452122,0.715804735
0.173,73.229,Point (73.22916412353515625 0.17252109944820404),0.149571507,0.095498371,0.042443248,0.019677406,0.008109939,0.001537195,0.000624542,0.000158731,3.33E-05,0.1,0.492445571,0.854337592,1.407537443,2.553890712,3.849978145,6.322419456,4.430189074,1.411027605,1.617167888,1.276708832
