id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01719N3535_D010_S067D70R090_A006995_S075	28693	9.219	10.516	1.286	1.302	-0.006	-0.005	10.732
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S067D90R090_A012497_S042	5211	6.814	8.223	0.715	0.88	-1.386	-0.94	9.178
BS_4-8_manning003_extreme/E00979N4372E01586N3827-BS-M809_E01517N3827_D010_S157D70R090_A006995_S075	9106	4.023	8.739	0.685	0.662	-0.002	0.017	5.361
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01882N3378_D010_S067D30R090_A006995_S075	22986	7.398	10.416	1.453	1.329	-0.005	-0.005	8.151
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01758N3445_D010_S067D50R090_A006995_S075	27254	8.104	10.548	1.398	1.339	-0.01	-0.01	8.876
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S022D70R090_A006995_S075	97585	20.732	12.457	2.635	2.43	0.574	1.149	28.38
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01794N3490_D010_S067D30R090_A004781_S062	12729	4.682	9.285	0.846	0.769	-0.005	-0.005	5.824
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01739N3490_D010_S247D30R090_A006995_S075	24212	7.145	10.337	1.275	1.165	-0.012	-0.011	8.116
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01859N3400_D010_S067D30R090_A006995_S075	22183	7.024	10.326	1.376	1.244	-0.006	-0.006	7.887
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01640N3557_D010_S067D70R270_A006995_S075	21771	8.504	10.339	1.42	1.337	0.006	0.006	9.916
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01844N3467_D010_S067D70R270_A004781_S062	13335	6.762	9.486	0.988	0.989	0.002	0.002	7.265
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01824N3355_D010_S067D30R090_A006995_S075	18441	6.871	10.04	1.244	1.128	-0.006	-0.006	7.737
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01762N3467_D010_S067D50R090_A006995_S075	31864	8.497	10.74	1.449	1.393	-0.011	-0.01	8.853
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01589N3580_D010_S067D70R090_A006995_S075	35504	10.962	10.846	1.446	1.45	-0.001	0.004	10.988
BS_4-8_manning003_extreme/E01548N3896E01854N3659-BS-M732_E01591N3760_D010_S337D30R090_A002108_S017	3460	2.558	7.417	0.481	0.448	-0.006	-0.004	3.385
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01688N3512_D010_S067D30R090_A006995_S075	22784	7.592	10.24	1.229	1.106	-0.018	-0.017	7.875
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01790N3467_D010_S067D30R090_A006995_S075	22357	6.659	10.291	1.318	1.181	-0.009	-0.009	7.441
BS_4-8_manning003_extreme/E01108N3882E01527N3690-BS-M809_E01445N3737_D010_S067D90R270_A012497_S042	17701	5.801	9.721	0.941	0.842	0.261	0.41	6.677
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01851N3355_D010_S067D70R090_A006995_S075	33528	11.515	10.91	1.632	1.75	-0.004	-0.003	13.099
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01786N3445_D010_S067D30R090_A006995_S075	23662	7.356	10.382	1.363	1.247	-0.009	-0.009	7.997
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01758N3445_D010_S247D50R090_A006995_S075	23610	8.139	10.349	1.323	1.215	-0.01	-0.009	8.987
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01886N3400_D010_S067D70R090_A006995_S075	29252	10.649	10.69	1.502	1.554	-0.003	-0.003	12.118
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01766N3490_D010_S067D30R090_A006995_S075	22073	7.02	10.239	1.267	1.131	-0.011	-0.01	7.272
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01790N3467_D010_S067D70R090_A006995_S075	31014	8.875	10.678	1.399	1.379	-0.005	-0.004	9.32
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01778N3400_D010_S247D50R090_A006995_S075	19589	7.218	10.058	1.191	1.069	-0.009	-0.008	8.219
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S157D90R270_A006995_S075	91832	24.635	12.457	2.799	2.688	0.79	1.45	28.186
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01609N3535_D010_S247D50R090_A006995_S075	22313	6.83	10.239	1.253	1.126	-0.021	-0.02	8.203
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01583N3715_D010_S157D90R270_A012497_S042	57794	19.648	11.725	2.14	2.061	0.386	0.564	22.478
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01855N3378_D010_S247D30R090_A006995_S075	24952	8.188	10.452	1.388	1.293	-0.006	-0.006	9.174
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01832N3400_D010_S247D30R090_A003139_S050	10607	4.876	9.036	0.792	0.788	-0.002	-0.002	5.327
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01640N3557_D010_S067D30R090_A006995_S075	23789	7.834	10.291	1.238	1.134	-0.028	-0.025	8.306
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S112D10R090_A006995_S075	8797	4.426	8.739	0.709	0.715	-1.344	-0.027	6.412
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01561N3580_D010_S067D90R090_A006995_S075	27924	10.597	10.6	1.438	1.474	0.019	0.025	10.887
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01708N3467_D010_S247D50R090_A004781_S062	12167	4.694	9.184	0.8	0.727	-0.008	-0.008	5.335
BS_4-8_manning003_extreme/E01446N4259E02038N3783-BS-M809_E01970N3805_D010_S157D90R270_A006995_S075	54938	17.875	11.685	2.162	2.391	0.0	0.0	19.856
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01684N3490_D010_S067D30R090_A006995_S075	19550	6.98	10.093	1.236	1.08	-0.017	-0.015	7.144
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S022D90R090_A012497_S042	71283	16.765	11.968	2.211	1.96	1.259	1.88	19.583
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01603N3670_D010_S337D70R090_A012497_S042	56267	18.633	11.662	2.062	1.962	0.328	0.487	22.212
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01855N3378_D010_S067D50R090_A006995_S075	31364	10.198	10.792	1.551	1.567	-0.006	-0.006	11.404
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01603N3670_D010_S022D70R090_A012497_S042	60673	17.532	11.672	1.932	2.02	0.158	0.243	21.667
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01867N3445_D010_S067D70R270_A004781_S062	13091	6.742	9.471	0.991	0.991	0.002	0.002	7.167
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S202D70R270_A006995_S075	83410	21.356	12.237	2.473	2.467	0.4	1.051	27.989
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01878N3355_D010_S067D70R090_A006995_S075	36832	12.364	11.038	1.688	1.826	-0.003	-0.003	14.119
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01660N3512_D010_S067D50R090_A006995_S075	28044	9.391	10.533	1.339	1.317	-0.018	-0.017	9.802
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01817N3467_D010_S067D30R090_A006995_S075	18480	5.906	9.974	1.161	0.994	-0.008	-0.007	6.257
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01592N3602_D010_S022D70R090_A006995_S075	55302	18.083	11.565	1.905	2.174	0.032	0.057	22.075
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S157D90R090_A006995_S075	47527	15.644	11.498	2.074	2.152	-1.45	-0.79	23.055
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01977N3310_D010_S067D50R090_A006995_S075	18084	6.656	9.906	1.109	1.013	-0.004	-0.004	7.547
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01851N3355_D010_S067D50R090_A006995_S075	29928	10.546	10.745	1.551	1.598	-0.006	-0.006	12.151
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01664N3535_D010_S067D30R090_A006995_S075	23191	7.458	10.255	1.226	1.108	-0.023	-0.02	7.77
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01636N3535_D010_S247D50R090_A006995_S075	26670	7.62	10.49	1.348	1.256	-0.02	-0.019	9.038
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01828N3378_D010_S067D70R090_A006995_S075	31885	11.111	10.812	1.557	1.632	-0.004	-0.004	12.586
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01905N3355_D010_S067D70R270_A004781_S062	17775	8.531	10.123	1.401	1.442	0.002	0.002	10.088
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01786N3445_D010_S067D70R090_A006995_S075	32841	9.313	10.777	1.458	1.462	-0.005	-0.005	9.721
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01798N3512_D010_S067D30R090_A004781_S062	9754	3.433	8.769	0.659	0.605	-0.005	-0.005	4.279
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01919N3288_D010_S067D50R090_A006995_S075	20949	7.552	10.149	1.22	1.124	-0.004	-0.004	8.112
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01688N3512_D010_S067D50R090_A006995_S075	29051	9.09	10.543	1.305	1.255	-0.016	-0.015	9.269
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01859N3400_D010_S067D70R270_A004781_S062	16862	7.429	9.989	1.292	1.275	0.002	0.002	9.713
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01959N3355_D010_S067D30R090_A006995_S075	17045	7.136	9.913	1.185	1.138	-0.004	-0.004	8.778
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01692N3535_D010_S067D70R270_A004781_S062	16867	7.413	9.92	1.206	1.094	0.005	0.005	8.979
BS_4-8_manning003_extreme/E01446N4259E02038N3783-BS-M809_E01875N3895_D010_S112D90R270_A006995_S075	34299	11.201	10.905	1.588	1.616	0.0	0.001	12.375
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01668N3557_D010_S247D30R090_A006995_S075	22852	6.96	10.151	1.121	1.01	-0.021	-0.019	7.33
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01909N3378_D010_S067D90R090_A004781_S062	20989	9.741	10.363	1.509	1.554	0.0	0.0	11.604
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01564N3602_D010_S067D90R090_A006995_S075	39466	11.228	11.025	1.555	1.591	0.032	0.046	12.601
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01747N3535_D010_S067D70R270_A004781_S062	13493	5.764	9.452	0.943	0.904	0.003	0.004	7.458
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01882N3378_D010_S067D90R090_A004781_S062	22937	10.384	10.499	1.582	1.608	0.0	0.0	12.059
BS_4-8_manning003_extreme/E01446N4259E02038N3783-BS-M809_E01899N3872_D010_S112D90R270_A006995_S075	23639	8.476	10.281	1.234	1.235	0.0	0.001	10.502
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01851N3355_D010_S247D50R090_A006995_S075	25133	8.458	10.501	1.447	1.395	-0.006	-0.006	9.471
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01878N3355_D010_S247D50R090_A006995_S075	27369	9.061	10.629	1.51	1.476	-0.005	-0.005	10.91
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01859N3400_D010_S067D30R090_A003139_S050	11214	5.508	9.161	0.849	0.843	-0.002	-0.002	6.171
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01853N3512_D010_S067D50R090_A006995_S075	14247	5.958	9.525	0.962	0.912	-0.005	-0.004	7.24
