idx,l2n,TRUE,truemax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,dmax,lon,lat,max_absdz,event_type,Mag,SR
4765,0.2468310842252112,15511,2.0437352657318115,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02408N3442_S004,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02408N3442_S004,0.42,18,26.7,2.0174779091982225e-08,0.005,0.004,2.044,24.08,34.42,0.005,1,8.71,HL
4766,0.1408439550866998,7615,3.1582188606262207,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02174N3531_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02174N3531_S000,0.45,13,7.7,1.7694635955465005e-07,0.001,0.001,3.158,21.74,35.31,0.001,1,8.24,HL
4767,0.045257396,2466,1.4671212434768677,PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Var-M850_E02154N3709_S000,E02020N3739E02658N3366-PS-Str_PNo_Var-M850_E02154N3709_S000,0.29,20,80,2.1816850007391307e-06,0.001,0.001,1.467,21.54,37.09,0.001,1,8.5,HL
4768,0.029702144,1577,1.1243252754211426,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M774_E02226N3538_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M774_E02226N3538_S000,0.14,15,7.7,8.737437850036604e-07,0.001,0.001,1.124,22.26,35.38,0.001,1,7.74,HL
4769,0.4382803643578103,18665,6.986231803894043,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02175N3577_S003,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02175N3577_S003,1.09,14,8,1.9228779750620503e-08,0.004,0.004,6.986,21.75,35.77,0.004,1,8.71,HL
4770,0.1626271331706571,8054,3.7216076850891113,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02129N3557_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02129N3557_S000,0.47,17,8,7.95189997142614e-08,0.001,0.001,3.722,21.29,35.57,0.001,1,8.37,HL
4771,0.033173398,1675,1.0757354497909546,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02057N3668_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02057N3668_S000,0.24,20,12.6,9.89578389873441e-07,0.001,0.001,1.076,20.57,36.68,0.001,1,7.92,HL
4772,0.4051292601423848,18360,6.312592029571533,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02237N3564_S001,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02237N3564_S001,1.4,10,7.7,1.9833703778147915e-08,0.004,0.004,6.313,22.37,35.64,0.004,1,8.71,HL
4773,0.1834185901929387,10315,1.865527629852295,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02321N3597_S003,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02321N3597_S003,0.51,19,80,1.1271734129563924e-07,0.002,0.002,1.866,23.21,35.97,0.002,1,8.61,HL
4774,0.000432528,427,0.2047664523124694,PS_manning003/E01517N3917E01678N3772-PS-Str_PYes_Var-M754_E01574N3813_S000,E01517N3917E01678N3772-PS-Str_PYes_Var-M754_E01574N3813_S000,0.09,0,26.7,1.3152917034950056e-05,0.001,0.001,0.205,15.74,38.13,0.001,1,7.54,CL
4775,0.082829759,3668,2.9776108264923096,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02140N3614_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02140N3614_S000,0.4,19,9.6,3.508158806272792e-07,0.001,0.001,2.978,21.4,36.14,0.001,1,8.24,HL
4776,0.3805539693911052,16830,6.263763904571533,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02243N3539_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02243N3539_S004,1.13,16,7.7,2.906878732381213e-08,0.002,0.002,6.264,22.43,35.39,0.002,1,8.61,HL
4777,0.4966160393106285,28427,7.232708454,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02335N3468_S001,E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02335N3468_S001,1.37,15,26.7,7.0642469311352575e-09,0.005,0.005,7.233,23.35,34.68,0.005,1,8.8,HL
4778,0.473568721,19392,6.882468223571777,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02159N3618_S003,E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02159N3618_S003,1.61,20,7.7,7.198690780905282e-09,0.004,0.004,6.882,21.59,36.18,0.004,1,8.8,HL
4779,0.9318707213859128,44043,9.719100952148438,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02236N3526_S002,E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02236N3526_S002,2.73,22,26.7,1.3704657507611014e-08,0.01,0.01,9.719,22.36,35.26,0.01,1,8.95,HL
4780,0.3729017385063878,26377,4.234310626983643,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02401N3455_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02401N3455_S004,0.69,16,26.7,2.7829830653757248e-08,0.007,0.005,4.234,24.01,34.55,0.007,1,8.88,HL
4781,0.1804189258522111,9627,3.668845415115357,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02090N3619_S005,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02090N3619_S005,0.78,14,7.7,2.87054430475798e-08,0.002,0.002,3.669,20.9,36.19,0.002,1,8.61,HL
4782,0.1594292905075622,9169,1.5657864809036257,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02408N3442_S005,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02408N3442_S005,0.42,14,26.7,3.1270546911858884e-08,0.004,0.004,1.566,24.08,34.42,0.004,1,8.61,HL
4783,0.7610448151024082,35322,9.57541275,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02351N3465_S002,E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02351N3465_S002,1.91,16,7.7,1.3434981707230834e-08,0.01,0.01,9.575,23.51,34.65,0.01,1,8.95,HL
4784,0.091475194,5208,3.002911091,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02110N3553_S000,E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02110N3553_S000,0.37,17,8.6,6.697452168055558e-08,0.001,0.001,3.003,21.1,35.53,0.001,1,8.09,HL
4785,0.068967917,5526,1.164659619,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02259N3628_S004,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02259N3628_S004,0.48,14,80,2.15727938047331e-07,0.002,0.001,1.165,22.59,36.28,0.002,1,8.61,HL
4786,0.2311207709113027,11568,3.992096185684204,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02170N3650_S005,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02170N3650_S005,1.1,19,9.6,2.1556827245270887e-08,0.004,0.002,3.992,21.7,36.5,0.004,1,8.71,HL
4787,0.77742285,39566,8.953927040100098,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02236N3526_S003,E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02236N3526_S003,2.08,22,26.7,2.80775489829692e-08,0.008,0.007,8.954,22.36,35.26,0.008,1,8.88,HL
4788,0.4056540565455536,18099,5.925726890563965,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02146N3630_S004,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02146N3630_S004,1.22,20,12.6,7.228949929314364e-09,0.004,0.004,5.926,21.46,36.3,0.004,1,8.8,HL
4789,0.022464631,1343,0.9475178122520448,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01640N3732_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01640N3732_S000,0.18,14,8,4.992649244593616e-07,0.002,0.001,0.948,16.4,37.32,0.002,1,7.54,CL
4790,0.1801651967827734,9572,3.722801685333252,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02190N3609_S005,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02190N3609_S005,0.7,16,26.7,3.0936016829895934e-08,0.002,0.002,3.723,21.9,36.09,0.002,1,8.61,HL
4791,0.1414830401345883,8289,3.230910539627075,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02126N3687_S002,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02126N3687_S002,0.77,21,12.6,3.2857969582979573e-08,0.002,0.002,3.231,21.26,36.87,0.002,1,8.61,HL
4792,0.073994411,3569,2.177216053009033,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02288N3555_S000,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02288N3555_S000,0.32,15,7.7,3.9953553776215707e-07,0.001,0.001,2.177,22.88,35.55,0.001,1,8.24,HL
4793,0.2639546957032755,16599,3.313110589981079,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02318N3471_S001,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02318N3471_S001,0.58,22,26.7,7.022074151842507e-09,0.007,0.007,3.313,23.18,34.71,0.007,1,8.8,HL
4794,0.031179691,2397,0.8761646151542664,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02294N3618_S000,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02294N3618_S000,0.29,18,80,1.5034092637482629e-06,0.002,0.002,0.876,22.94,36.18,0.002,1,8.5,HL
4795,0.6906935959839569,32364,8.964608192443848,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02260N3540_S002,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02260N3540_S002,2.14,14,7.7,2.8664299491343984e-08,0.007,0.007,8.965,22.6,35.4,0.007,1,8.88,HL
4796,0.028215409,1468,1.4754794836044312,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01789N3844_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01789N3844_S000,0.2,23,8.6,1.0336629985758985e-07,0.001,0.001,1.475,17.89,38.44,0.001,1,7.74,CL
4797,0.065171696,4820,1.8345192670822144,PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M824_E02288N3414_S000,E01849N3766E02950N3220-PS-Mur_PYes_Var-M824_E02288N3414_S000,0.28,21,26.7,7.413288627047288e-08,0.001,0.001,1.835,22.88,34.14,0.001,1,8.24,HL
4798,0.070848029,5451,1.2288377285003662,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02456N3506_S003,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02456N3506_S003,0.31,10,80,1.092252206655372e-07,0.004,0.004,1.229,24.56,35.06,0.004,1,8.61,HL
4799,0.2777206972810609,18501,2.260413885116577,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02417N3454_S005,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02417N3454_S005,0.66,17,26.7,2.0378455203095656e-08,0.004,0.004,2.26,24.17,34.54,0.004,1,8.71,HL
4800,0.5099206349932072,33138,6.512485980987549,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02284N3476_S001,E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02284N3476_S001,1.31,16,26.7,5.6021960591937534e-09,0.011,0.01,6.512,22.84,34.76,0.011,1,8.95,HL
4801,0.058860084,2943,1.966640949249268,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02256N3567_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02256N3567_S000,0.34,17,7.7,3.647731984047981e-07,0.001,0.001,1.967,22.56,35.67,0.001,1,8.09,HL
4802,0.022869806,1761,0.6786326766014099,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M824_E02465N3496_S000,E02113N3823E02873N3483-PS-Str_PYes_Hom-M824_E02465N3496_S000,0.11,18,26.7,6.5560576019189e-06,0.001,0.001,0.679,24.65,34.96,0.001,1,8.24,HL
4803,0.1828048160516648,9515,3.803105115890503,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02109N3622_S001,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02109N3622_S001,0.75,21,12.6,2.9400056317765373e-08,0.002,0.002,3.803,21.09,36.22,0.002,1,8.61,HL
4804,0.079403592,5573,2.683994770050049,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01701N3725_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01701N3725_S000,0.39,20,8.9,9.762479010673533e-08,0.008,0.007,2.684,17.01,37.25,0.008,1,7.92,CL
4805,0.2541751692479995,15154,3.4245035648345947,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02316N3447_S003,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02316N3447_S003,0.5,13,26.7,2.898042448756445e-08,0.004,0.004,3.425,23.16,34.47,0.004,1,8.61,HL
4806,0.4694337857474467,18974,7.417343616485596,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02226N3500_S001,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02226N3500_S001,1.57,14,7.7,1.8423079546904227e-08,0.004,0.004,7.417,22.26,35,0.004,1,8.71,HL
4807,0.987508565,47321,9.718403816223145,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02260N3491_S002,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02260N3491_S002,2.51,13,26.7,3.282566259605358e-08,0.013,0.013,9.718,22.6,34.91,0.013,1,9.02,HL
4808,0.4166314670963708,16169,6.629978656768799,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02232N3550_S003,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02232N3550_S003,1.27,14,7.7,2.9112198773681988e-08,0.002,0.002,6.63,22.32,35.5,0.002,1,8.61,HL
4809,0.8001133715195061,36511,10.205166816711426,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02458N3438_S005,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02458N3438_S005,2.41,14,7.7,2.7912738208227683e-08,0.008,0.007,10.205,24.58,34.38,0.008,1,8.88,HL
4810,0.1642956389869158,9375,3.439316272735596,PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M837_E02197N3444_S000,E01849N3766E02950N3220-PS-Mur_PYes_Var-M837_E02197N3444_S000,0.47,15,7.7,3.8882180787404536e-08,0.001,0.001,3.439,21.97,34.44,0.001,1,8.37,HL
4811,0.2212544700322046,10736,6.027888774871826,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02112N3663_S002,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02112N3663_S002,0.73,12,7.7,2.0844071060075587e-08,0.004,0.002,6.028,21.12,36.63,0.004,1,8.71,HL
4812,0.13395835,6213,3.051739216,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02226N3500_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02226N3500_S000,0.43,20,8,7.244540195752732e-08,0.001,0.001,3.052,22.26,35,0.001,1,8.37,HL
4813,0.020096318,1371,0.7830821871757507,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02105N3701_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02105N3701_S000,0.2,19,7.3,3.556500378988774e-06,0.001,0.001,0.783,21.05,37.01,0.001,1,7.92,HL
4814,0.059554295,4057,1.9195178747177124,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M837_E02031N3692_S000,E01964N3926E02184N3685-PS-Str_PYes_Hom-M837_E02031N3692_S000,0.35,12,26.7,3.213054213813108e-06,0.001,0.001,1.92,20.31,36.92,0.001,1,8.37,HL
4815,0.096110707,4273,2.496311664581299,PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Hom-M850_E02072N3616_S000,E01849N3766E02950N3220-PS-Mur_PYes_Hom-M850_E02072N3616_S000,0.43,13,14.1,2.765735712012885e-07,0.001,0.001,2.496,20.72,36.16,0.001,1,8.5,HL
4816,0.031827577,2304,0.9387256503105164,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M837_E02218N3671_S000,E02113N3823E02873N3483-PS-Str_PNo_Hom-M837_E02218N3671_S000,0.36,18,80,4.625831502466914e-06,0.001,0.001,0.939,22.18,36.71,0.001,1,8.37,HL
4817,0.1904571446706836,10874,1.8315675258636477,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02426N3465_S002,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02426N3465_S002,0.45,22,120,1.4673257075101552e-08,0.005,0.005,1.832,24.26,34.65,0.005,1,8.88,HL
4818,0.078881295,5479,2.116180896759033,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01647N3799_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01647N3799_S000,0.5,15,8,1.7508918393250473e-07,0.004,0.001,2.116,16.47,37.99,0.004,1,8.09,CL
4819,0.057771762,2936,1.8523792028427124,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02123N3540_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02123N3540_S000,0.24,16,7.7,4.234434762111049e-07,0.001,0.001,1.852,21.23,35.4,0.001,1,7.92,HL
4820,0.052701041,3652,1.5786806344985962,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01726N3870_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01726N3870_S000,0.37,12,7.7,1.5186117881865385e-07,0.002,0.002,1.579,17.26,38.7,0.002,1,8.09,CL
4821,0.003602818,496,0.3802463412284851,PS_manning003/E01964N3926E02184N3685-PS-Str_PNo_Var-M754_E02053N3767_S000,E01964N3926E02184N3685-PS-Str_PNo_Var-M754_E02053N3767_S000,0.07,16,9.6,3.574671575970533e-05,0.001,0.001,0.38,20.53,37.67,0.001,1,7.54,HL
4822,0.8220423073565193,41555,8.499504089355469,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02279N3514_S002,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02279N3514_S002,2.16,17,26.7,9.500525485608997e-08,0.014,0.013,8.5,22.79,35.14,0.014,1,9.02,HL
4823,0.048781168,3108,1.6433299779891968,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M824_E02053N3710_S000,E01964N3926E02184N3685-PS-Str_PYes_Hom-M824_E02053N3710_S000,0.38,14,26.7,3.903628624509496e-06,0.001,0.001,1.643,20.53,37.1,0.001,1,8.24,HL
4824,0.009502824,819,0.4290744662284851,PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Var-M792_E02243N3633_S000,E02113N3823E02873N3483-PS-Mur_PYes_Var-M792_E02243N3633_S000,0.12,16,7.7,1.0283659306186463e-05,0.001,0.001,0.429,22.43,36.33,0.001,1,7.92,HL
4825,0.2362134689044166,14538,2.030002355575561,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02482N3444_S005,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02482N3444_S005,0.54,11,26.7,7.082595776823504e-09,0.005,0.005,2.03,24.82,34.44,0.005,1,8.8,HL
4826,0.2434227462495613,12541,3.981632947921753,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02147N3560_S003,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02147N3560_S003,0.71,19,7.7,2.7521007925327257e-08,0.002,0.002,3.982,21.47,35.6,0.002,1,8.61,HL
4827,0.024930097,1440,0.8017390370368958,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02067N3699_S000,E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02067N3699_S000,0.24,20,12.6,6.72402328680136e-06,0.001,0.001,0.802,20.67,36.99,0.001,1,7.92,HL
4828,0.2142112317869536,11518,4.1709394454956055,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02194N3513_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02194N3513_S000,0.8,11,7.5,1.2301240890701118e-07,0.002,0.002,4.171,21.94,35.13,0.002,1,8.5,HL
4829,0.072646869,4483,2.175310611724853,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02041N3679_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02041N3679_S000,0.37,12,7.7,1.31226490896002e-07,0.001,0.001,2.175,20.41,36.79,0.001,1,8.37,HL
4830,0.4784469156869058,20437,6.8817524909973145,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02267N3478_S001,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02267N3478_S001,1.33,21,7.7,1.8766460226607613e-08,0.004,0.004,6.882,22.67,34.78,0.004,1,8.71,HL
4831,0.2967449957037778,15564,5.067878246307373,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02146N3630_S005,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02146N3630_S005,1.23,20,12.6,2.024545269397736e-08,0.002,0.002,5.068,21.46,36.3,0.002,1,8.71,HL
4832,0.094421232,4995,2.8304829597473145,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02122N3652_S000,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02122N3652_S000,0.54,20,7.7,2.0242702943916945e-07,0.001,0.001,2.83,21.22,36.52,0.001,1,8.5,HL
4833,0.6280302786242654,24808,8.271850586,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02217N3548_S004,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02217N3548_S004,1.59,18,7.7,6.962849478662463e-09,0.005,0.005,8.272,22.17,35.48,0.005,1,8.8,HL
4834,0.071279468,3163,3.231792927,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M792_E02212N3482_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M792_E02212N3482_S000,0.31,12,7.7,4.12855698702344e-07,0.001,0.001,3.232,22.12,34.82,0.001,1,7.92,HL
4835,0.3301021986533464,23132,2.8848559856414795,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02384N3458_S004,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02384N3458_S004,0.83,13,26.7,7.093260336024959e-09,0.005,0.005,2.885,23.84,34.58,0.005,1,8.8,HL
4836,0.233732821,14123,1.9857518672943115,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02515N3431_S005,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02515N3431_S005,0.5,25,26.7,1.3231283168142267e-08,0.007,0.007,1.986,25.15,34.31,0.007,1,8.88,HL
4837,0.1250500210579325,7767,2.7936787605285645,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01628N3741_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01628N3741_S000,0.66,14,7.7,2.0178037064493328e-07,0.001,-0.004,2.794,16.28,37.41,0.004,1,7.92,CL
4838,0.072136712,5434,1.1739060878753662,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02435N3522_S002,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02435N3522_S002,0.25,14,80,1.095621075968282e-07,0.002,0.002,1.174,24.35,35.22,0.002,1,8.61,HL
4839,0.009431944,877,0.4138156771659851,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02246N3619_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02246N3619_S000,0.12,15,7.5,3.650505565064709e-06,0.001,0.001,0.414,22.46,36.19,0.001,1,7.74,HL
4840,0.4848559500452544,19361,7.556644439697266,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02267N3478_S005,E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02267N3478_S005,0.96,13,7.7,1.8766460226607613e-08,0.004,0.004,7.557,22.67,34.78,0.004,1,8.71,HL
4841,0.3121505411739448,21504,2.5504229068756104,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02467N3448_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02467N3448_S004,0.64,13,26.7,7.071917583510934e-09,0.005,0.005,2.55,24.67,34.48,0.005,1,8.8,HL
4842,0.3302221315870651,23187,2.4988009929656982,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02342N3454_S005,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02342N3454_S005,0.65,13,26.7,1.9816156671537813e-08,0.005,0.004,2.499,23.42,34.54,0.005,1,8.71,HL
4843,0.1813222057799432,10565,2.328368902206421,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02094N3692_S005,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02094N3692_S005,0.94,21,26.7,3.260598635244245e-08,0.002,0.001,2.328,20.94,36.92,0.002,1,8.61,HL
4844,0.4332903442816567,25463,5.672355175018311,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02304N3498_S002,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02304N3498_S002,1.17,13,7.7,7.044742949190997e-09,0.005,0.005,5.672,23.04,34.98,0.005,1,8.8,HL
4845,0.1923822625663282,10165,4.051844596862793,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02140N3655_S003,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02140N3655_S003,0.87,19,9.6,3.2087549408052154e-08,0.002,0.002,4.052,21.4,36.55,0.002,1,8.61,HL
4846,0.2947849442040243,15100,5.767845630645752,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01656N3685_S000,E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01656N3685_S000,1.11,14,7.7,8.212143585767029e-08,0.002,-0.004,5.768,16.56,36.85,0.004,1,8.09,CL
4847,0.440828681,18399,6.436485290527344,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02237N3564_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02237N3564_S004,1.56,11,9.6,1.9833703778147915e-08,0.004,0.004,6.436,22.37,35.64,0.004,1,8.71,HL
4848,0.4925348761106205,31356,6.422455310821533,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02229N3514_S002,E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02229N3514_S002,1.24,12,26.7,6.856568140512544e-09,0.007,0.005,6.422,22.29,35.14,0.007,1,8.8,HL
4849,0.7237022711426138,36963,8.126889229,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02335N3468_S003,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02335N3468_S003,2.13,16,26.7,1.347874124318423e-08,0.01,0.008,8.127,23.35,34.68,0.01,1,8.95,HL
