idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
25803,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02253N3527_S004,1.37,0.0,0.0,0.0,5.361242631681473e-07,2.3414256487254803e-06,3.468202372793837e-07
25807,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02296N3512_S005,1.41,0.0,0.0,0.0,7.216163137853618e-07,3.151528594604665e-06,4.6930334780426066e-07
25812,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02259N3628_S003,0.71,0.0,0.0,0.0,5.369103569162539e-06,1.1288530703798132e-05,4.081042761373472e-06
25815,E01577N3897E01966N3571-PS-Str_PYes_Hom-M850_E01817N3788_S000,1.11,0.0,0.0,0.0,4.568972424690948e-07,9.487307177574744e-06,5.277400824947692e-06
25818,E01577N3897E01966N3571-PS-Str_PYes_Var-M824_E01752N3690_S000,1.23,0.0,0.0,0.0,9.094322567560896e-07,1.776032841720427e-05,6.563465503062563e-06
25831,E01517N3917E01678N3772-PS-Mur_PYes_Hom-M809_E01643N3856_S000,0.28,0.0,0.0,5.926243785144283e-07,2.8459782123464425e-06,8.358431338834103e-06,1.7739957643408801e-06
25834,E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02218N3671_S000,0.33,0.0,0.0,8.847517459917848e-06,6.947102589142956e-05,0.0001090398298465,2.8996424102132063e-05
25845,E01548N3896E01854N3659-PS-Str_PYes_Hom-M792_E01628N3741_S000,0.34,0.0,0.0,1.5992760489158156e-06,1.0943787043300354e-05,1.9620316622274255e-05,5.109256490844251e-06
25848,E01517N3917E01678N3772-PS-Mur_PYes_Hom-M792_E01619N3854_S000,0.25,1.0444204548281741e-11,8.784904958698891e-07,3.894697968729851e-06,1.0627013173096886e-05,3.0606066222055154e-05,6.948588827548189e-06
25853,E02113N3823E02873N3483-PS-Mur_PNo_Var-M871_E02335N3600_S001,0.83,0.0,0.0,0.0,5.313378521049026e-07,8.540399348680919e-06,1.5114586126863665e-06
25855,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02293N3602_S002,0.73,0.0,0.0,0.0,5.6007551722609965e-06,1.1900746431886242e-05,4.286857493684857e-06
25863,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02188N3566_S002,1.48,0.0,0.0,0.0,6.917655618796304e-07,3.021160840433652e-06,4.471931464818874e-07
25872,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02279N3514_S002,1.54,0.0,0.0,0.0,5.38049233879593e-07,2.349832609772512e-06,3.488982861544731e-07
25882,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02311N3485_S003,1.17,0.0,0.0,0.0,8.758189549420143e-07,3.8038591875679623e-06,5.656687728237571e-07
25885,E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02209N3683_S000,0.52,0.0,0.0,0.0,4.6863992115236775e-05,9.001064724609391e-05,1.7086847251025585e-05
