id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01684N3490_D010_S067D30R090_A006995_S075	43861	7.139	10.648	0.96	0.987	-0.014	-0.012	9.629
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S022D90R090_A012497_S042	267725	14.415	12.864	1.442	1.302	0.476	0.794	15.791
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01603N3670_D010_S337D70R090_A012497_S042	95626	5.961	11.409	0.943	0.997	0.175	0.295	7.457
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01855N3378_D010_S067D50R090_A006995_S075	109747	13.911	11.749	1.154	1.192	-0.006	-0.005	15.259
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01603N3670_D010_S022D70R090_A012497_S042	166920	15.608	12.251	1.253	1.219	0.061	0.1	17.112
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01867N3445_D010_S067D70R270_A004781_S062	30938	5.879	10.278	0.94	0.954	0.002	0.002	7.238
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S202D70R270_A006995_S075	201914	18.147	12.51	1.343	1.325	0.052	0.146	19.66
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01878N3355_D010_S067D70R090_A006995_S075	107039	15.502	11.743	1.176	1.239	-0.003	-0.003	17.043
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01660N3512_D010_S067D50R090_A006995_S075	80713	11.217	11.296	0.998	1.103	-0.015	-0.014	12.933
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01817N3467_D010_S067D30R090_A006995_S075	65523	6.763	11.006	0.919	0.979	-0.007	-0.007	8.166
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01592N3602_D010_S022D70R090_A006995_S075	37792	6.136	10.508	0.968	0.956	0.01	0.017	7.741
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S157D90R090_A006995_S075	58347	5.664	10.857	0.89	0.953	-0.782	-0.249	8.004
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01977N3310_D010_S067D50R090_A006995_S075	52902	6.377	10.837	0.962	0.994	-0.003	-0.003	6.957
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01851N3355_D010_S067D50R090_A006995_S075	95414	13.191	11.557	1.095	1.162	-0.005	-0.005	14.622
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01664N3535_D010_S067D30R090_A006995_S075	67529	8.658	11.043	0.926	1.008	-0.018	-0.016	11.283
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01636N3535_D010_S247D50R090_A006995_S075	88179	6.64	11.395	1.007	1.009	-0.017	-0.016	7.561
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01828N3378_D010_S067D70R090_A006995_S075	95589	15.003	11.549	1.085	1.2	-0.004	-0.003	16.48
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01905N3355_D010_S067D70R270_A004781_S062	31993	6.939	10.313	0.942	1.037	0.002	0.002	8.535
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01786N3445_D010_S067D70R090_A006995_S075	100986	11.302	11.592	1.072	1.108	-0.004	-0.004	13.69
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01798N3512_D010_S067D30R090_A004781_S062	23000	4.284	10.001	0.959	0.848	-0.005	-0.004	4.806
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01919N3288_D010_S067D50R090_A006995_S075	65431	7.22	11.063	0.974	1.022	-0.004	-0.004	7.999
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01688N3512_D010_S067D50R090_A006995_S075	97291	10.409	11.528	1.043	1.079	-0.014	-0.013	12.106
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01859N3400_D010_S067D70R270_A004781_S062	38587	7.07	10.483	0.925	1.041	0.002	0.002	8.556
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01959N3355_D010_S067D30R090_A006995_S075	49120	6.752	10.721	0.922	0.982	-0.004	-0.003	8.602
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01692N3535_D010_S067D70R270_A004781_S062	44512	7.443	10.591	0.893	0.994	0.004	0.005	9.751
BS_4-8_manning003_extreme/E01446N4259E02038N3783-BS-M809_E01875N3895_D010_S112D90R270_A006995_S075	101002	13.081	11.584	1.063	1.141	0.001	0.001	14.762
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01668N3557_D010_S247D30R090_A006995_S075	94903	7.912	11.499	1.039	1.033	-0.017	-0.016	8.674
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01909N3378_D010_S067D90R090_A004781_S062	55439	12.099	10.864	0.943	1.123	0.0	0.0	13.658
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01564N3602_D010_S067D90R090_A006995_S075	95247	17.461	11.502	1.038	1.229	0.01	0.017	19.288
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01747N3535_D010_S067D70R270_A004781_S062	42232	5.665	10.576	0.928	0.951	0.003	0.003	6.703
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01882N3378_D010_S067D90R090_A004781_S062	62715	13.527	11.026	0.98	1.176	0.0	0.0	15.219
BS_4-8_manning003_extreme/E01446N4259E02038N3783-BS-M809_E01899N3872_D010_S112D90R270_A006995_S075	71468	11.569	11.117	0.942	1.084	0.0	0.001	13.127
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01851N3355_D010_S247D50R090_A006995_S075	66383	5.245	11.05	0.948	0.973	-0.005	-0.005	7.746
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01878N3355_D010_S247D50R090_A006995_S075	73641	7.335	11.169	0.963	0.996	-0.005	-0.005	9.872
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01859N3400_D010_S067D30R090_A003139_S050	22218	4.592	9.903	0.9	0.878	-0.002	-0.002	6.808
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01853N3512_D010_S067D50R090_A006995_S075	41165	7.172	10.592	0.967	0.938	-0.006	-0.005	10.387
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01836N3422_D010_S247D30R090_A006995_S075	76216	6.404	11.219	0.978	0.992	-0.006	-0.006	7.3
BS_4-8_manning003_extreme/E00979N4372E01586N3827-BS-M809_E01517N3827_D010_S157D70R270_A006995_S075	243117	14.054	12.716	1.37	1.277	0.067	0.323	15.461
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01932N3355_D010_S247D50R090_A006995_S075	58876	5.473	10.929	0.947	0.964	-0.004	-0.004	6.805
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01847N3333_D010_S067D50R090_A006995_S075	76916	10.522	11.279	1.029	1.083	-0.005	-0.005	11.992
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01778N3400_D010_S247D50R090_A004781_S062	22903	3.476	9.992	0.954	0.831	-0.004	-0.004	4.307
