id	count	max	logsum	mean	sd
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02318N3471_S001	46439	12.01	12.14	4.03	2.19
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01695N3801_S003	32676	6.83	11.35	2.59	0.94
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02393N3468_S002	35495	9.48	11.54	2.91	1.29
E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02171N3606_S000	3102	1.99	7.72	0.73	0.42
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02245N3515_S001	52385	12.69	12.39	4.6	2.32
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02344N3478_S001	34828	9.3	11.51	2.86	1.28
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02253N3527_S003	47081	10.98	12.15	4.03	1.95
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02262N3515_S005	44673	10.86	12.09	4.0	2.28
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02165N3634_S005	14494	5.91	10.31	2.07	0.86
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02171N3544_S001	19335	8.72	10.93	2.9	1.47
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02279N3514_S004	26911	7.66	11.31	3.04	1.46
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02482N3444_S005	32397	10.82	11.53	3.14	1.69
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02201N3524_S001	38207	10.13	11.85	3.66	2.01
E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02119N3739_S000	1946	1.31	6.81	0.47	0.29
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02296N3512_S001	32264	8.56	11.43	2.85	1.32
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02284N3476_S003	21000	4.75	10.69	2.09	0.57
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01677N3724_S001	36381	7.53	11.61	3.04	1.29
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02133N3599_S001	19721	7.5	10.93	2.84	1.37
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02370N3485_S001	21584	2.99	10.63	1.93	0.37
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01711N3754_S003	36087	9.11	11.64	3.16	1.43
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01695N3801_S002	37399	7.39	11.7	3.22	1.52
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02441N3439_S005	56756	14.25	12.63	5.36	2.98
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01703N3706_S005	42774	9.28	11.97	3.69	1.72
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02268N3554_S002	29275	9.57	11.4	3.05	1.54
E01577N3897E01966N3571-PS-Str_PYes_Var-M809_E01774N3710_S000	8859	3.25	9.41	1.38	0.7
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01766N3824_S002	32386	7.08	11.39	2.74	1.13
E01964N3926E02184N3685-PS-Str_PYes_Hom-M774_E02011N3740_S000	1088	0.8	6.02	0.38	0.15
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01683N3810_S002	24244	5.73	10.9	2.23	0.76
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01780N3796_S001	37586	8.2	11.64	3.03	1.26
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02264N3453_S002	29851	11.61	11.65	3.84	2.2
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02188N3566_S003	45458	10.0	12.1	3.95	1.96
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01701N3725_S005	41858	10.08	11.91	3.55	1.58
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02370N3485_S005	21691	6.98	10.78	2.22	0.75
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02326N3457_S004	35308	11.76	11.85	3.97	2.29
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01694N3821_S002	34488	7.0	11.5	2.86	1.19
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02210N3510_S001	27464	8.46	11.29	2.91	1.43
