eve_id,id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01267N3753E01646N3535-BS-M707_E01530N3737_D062_S292D10R090_A000668_S023,BS_manning003/E01267N3753E01646N3535-BS-M707_E01530N3737_D062_S292D10R090_A000668_S023,0.33,13,7.5,9.06782233451508e-09,-0.007,-0.019,2220,2.195,15.3075,37.3774,37371530,1315.0,0.019,1.0,2.992381370389977e-09,1.8674136321195144e-05,1315.0,"37.157,15.042"
E01267N3753E01646N3535-BS-M792_E01551N3692_D010_S067D50R270_A004781_S062,BS_manning003/E01267N3753E01646N3535-BS-M792_E01551N3692_D010_S067D50R270_A004781_S062,2.15,12,10.4,6.771065325929508e-09,-0.411,-0.936,21219,10.311,15.5157,36.9278,36921551,1188.0,0.936,0.0,1.4557790450748442e-08,1.8674136321195144e-05,1960.0,"36.857,15.342"
E01470N3877E01631N3641-BS-M792_E01513N3805_D010_S337D50R270_A008541_S034,BS_manning003/E01470N3877E01631N3641-BS-M792_E01513N3805_D010_S337D50R270_A008541_S034,0.47,14,8.0,1.4496192925225634e-08,-0.077,-0.101,5660,2.28,15.1345,38.0519,38051513,120.0,0.101,0.0,6.8132106748560475e-09,1.8674136321195144e-05,261.0,"37.757,15.042"
E01267N3753E01646N3535-BS-M809_E01509N3602_D010_S247D30R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01509N3602_D010_S247D30R090_A006995_S075,1.29,14,8.0,1.3224120032266932e-09,0.008,-0.007,14788,5.848,15.0933,36.0284,36021509,24.0,0.008,1.0,1.7059114841624344e-09,1.8674136321195144e-05,89.0,"35.957,15.042"
E01446N4259E02038N3783-BS-M792_E01951N3850_D125_S157D10R090_A004781_S062,BS_manning003/E01446N4259E02038N3783-BS-M792_E01951N3850_D125_S157D10R090_A004781_S062,1.09,14,8.6,7.945170492185554e-10,-0.001,-0.001,13029,4.855,19.5192,38.5016,38501951,160.0,0.001,1.0,8.660235836482255e-10,1.8674136321195144e-05,160.0,"38.357,19.242"
E01470N3877E01631N3641-BS-M732_E01555N3715_D010_S337D30R270_A002108_S017,BS_manning003/E01470N3877E01631N3641-BS-M732_E01555N3715_D010_S337D30R270_A002108_S017,1.23,12,7.7,2.46557309331491e-08,0.004,-0.014,11535,4.746,15.5529,37.1526,37151555,772.0,0.014,1.0,3.032654904777339e-08,1.8674136321195144e-05,1960.0,"36.857,15.342"
E01267N3753E01646N3535-BS-M732_E01547N3670_D142_S022D50R270_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01547N3670_D142_S022D50R270_A001180_S030,0.34,14,8.0,1.2737289070440985e-08,-0.043,-0.065,2983,2.393,15.479,36.7029,36701547,617.0,0.065,1.0,4.330678283949935e-09,1.8674136321195144e-05,617.0,"36.557,15.342"
E01267N3753E01646N3535-BS-M774_E01575N3670_D010_S202D30R090_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01575N3670_D010_S202D30R090_A003139_S050,2.34,13,7.7,3.346368654614881e-09,0.056,0.007,32790,10.23,15.7595,36.7029,36701575,602.0,0.056,1.0,7.830502651798822e-09,1.8674136321195144e-05,602.0,"36.557,15.642"
E01267N3753E01646N3535-BS-M707_E01527N3715_D115_S157D50R270_A000668_S023,BS_manning003/E01267N3753E01646N3535-BS-M707_E01527N3715_D115_S157D50R270_A000668_S023,0.48,14,8.6,5.44939387675742e-08,0.587,0.167,10092,2.587,15.2708,37.1526,37151527,1118.0,0.587,0.0,2.6157090608435614e-08,1.8674136321195144e-05,2045.0,"36.857,15.042"
E01470N3877E01631N3641-BS-M774_E01579N3692_D010_S067D50R270_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01579N3692_D010_S067D50R270_A005608_S028,1.06,11,8.0,7.75957627827407e-09,-0.137,-0.292,13628,6.644,15.797,36.9278,36921579,475.0,0.292,0.0,8.225150854970515e-09,1.8674136321195144e-05,1050.0,"36.857,15.642"
