id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01719N3535_D010_S067D70R090_A006995_S075	15	16	16	15	16	18	12	29	16	0	0	28	0	13	14	11	11	11	22	13	13	10	17	0	13	21	22	18	14	14	21	11	19	10	20	21	19	11	11	18	17	16	15	12	16	14	11	15	18	18	20	23	24	11	12	16	26	23	14	26	22	24	28	29	22	17	20	20	17	18	25	12	18	16	23	23	22	20	15	10	10	31	19	14	14	16	17
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01559N3737_D010_S067D90R090_A012497_S042	29	31	32	30	18	24	29	29	33	0	0	29	0	12	12	11	11	10	12	14	10	11	20	0	14	21	22	17	16	15	16	14	18	21	21	21	19	24	26	16	16	14	18	13	13	14	16	11	12	14	25	26	24	19	20	23	43	27	38	17	37	25	25	36	38	36	20	10	11	11	16	16	13	39	39	39	37	39	43	38	49	49	35	13	13	14	13
BS_4-8_manning003_extreme/E00979N4372E01586N3827-BS-M809_E01517N3827_D010_S157D70R090_A006995_S075	22	20	24	10	21	18	14	21	21	0	0	19	0	20	12	12	10	11	10	16	20	15	16	0	22	19	18	13	14	13	16	19	19	17	10	18	27	26	27	27	28	11	28	28	30	30	13	11	12	31	30	31	12	12	13	12	12	11	13	12	35	35	11	12	11	13	12	12	12	11	13	13	10	12	10	34	13	11	10	10	10	32	10	32	13	11	10
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01882N3378_D010_S067D30R090_A006995_S075	32	15	16	15	17	16	13	14	17	0	0	18	0	13	12	10	16	11	12	11	13	18	10	0	14	13	20	17	10	13	17	13	10	24	13	12	18	23	10	12	20	19	15	12	12	11	11	10	12	14	14	10	12	10	13	11	10	17	10	11	22	21	27	12	12	16	16	14	11	11	12	14	11	18	16	24	25	13	13	13	13	12	15	10	12	11	10
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01758N3445_D010_S067D50R090_A006995_S075	16	17	16	15	16	18	12	14	15	0	0	27	0	13	17	11	16	10	12	15	13	11	10	0	12	14	22	17	14	12	17	17	10	25	19	13	19	10	10	18	18	16	15	13	12	13	11	10	16	15	12	17	13	10	14	10	10	24	13	12	23	25	15	28	12	17	19	21	13	11	12	15	21	17	25	14	26	16	15	14	13	12	14	16	13	13	11
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S022D70R090_A006995_S075	34	34	35	34	35	18	35	34	33	0	0	37	0	13	34	35	12	11	12	23	14	11	28	0	11	18	19	21	19	15	17	15	15	16	19	15	20	19	19	17	17	16	15	13	12	14	12	15	15	15	12	10	12	10	12	10	18	22	25	25	22	22	25	26	20	15	17	18	16	12	10	12	16	14	15	15	16	21	23	22	23	25	23	12	13	14	16
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01794N3490_D010_S067D30R090_A004781_S062	32	16	15	15	16	14	13	14	16	0	0	19	0	14	13	10	11	10	12	15	13	18	17	0	12	14	20	10	11	14	18	14	10	10	10	13	19	13	10	10	10	10	19	12	14	13	12	10	12	11	11	11	10	10	14	11	10	10	13	14	14	19	20	31	41	18	20	24	13	20	14	17	20	43	42	43	44	19	19	16	13	14	16	18	14	12	14
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01739N3490_D010_S247D30R090_A006995_S075	16	17	17	16	16	20	14	22	18	0	0	10	0	11	10	10	10	10	11	11	11	12	12	0	21	11	11	12	14	17	11	12	12	11	22	17	12	12	12	13	13	20	19	13	17	16	15	12	19	19	13	20	13	13	17	13	13	21	14	14	24	24	17	29	14	17	19	16	14	14	14	14	14	14	14	14	26	16	15	15	15	15	16	16	16	15	14
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01859N3400_D010_S067D30R090_A006995_S075	32	16	16	14	17	15	13	14	16	0	0	19	0	14	14	10	12	11	14	15	13	18	10	0	13	13	20	17	10	14	17	14	10	10	13	13	18	10	10	10	10	10	16	12	13	11	11	10	12	14	12	10	13	10	14	10	10	18	11	22	22	21	17	13	12	14	16	14	12	12	12	14	11	16	25	25	25	14	13	15	14	13	15	15	12	12	11
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01640N3557_D010_S067D70R270_A006995_S075	16	16	16	15	17	17	28	29	22	0	0	18	0	12	14	14	10	10	12	14	14	11	10	0	14	14	22	10	13	23	16	14	19	24	20	21	21	10	11	19	18	16	16	14	15	15	12	12	16	18	20	19	11	13	12	10	23	25	18	26	25	25	30	30	32	18	18	20	18	12	16	13	19	17	14	27	19	16	16	15	14	16	16	14	11	13	14
