id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005	71	43	44	43	38	46	34	39	51	0	0	11	0	12	14	13	15	10	14	14	13	14	15	0	0	13	14	15	14	13	15	14	13	14	12	21	12	12	12	12	12	15	13	13	12	12	12	12	12	13	13	22	14	12	12	15	13	13	21	31	35	36	13	12	13	14	13	15	14	21	15	12	13	12	56	57	57	14	14	14	13	20	58	15	21	22	15
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000	106	66	71	74	16	18	17	18	16	0	0	19	0	19	16	17	16	15	13	14	12	19	19	0	0	20	20	21	11	25	18	13	17	15	13	20	20	13	13	13	19	18	18	18	18	15	13	13	16	18	13	15	13	12	13	17	13	35	14	10	10	25	15	12	12	16	20	25	21	12	14	12	17	16	13	13	13	13	13	13	12	13	12	15	12	13	12
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000	66	66	20	19	19	24	25	25	17	0	0	19	0	25	25	17	17	17	18	16	25	25	26	0	0	26	26	17	26	24	25	16	18	25	25	21	25	24	28	25	20	17	17	18	20	18	21	24	24	24	24	25	24	19	20	18	15	29	15	26	28	29	30	31	30	20	20	24	21	21	23	21	20	14	16	20	15	21	16	16	27	22	27	21	21	20	19
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000	0	0	35	85	14	37	39	40	41	0	0	39	0	54	55	56	56	49	15	15	13	15	15	0	0	56	37	16	16	35	37	15	29	15	28	31	36	40	14	14	15	15	15	15	16	15	14	14	16	15	15	15	14	15	15	14	13	64	12	12	14	39	14	14	14	16	49	43	20	13	16	16	47	44	41	43	51	17	41	43	42	43	42	42	49	16	16
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000	0	0	0	0	0	0	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	36	35	36	36	37	37	38	78	82	307	145	147	223	0	0	236	234	155	229	0	0	0	0	0	0	0	0	0	0
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004	32	44	22	22	22	26	28	29	45	0	0	18	0	20	20	20	20	20	20	20	27	27	29	0	32	21	27	29	29	26	29	20	19	28	20	27	28	21	25	27	20	20	20	20	25	25	24	25	25	26	26	26	28	20	21	29	20	32	29	30	28	29	29	38	40	19	19	24	20	20	27	25	27	25	26	23	23	27	28	28	27	27	27	28	26	25	28
PS_manning003/E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000	59	55	51	50	49	40	43	44	48	0	0	54	0	45	55	55	56	56	56	82	81	97	97	0	0	96	24	23	22	21	67	72	29	28	28	30	67	71	72	70	69	66	29	40	37	78	79	70	77	72	72	72	78	0	0	0	78	76	77	33	34	34	35	38	38	81	81	76	71	71	77	82	83	76	77	76	77	75	153	151	81	225	77	89	226	226	224
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02183N3593_S000	20	19	19	19	19	19	20	20	19	0	0	20	0	19	19	19	17	17	12	13	12	18	21	0	0	11	20	21	12	13	10	12	17	18	12	20	11	12	13	13	12	19	18	18	17	17	12	12	22	19	18	12	13	13	16	20	12	20	12	12	11	11	20	12	11	18	19	21	19	19	14	13	20	12	19	18	17	14	13	14	13	13	20	20	13	12	13
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02277N3489_S002	24	23	21	24	22	21	22	24	10	0	0	11	0	12	12	12	12	13	12	12	12	19	12	0	10	12	20	22	25	25	11	14	12	20	23	23	23	13	14	14	14	22	19	19	18	24	14	23	24	22	14	13	15	24	19	25	13	26	16	26	23	23	24	25	13	21	23	22	24	25	23	24	22	14	21	20	14	23	23	23	22	23	23	23	24	24	24
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02293N3602_S002	13	14	14	14	14	14	13	46	44	0	0	109	0	12	12	11	14	14	15	15	16	15	15	0	0	23	14	15	13	13	17	15	13	15	13	14	21	22	12	12	17	17	16	14	12	14	14	14	14	14	14	14	14	14	14	14	24	36	13	38	39	40	42	41	40	16	17	22	14	14	13	13	120	21	14	14	13	40	12	12	39	13	40	13	14	13	13
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S003	12	13	14	12	13	15	10	10	25	0	0	10	0	11	17	17	11	10	52	15	24	20	10	0	25	12	21	10	11	15	19	10	28	16	12	20	12	21	51	52	53	18	17	15	14	11	12	10	14	16	12	55	10	11	13	19	22	17	16	10	21	17	19	18	21	21	20	22	22	19	11	55	42	17	16	14	13	10	10	10	11	10	10	55	56	20	11
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02140N3614_S000	0	67	36	35	36	19	19	37	17	0	0	19	0	18	18	18	17	17	12	13	12	18	10	0	0	20	20	21	12	24	18	12	18	17	21	21	21	12	12	18	18	18	18	18	18	17	13	12	18	18	18	18	13	12	13	11	11	37	36	10	40	39	45	30	12	18	19	18	19	18	15	13	13	55	14	13	13	13	13	13	14	14	34	16	13	13	13
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01623N3797_S000	0	56	53	52	52	42	42	43	47	0	0	52	0	42	51	50	49	46	11	12	11	12	0	0	0	0	24	23	22	10	26	12	12	29	11	10	40	84	10	10	11	11	10	14	14	85	12	10	80	87	85	43	82	82	19	18	91	86	39	39	37	38	38	42	42	78	54	81	78	77	150	86	87	81	0	330	154	158	154	151	87	227	227	90	230	229	227
