eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01653N3723_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01653N3723_S000,0.68,1.7595436504737334e-08,0.018,0.011,3.949,16.53,37.23,37221653,18.0,0.018,1.0,1.1964896823221389e-08,1.8674136321195144e-05,115.0,"37.037,16.452"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02377N3471_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02377N3471_S005,0.46,3.1343919990356325e-08,0.004,0.004,1.971,23.77,34.71,34712377,94.0,0.004,1.0,1.441820319556391e-08,1.8674136321195144e-05,596.0,"34.397,23.712"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02109N3622_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02109N3622_S002,0.88,2.9400056317765373e-08,0.002,0.002,3.782,21.09,36.22,36222109,72.0,0.002,1.0,2.5872049559633527e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02368N3461_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02368N3461_S004,1.48,9.373431002805125e-08,0.011,0.011,7.652,23.68,34.61,34612368,111.0,0.011,1.0,1.3872677884151586e-07,1.8674136321195144e-05,439.0,"34.397,23.382"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02202N3553_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02202N3553_S000,0.37,1.135049168569475e-07,0.001,0.001,1.495,22.02,35.53,35532202,121.0,0.001,1.0,4.199681923707057e-08,1.8674136321195144e-05,484.0,"35.387,21.732"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02377N3471_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02377N3471_S004,1.17,2.815195014308033e-08,0.008,0.008,3.954,23.77,34.71,34712377,94.0,0.008,1.0,3.293778166740398e-08,1.8674136321195144e-05,596.0,"34.397,23.712"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02250N3552_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02250N3552_S004,0.94,1.966098045692419e-08,0.004,0.004,4.541,22.5,35.52,35522250,75.0,0.004,1.0,1.8481321629508737e-08,1.8674136321195144e-05,404.0,"35.387,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02451N3450_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02451N3450_S004,0.87,7.057669740055861e-09,0.007,0.005,3.291,24.51,34.5,34502451,82.0,0.007,1.0,6.140172673848599e-09,1.8674136321195144e-05,218.0,"34.397,24.372"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02168N3560_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02168N3560_S004,1.19,1.9082799634518222e-08,0.004,0.004,5.387,21.68,35.6,35602168,95.0,0.004,1.0,2.2708531565076684e-08,1.8674136321195144e-05,304.0,"35.387,21.402"
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01700N3744_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01700N3744_S000,1.3,2.804985904202036e-08,0.03,0.016,4.693,17.0,37.44,37441700,36.0,0.03,1.0,3.646481675462647e-08,1.8674136321195144e-05,143.0,"37.367,16.782"
E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01680N3686_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01680N3686_S000,0.63,2.9137714101001682e-08,0.013,0.01,3.316,16.8,36.86,36861680,32.0,0.013,1.0,1.835675988363106e-08,1.8674136321195144e-05,147.0,"36.707,16.782"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02144N3587_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02144N3587_S002,1.26,2.874765046448221e-08,0.008,0.007,5.244,21.44,35.87,35862144,107.0,0.008,1.0,3.622203958524759e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02461N3461_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02461N3461_S003,0.42,3.2417145209686184e-08,0.002,0.002,1.837,24.61,34.61,34612461,30.0,0.002,1.0,1.3615200988068197e-08,1.8674136321195144e-05,218.0,"34.397,24.372"
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01710N3774_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01710N3774_S000,1.05,3.140648193387719e-08,0.025,0.019,3.505,17.1,37.74,37741710,38.0,0.025,1.0,3.2976806030571056e-08,1.8674136321195144e-05,201.0,"37.697,16.782"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02333N3444_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02333N3444_S004,0.89,1.9301500263609328e-08,0.004,0.004,4.216,23.33,34.44,34442333,58.0,0.004,1.0,1.7178335234612302e-08,1.8674136321195144e-05,491.0,"34.397,23.052"
E02020N3739E02658N3366-PS-Str_PNo_Var-M850_E02204N3672_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Var-M850_E02204N3672_S000,0.37,4.798223396083394e-06,0.001,0.001,1.4,22.04,36.72,36722204,57.0,0.001,1.0,1.7753426565508555e-06,1.8674136321195144e-05,194.0,"36.707,21.732"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02223N3573_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02223N3573_S001,0.89,1.999968699240348e-08,0.004,0.004,3.376,22.23,35.73,35722223,90.0,0.004,1.0,1.7799721423239098e-08,1.8674136321195144e-05,373.0,"35.717,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02164N3503_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02164N3503_S000,0.44,1.3259040225651178e-07,0.001,0.001,1.749,21.64,35.03,35032164,51.0,0.001,1.0,5.833977699286518e-08,1.8674136321195144e-05,142.0,"34.727,21.402"
