eve_id,id,max_off,mean_prob,dzmax,dzmin,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01577N3897E01966N3571-PS-Str_PYes_Hom-M754_E01840N3808_S000,PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M754_E01840N3808_S000,0.14,4.4936108371912886e-07,0.001,0.001,0.676,18.4,38.08,38081839,22.0,0.001,1.0,6.291055172067805e-08,1.8674136321195144e-05,72.0,"38.027,18.102"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02292N3463_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02292N3463_S002,0.75,2.8405784504085232e-08,0.002,0.002,3.304,22.92,34.63,34632292,52.0,0.002,1.0,2.1304338378063923e-08,1.8674136321195144e-05,200.0,"34.397,22.722"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02335N3468_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02335N3468_S005,0.54,3.0313001043995743e-08,0.004,0.004,2.056,23.35,34.68,34682335,121.0,0.004,1.0,1.6369020563757703e-08,1.8674136321195144e-05,491.0,"34.397,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02166N3518_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02166N3518_S000,0.26,1.5226168374075766e-07,0.001,0.001,1.772,21.66,35.18,35182166,52.0,0.001,1.0,3.9588037772596994e-08,1.8674136321195144e-05,260.0,"35.057,21.402"
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01686N3772_S002,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01686N3772_S002,1.37,2.666247013550014e-09,0.062,0.05,6.075,16.86,37.72,37721686,38.0,0.062,1.0,3.6527584085635197e-09,1.8674136321195144e-05,201.0,"37.697,16.782"
E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01748N3747_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01748N3747_S000,0.95,4.9942740989888736e-08,0.047,0.031,7.158,17.48,37.47,37471748,30.0,0.047,1.0,4.74456039403943e-08,1.8674136321195144e-05,211.0,"37.367,17.442"
E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02259N3628_S001,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02259N3628_S001,0.85,5.78042965282391e-08,0.005,0.005,3.01,22.59,36.28,36282259,76.0,0.005,1.0,4.9133652049003235e-08,1.8674136321195144e-05,225.0,"36.047,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02425N3440_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02425N3440_S005,1.27,1.3381304104998072e-08,0.008,0.008,5.822,24.25,34.4,34402425,93.0,0.008,1.0,1.699425621334755e-08,1.8674136321195144e-05,536.0,"34.397,24.042"
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01670N3819_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01670N3819_S000,0.25,2.7408206520148013e-07,0.011,0.008,1.435,16.7,38.19,38191670,37.0,0.011,1.0,6.852051630037003e-08,1.8674136321195144e-05,98.0,"38.027,16.452"
E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02054N3653_S002,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02054N3653_S002,0.98,8.27516071599239e-08,0.002,0.001,4.291,20.54,36.53,36532054,40.0,0.002,1.0,8.109657501672541e-08,1.8674136321195144e-05,187.0,"36.377,20.412"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02144N3587_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02144N3587_S004,1.02,1.955640340013588e-08,0.004,0.004,3.795,21.44,35.87,35862144,107.0,0.004,1.0,1.9947531468138597e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M774_E02307N3436_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M774_E02307N3436_S000,0.15,4.4554716590169765e-07,0.001,0.001,0.951,23.07,34.36,34362307,17.0,0.001,1.0,6.683207488525465e-08,1.8674136321195144e-05,68.0,"34.067,23.052"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02498N3438_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02498N3438_S005,0.33,3.147321819282467e-08,0.002,0.002,1.472,24.98,34.38,34382498,53.0,0.002,1.0,1.0386162003632142e-08,1.8674136321195144e-05,265.0,"34.067,24.702"
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02335N3587_S005,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02335N3587_S005,0.4,2.139097039080119e-07,0.002,0.002,1.725,23.35,35.87,35862335,56.0,0.002,1.0,8.556388156320477e-08,1.8674136321195144e-05,387.0,"35.717,23.052"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02375N3448_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02375N3448_S001,0.37,2.0040045170000443e-08,0.004,0.004,2.802,23.75,34.48,34472375,109.0,0.004,1.0,7.414816712900164e-09,1.8674136321195144e-05,596.0,"34.397,23.712"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02344N3478_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02344N3478_S005,0.53,3.04685707291567e-08,0.004,0.004,2.094,23.44,34.78,34782344,127.0,0.004,1.0,1.6148342486453053e-08,1.8674136321195144e-05,385.0,"34.727,23.382"
E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02053N3545_S000,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02053N3545_S000,0.28,3.5612544809902566e-08,0.001,0.001,1.739,20.53,35.45,35452053,6.0,0.001,1.0,9.97151254677272e-09,1.8674136321195144e-05,29.0,"35.387,20.412"
E01849N3766E02950N3220-PS-Str_PYes_Var-M707_E01976N3719_S000,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M707_E01976N3719_S000,0.09,6.532808223207873e-06,0.001,0.001,0.495,19.76,37.19,37191976,9.0,0.001,1.0,5.879527400887086e-07,1.8674136321195144e-05,38.0,"37.037,19.752"
E01517N3917E01678N3772-PS-Str_PNo_Hom-M792_E01632N3846_S000,PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M792_E01632N3846_S000,0.24,1.0759376774252402e-05,0.013,0.01,1.339,16.32,38.46,38461632,15.0,0.013,1.0,2.582250425820576e-06,1.8674136321195144e-05,66.0,"38.357,16.122"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02155N3547_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02155N3547_S000,0.28,8.359462452540993e-08,0.001,0.001,1.763,21.55,35.47,35472155,71.0,0.001,1.0,2.3406494867114785e-08,1.8674136321195144e-05,304.0,"35.387,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02140N3614_S003,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02140N3614_S003,0.55,3.027332199746547e-08,0.002,0.002,3.532,21.4,36.14,36142140,89.0,0.002,1.0,1.6650327098606012e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
