idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
50110,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M754_E02083N3755_S000,0.08544922,6.68410651292375e-06,1.3064542559192219e-05,4.359081260980385e-05,0.00013378146965906,0.00021977512647658497,6.925170167657587e-05
50112,E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02094N3692_S000,0.17395401,0.0,1.2833356735834772e-07,8.477265090758229e-06,3.324818315782749e-05,5.731636117364775e-05,1.5913959754448822e-05
50127,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02226N3538_S000,0.2609291,0.0,0.0,3.847464355182533e-06,2.4701691085267344e-05,3.735155275066215e-05,1.074808685785011e-05
50145,E02113N3823E02873N3483-PS-Str_PNo_Hom-M792_E02349N3553_S000,0.11291504,5.370598623441418e-06,8.459147259629019e-06,2.4367946147195068e-05,3.720136825405363e-05,6.64303841155101e-05,2.8056323854886173e-05
50147,E02113N3823E02873N3483-PS-Str_PYes_Var-M792_E02291N3588_S000,0.11291504,5.175645503478649e-06,7.902762175788921e-06,2.284803981863905e-05,3.543049783124659e-05,6.161745921347865e-05,2.6444004093605513e-05
50150,E02113N3823E02873N3483-PS-Str_PNo_Var-M792_E02320N3583_S000,0.10986328,5.375013208300246e-06,8.461484696992109e-06,2.4333354494564165e-05,3.754511819723008e-05,6.474851381284179e-05,2.7887957266352987e-05
50153,E01964N3926E02184N3685-PS-Str_PNo_Hom-M732_E02067N3699_S000,0.07476807,9.501681936746412e-06,2.0416937266225426e-05,0.0001022244747169,0.00023223375298006397,0.00034463390553423495,0.00012719620771763416
50161,E01964N3926E02184N3685-PS-Mur_PNo_Hom-M732_E02073N3766_S000,0.05493164,1.201623907680697e-05,2.7908015051221826e-05,0.00013974424661009999,0.00032370082649216394,0.00043628387291248495,0.00016892139610869193
50206,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02253N3527_S000,0.21667862,0.0,0.0,5.251167587596262e-06,3.0900057821904415e-05,4.726501433467226e-05,1.3420736049408155e-05
50221,E02020N3739E02658N3366-PS-Str_PYes_Var-M774_E02243N3430_S000,0.14496231,0.0,0.0,1.5608236401238857e-06,4.648689615295095e-05,0.0002172494627709,3.083235292208394e-05
50240,E01964N3926E02184N3685-PS-Mur_PNo_Var-M774_E02065N3777_S000,0.08850098,1.3603731898665884e-07,1.953344138751952e-06,1.3794350914516946e-05,5.9955405180324884e-05,0.00010878287657542499,2.902541750689225e-05
50254,E02113N3823E02873N3483-PS-Str_PYes_Var-M792_E02306N3593_S000,0.11138916,5.278585885963635e-06,8.185973705132101e-06,2.378196553729037e-05,3.614493959318783e-05,6.395381385853116e-05,2.7270836693366197e-05
50274,E02113N3823E02873N3483-PS-Mur_PNo_Var-M792_E02350N3576_S000,0.09613037,6.339058008485508e-06,9.903567604487483e-06,2.8477608135249263e-05,4.394922771435428e-05,7.430554986441541e-05,3.241029162119582e-05
50318,E02113N3823E02873N3483-PS-Mur_PYes_Var-M792_E02202N3721_S000,0.07476807,6.63651614814485e-06,1.0179392932244114e-05,2.910973855508913e-05,4.631459097053749e-05,7.889115755619289e-05,3.368999573703845e-05
50334,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02270N3527_S000,0.41657257,0.0,0.0,1.8277796259545775e-06,1.282804823198605e-05,1.971832077054408e-05,4.891724170907598e-06
