id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000	1039	0.553	5.266	0.185	0.126	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000	1234	0.487	5.327	0.166	0.123	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000	1689	0.604	5.807	0.196	0.153	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001	7136	1.392	8.193	0.506	0.303	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000	1169	0.495	5.181	0.151	0.115	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001	25971	5.661	10.124	0.96	0.804	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001	17177	6.356	9.864	1.119	0.979	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003	13769	5.636	9.401	0.878	0.738	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000	5021	2.586	7.799	0.485	0.46	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000	8455	2.764	8.428	0.541	0.478	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004	10454	4.199	8.95	0.737	0.639	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002	33594	6.004	10.528	1.111	0.845	0.045	0.053
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000	5788	1.647	7.698	0.381	0.276	0.008	0.011
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001	17347	6.939	9.917	1.168	1.005	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005	25154	5.433	10.054	0.924	0.755	0.011	0.011
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000	9757	3.142	8.68	0.603	0.467	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004	29473	6.808	10.328	1.037	0.885	0.005	0.007
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000	887	0.446	4.948	0.158	0.114	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000	1432	1.647	6.077	0.304	0.242	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000	5610	2.874	7.996	0.529	0.508	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001	25798	5.384	10.035	0.884	0.71	0.008	0.008
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000	4859	2.912	7.846	0.525	0.49	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005	26118	5.414	10.176	1.006	0.836	0.043	0.05
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000	529	0.244	4.052	0.107	0.064	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000	4912	2.833	7.689	0.444	0.436	0.001	0.001
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000	2027	0.822	6.232	0.251	0.19	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000	1720	0.762	5.908	0.213	0.162	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004	12446	2.366	9.171	0.772	0.49	0.002	0.004
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005	6850	1.733	8.091	0.476	0.3	0.002	0.002
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002	17557	4.69	9.627	0.864	0.678	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001	18759	2.236	9.563	0.759	0.596	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000	2250	1.273	6.373	0.26	0.212	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000	8061	3.255	8.429	0.568	0.469	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001	31224	4.989	10.294	0.947	0.718	0.008	0.008
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000	17952	4.384	9.684	0.895	0.661	0.014	0.018
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000	2346	1.352	6.549	0.297	0.256	0.001	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000	2006	1.47	6.459	0.318	0.265	0.001	0.001
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000	6871	3.825	8.133	0.495	0.483	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000	1885	0.814	6.05	0.224	0.176	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000	5682	2.668	7.856	0.454	0.436	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005	45615	10.483	11.15	1.526	1.497	0.01	0.01
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01585N3824_S000	647	0.309	4.338	0.117	0.074	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02344N3478_S002	24109	7.492	10.251	1.174	1.008	0.007	0.007
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01768N3805_S000	8302	2.888	8.381	0.525	0.445	0.008	0.01
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02214N3447_S000	3081	2.26	7.241	0.452	0.394	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02118N3568_S001	14856	5.376	9.572	0.966	0.855	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01828N3798_S000	10937	3.411	8.892	0.665	0.548	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S005	12533	1.879	9.143	0.746	0.507	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02461N3461_S002	9437	1.63	8.8	0.703	0.426	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01700N3744_S004	31347	5.981	10.442	1.094	0.882	0.039	0.043
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02359N3451_S003	28720	5.103	10.154	0.894	0.733	0.007	0.007
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02441N3439_S005	13599	3.101	9.281	0.789	0.524	0.007	0.007
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02311N3485_S002	33368	6.905	10.51	1.099	0.935	0.007	0.008
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3606_S003	26721	8.332	10.465	1.312	1.202	0.004	0.004
