id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000	3842	0.769	7.087	0.311	0.181	0.001	0.001	0.824
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000	7261	1.692	8.376	0.598	0.379	0.001	0.001	2.072
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001	24328	3.832	9.99	0.897	0.771	0.004	0.004	4.324
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005	23724	3.225	9.967	0.898	0.698	0.002	0.002	3.473
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000	4548	0.989	7.268	0.315	0.214	0.001	0.001	1.128
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002	21022	3.065	9.826	0.88	0.682	0.002	0.002	3.157
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000	2245	0.498	6.073	0.193	0.115	0.001	0.001	0.54
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003	31088	4.373	10.295	0.952	0.836	0.004	0.004	4.843
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004	20935	3.79	9.864	0.919	0.723	0.002	0.004	3.897
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005	38880	4.492	10.555	0.986	0.899	0.005	0.005	5.542
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01587N3805_S000	4544	1.07	7.307	0.328	0.227	-0.001	0.001	1.157
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01778N3834_S000	1671	0.364	5.455	0.139	0.076	0.001	0.001	0.414
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002	29476	4.447	10.17	0.886	0.807	0.002	0.004	4.738
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005	17349	2.578	9.527	0.791	0.627	0.002	0.002	2.657
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000	6010	1.118	7.9	0.449	0.278	0.002	0.002	1.228
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000	8155	1.947	8.573	0.648	0.415	0.001	0.001	2.2
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01755N3814_S000	5909	1.223	7.812	0.418	0.26	0.001	0.001	1.41
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000	1611	0.423	5.369	0.133	0.076	0.001	0.001	0.493
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02134N3641_S004	51064	4.608	10.802	0.961	0.88	0.005	0.005	5.583
PS_manning003/E01548N3896E01854N3659-PS-Str_PNo_Hom-M754_E01634N3808_S000	4594	0.997	7.312	0.326	0.22	0.004	0.005	1.149
