id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01758N3445_D010_S247D50R090_A006995_S075	18.5	18.5	18.5	8.3	8.9	7.7	13.3	16.0	24.0	inf	inf	5.2	inf	3.5	1.6	5.0	8.3	3.5	6.9	5.1	3.5	2.5	5.0	inf	inf	12.6	5.2	8.3	8.3	8.3	6.0	7.7	5.1	4.0	6.0	10.0	24.0	24.0	12.6	11.4	11.4	7.7	7.7	10.9	7.3	7.7	7.1	12.0	12.0	12.0	12.0	12.0	6.3	8.6	8.6	4.6	15.0	15.0	15.0	17.1	17.1	21.8	21.8	21.8	20.0	20.0	30.0	30.0	34.3	34.3	34.3	15.0	34.3	20.0	34.3	34.3	12.0	34.3	16.0	16.0	20.0	20.0	20.0	10.9	8.9	5.6	10.0
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01886N3400_D010_S067D70R090_A006995_S075	18.5	18.5	8.3	8.3	8.3	7.7	8.3	8.3	8.3	inf	inf	5.2	inf	5.2	5.2	5.0	2.1	6.9	6.9	5.1	3.5	5.0	5.0	inf	inf	1.5	5.2	8.3	8.3	8.3	4.1	7.7	5.2	4.8	6.0	9.6	10.0	6.0	6.5	11.4	11.4	7.7	7.7	10.9	9.2	9.2	7.3	7.3	12.0	12.0	12.0	12.0	6.3	8.6	8.0	4.6	21.8	15.0	21.8	21.8	21.8	21.8	21.8	21.8	21.8	18.5	30.0	10.9	10.9	8.6	15.0	15.0	15.0	20.0	20.0	18.5	12.0	14.1	8.9	8.9	20.0	6.9	12.6	10.9	8.9	8.9	8.9
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01766N3490_D010_S067D30R090_A006995_S075	18.5	18.5	8.3	8.3	8.9	7.7	8.3	8.3	21.8	inf	inf	5.2	inf	5.2	5.2	5.0	8.3	6.9	6.9	5.1	6.9	5.0	5.0	inf	inf	5.2	5.2	8.3	8.3	8.3	6.0	7.7	5.1	4.8	6.0	10.4	10.0	24.0	11.4	11.4	11.4	7.7	7.7	10.9	7.3	9.2	7.1	12.0	12.0	12.0	12.0	12.0	6.3	8.6	8.6	8.6	18.5	15.0	17.1	17.1	17.1	21.8	21.8	21.8	21.8	8.9	30.0	30.0	30.0	8.6	30.0	15.0	15.0	30.0	30.0	30.0	30.0	30.0	8.0	16.0	20.0	12.6	20.0	10.9	8.9	8.9	10.0
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01790N3467_D010_S067D70R090_A006995_S075	18.5	18.5	8.3	8.3	8.9	7.7	8.3	8.3	21.8	inf	inf	5.2	inf	5.2	5.2	5.0	2.1	2.8	6.9	5.1	3.5	5.0	5.0	inf	inf	5.2	5.2	8.3	8.3	8.3	4.1	7.7	5.2	4.8	6.0	10.4	10.0	24.0	6.5	6.7	11.4	7.7	7.7	10.9	9.2	9.2	7.1	7.1	12.0	12.0	12.0	12.0	6.3	8.6	8.6	4.5	15.0	15.0	15.0	18.5	18.5	18.5	21.8	21.8	18.5	18.5	34.3	10.9	10.9	8.6	15.0	15.0	34.3	34.3	34.3	18.5	12.0	12.0	11.4	16.0	20.0	12.6	20.0	10.9	8.9	11.4	10.0
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01778N3400_D010_S247D50R090_A006995_S075	18.5	18.5	18.5	18.5	8.9	7.7	21.8	21.8	21.8	inf	inf	5.2	inf	5.2	5.2	5.0	2.2	3.5	3.9	5.1	3.5	2.8	5.0	inf	inf	12.6	5.2	12.6	8.3	8.3	4.1	9.2	5.1	4.0	6.0	10.0	24.0	24.0	12.6	11.4	11.4	7.7	16.0	10.9	8.3	9.2	7.1	12.0	12.0	12.0	12.0	12.0	6.3	8.6	8.6	4.6	15.0	15.0	15.0	17.1	21.8	21.8	21.8	21.8	21.8	10.9	10.9	34.3	34.3	34.3	34.3	15.0	34.3	34.3	34.3	10.9	12.0	12.0	16.0	16.0	20.0	7.5	20.0	10.9	12.6	12.6	12.6
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S157D90R270_A006995_S075	10.9	12.0	12.0	10.9	10.9	13.3	13.3	13.3	24.0	inf	inf	24.0	inf	13.3	13.3	13.3	13.3	5.7	13.3	5.2	2.9	2.9	5.7	inf	inf	12.6	9.2	9.2	9.2	12.6	5.7	9.2	7.5	7.5	10.9	10.9	30.0	30.0	30.0	30.0	30.0	30.0	30.0	8.3	8.3	8.3	6.7	10.9	10.9	10.9	10.9	10.9	12.0	8.0	8.0	8.0	8.6	17.1	17.1	17.1	17.1	17.1	17.1	17.1	20.0	34.3	34.3	34.3	34.3	34.3	34.3	34.3	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	16.0	12.6	12.6	12.6
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01609N3535_D010_S247D50R090_A006995_S075	18.5	17.1	17.1	17.1	17.1	13.3	13.3	13.3	21.8	inf	inf	5.2	inf	3.5	13.3	13.3	5.7	3.5	3.9	5.1	3.5	2.8	5.0	inf	inf	12.6	12.6	12.6	8.3	8.3	6.0	7.5	12.6	4.3	6.0	10.9	10.9	12.6	12.6	12.6	12.6	7.7	7.7	16.0	8.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	6.5	6.5	7.1	4.6	15.0	15.0	15.0	21.8	21.8	21.8	21.8	21.8	21.8	30.0	30.0	30.0	30.0	30.0	15.0	15.0	34.3	34.3	34.3	34.3	34.3	34.3	24.0	24.0	24.0	24.0	24.0	17.1	17.1	17.1	17.1
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M809_E01583N3715_D010_S157D90R270_A012497_S042	11.4	11.4	12.6	8.3	12.6	12.6	12.6	12.6	30.0	inf	inf	30.0	inf	30.0	30.0	5.7	5.7	5.7	5.7	8.3	8.3	8.3	8.3	inf	12.6	12.6	12.6	12.6	8.3	8.3	8.3	8.6	13.3	4.4	12.6	12.6	24.0	24.0	30.0	30.0	30.0	30.0	30.0	8.3	8.3	8.3	8.3	6.7	10.4	10.9	21.8	21.8	24.0	8.0	8.0	8.0	21.8	17.1	17.1	21.8	21.8	21.8	21.8	21.8	21.8	34.3	34.3	34.3	34.3	34.3	34.3	34.3	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	12.6	12.6	12.6
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01855N3378_D010_S247D30R090_A006995_S075	18.5	18.5	8.3	8.3	8.6	7.7	8.3	8.3	8.3	inf	inf	5.2	inf	5.2	5.0	5.0	5.0	6.9	6.9	5.1	5.1	5.0	5.0	inf	inf	5.2	5.1	8.3	8.3	8.3	6.0	7.7	5.1	4.8	6.0	10.0	10.0	6.0	6.5	6.7	11.4	7.7	7.7	10.9	7.3	9.2	7.3	7.3	12.0	12.0	12.0	12.0	6.3	8.6	8.0	4.6	6.9	15.0	17.1	17.1	17.1	21.8	21.8	21.8	21.8	8.9	10.9	10.9	10.9	8.6	9.2	8.9	8.0	9.2	30.0	30.0	12.0	12.0	8.9	8.0	6.3	6.9	12.6	8.9	8.9	8.9	8.9
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01832N3400_D010_S247D30R090_A003139_S050	7.5	7.7	8.3	8.3	7.3	7.7	8.3	8.3	3.5	inf	inf	5.2	inf	5.2	5.2	5.0	3.7	3.5	3.9	5.1	3.5	5.0	5.1	inf	inf	5.2	5.2	4.6	8.3	4.1	4.1	4.1	4.9	4.3	6.0	10.0	5.3	6.0	6.5	6.7	11.4	7.7	4.8	6.5	7.3	7.1	6.5	7.3	12.0	12.0	12.0	12.0	6.2	5.2	8.6	4.6	6.9	15.0	17.1	17.1	17.1	17.1	17.1	17.1	18.5	8.9	10.9	10.9	8.6	8.6	7.1	8.9	8.0	11.4	18.5	10.9	12.0	12.0	5.6	5.6	5.0	6.9	15.0	8.9	8.9	5.6	8.9
