id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02259N3628_S005	24046	2.95	9.955	0.876	0.673	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02195N3500_S001	45115	4.056	10.693	0.977	0.851	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02061N3684_S000	15306	2.416	9.312	0.723	0.54	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02471N3437_S005	23481	3.548	9.968	0.909	0.772	0.005	0.005
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02387N3554_S003	15328	2.658	9.482	0.856	0.644	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02156N3574_S002	42790	4.395	10.645	0.981	0.867	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02318N3471_S002	22011	2.797	9.823	0.839	0.649	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M809_E01715N3697_S000	13349	2.211	9.185	0.731	0.536	0.004	0.005
PS_manning003/E01577N3897E01966N3571-PS-Mur_PYes_Var-M707_E01784N3739_S000	2697	0.62	6.433	0.23	0.136	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02272N3440_S000	15155	2.382	9.395	0.793	0.566	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02104N3649_S005	69805	4.619	11.136	0.983	0.894	0.005	0.007
PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Var-M809_E01774N3710_S000	23536	4.421	10.025	0.959	0.885	0.005	0.007
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02318N3471_S004	12867	2.487	9.208	0.775	0.551	0.002	0.002
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M837_E02145N3483_S000	12503	2.41	9.187	0.782	0.54	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01622N3816_S000	3690	0.928	7.021	0.303	0.191	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02133N3599_S005	38282	4.308	10.503	0.952	0.877	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01779N3815_S000	27697	3.772	10.147	0.921	0.748	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02294N3487_S003	21776	3.934	9.906	0.92	0.752	0.007	0.007
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01772N3748_S000	19922	3.496	9.778	0.885	0.75	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S001	21312	3.223	9.904	0.939	0.717	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01611N3806_S000	6862	1.272	8.127	0.493	0.296	0.002	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02092N3679_S001	60694	4.409	10.987	0.974	0.893	0.002	0.002
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02294N3618_S000	2586	0.674	6.272	0.204	0.119	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01768N3805_S000	2637	0.639	6.31	0.208	0.123	0.001	0.001
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M792_E02057N3724_S000	5370	1.173	7.606	0.374	0.249	0.001	0.001
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Hom-M824_E02021N3680_S000	9872	1.7	8.634	0.569	0.403	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02253N3527_S004	57177	5.504	10.866	0.916	0.895	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02263N3578_S001	39108	4.008	10.503	0.931	0.848	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02264N3453_S003	35046	4.004	10.417	0.954	0.796	0.002	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M850_E01707N3812_S000	63099	4.804	10.918	0.874	0.877	0.027	0.039
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02305N3578_S000	5093	1.21	7.559	0.376	0.24	0.001	0.001
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M837_E02101N3513_S000	12093	2.448	9.167	0.791	0.584	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M824_E02252N3671_S000	4254	0.746	7.179	0.308	0.188	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01754N3833_S000	17416	2.645	9.573	0.825	0.594	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02090N3619_S000	7447	1.544	8.308	0.545	0.327	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M754_E02244N3659_S000	1337	0.365	4.957	0.106	0.059	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02188N3566_S004	27803	3.276	10.149	0.92	0.755	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02223N3573_S001	36098	3.762	10.445	0.953	0.839	0.008	0.01
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02309N3460_S005	20842	4.129	9.834	0.895	0.745	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Var-M837_E02200N3695_S000	5009	0.9	7.49	0.357	0.223	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02359N3451_S002	19658	3.511	9.807	0.924	0.748	0.007	0.008
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02366N3438_S001	54996	4.006	10.9	0.985	0.827	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02184N3522_S003	36236	4.619	10.428	0.933	0.826	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M792_E02113N3596_S000	4275	0.847	7.195	0.312	0.197	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M850_E01660N3790_S000	63625	5.367	10.925	0.873	0.905	0.018	0.031
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M732_E01660N3790_S000	2756	0.72	6.424	0.223	0.139	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02190N3609_S001	43864	4.175	10.685	0.996	0.887	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02461N3461_S002	8400	1.695	8.608	0.652	0.394	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02219N3560_S003	144518	7.249	11.869	0.988	0.921	0.014	0.014
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02217N3548_S005	29301	4.484	10.249	0.964	0.844	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M809_E02176N3736_S000	3607	0.921	6.886	0.271	0.166	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02375N3448_S000	7273	1.413	8.288	0.547	0.334	0.001	0.002
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M774_E01778N3834_S000	7901	1.73	8.503	0.624	0.379	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M850_E02204N3672_S000	8397	1.701	8.603	0.649	0.405	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02253N3527_S003	69396	6.274	11.04	0.898	0.955	0.008	0.008
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02270N3527_S003	32043	3.777	10.321	0.947	0.831	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02172N3465_S000	7080	1.622	8.312	0.575	0.365	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02129N3665_S005	45941	4.237	10.664	0.932	0.825	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02245N3515_S004	28280	3.848	10.221	0.972	0.836	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02250N3552_S005	32258	3.91	10.328	0.948	0.831	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02202N3553_S001	23465	3.92	10.039	0.976	0.816	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02523N3408_S004	10929	2.299	8.949	0.704	0.509	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01714N3716_S004	134028	5.743	11.774	0.969	0.939	0.059	0.071
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02154N3709_S000	10708	1.993	8.923	0.701	0.49	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02125N3584_S000	6434	1.607	8.131	0.528	0.339	0.001	0.001
PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M861_E01774N3710_S001	111615	5.213	11.642	1.019	0.941	0.047	0.059
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M837_E02348N3529_S000	5350	1.072	7.61	0.377	0.241	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02498N3423_S003	32311	4.321	10.29	0.911	0.852	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01758N3776_S000	3594	0.818	6.888	0.273	0.186	0.001	0.001
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02013N3694_S000	16369	2.357	9.376	0.721	0.517	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02085N3646_S004	50612	4.514	10.825	0.993	0.873	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01713N3735_S000	5122	1.027	7.586	0.384	0.256	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02243N3539_S002	30555	3.604	10.271	0.945	0.822	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02057N3668_S004	77522	4.953	11.348	1.094	0.94	0.001	0.002
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Var-M824_E02210N3708_S000	3141	0.633	6.624	0.239	0.148	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02152N3603_S005	18370	3.025	9.692	0.881	0.661	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02097N3634_S002	48530	4.071	10.774	0.984	0.859	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02144N3587_S005	30010	4.099	10.307	0.997	0.88	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02417N3454_S005	9247	2.225	8.805	0.721	0.481	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02342N3454_S002	25283	4.314	10.05	0.915	0.876	0.005	0.005
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M774_E02020N3623_S000	8044	1.631	8.359	0.531	0.347	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M680_E01764N3850_S000	1612	0.355	5.345	0.129	0.072	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01690N3715_S000	10018	1.96	8.753	0.632	0.453	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02229N3514_S002	44750	5.304	10.699	0.99	0.916	0.007	0.008
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M824_E02010N3666_S000	15275	2.248	9.293	0.711	0.515	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02194N3513_S001	24414	4.141	10.022	0.922	0.775	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M792_E02152N3510_S000	6405	1.433	8.115	0.522	0.316	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02344N3478_S005	62794	6.397	10.996	0.95	0.944	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02128N3626_S004	18932	2.979	9.655	0.824	0.648	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M754_E02069N3788_S000	2357	0.566	6.075	0.184	0.117	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02350N3576_S005	9917	2.041	8.888	0.731	0.477	0.002	0.002
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M837_E02318N3569_S000	6488	1.412	8.083	0.499	0.306	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02201N3524_S001	90433	5.532	11.294	0.889	0.91	0.01	0.01
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02159N3618_S004	61388	4.912	10.908	0.89	0.913	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02254N3467_S000	5627	1.19	7.79	0.429	0.265	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02260N3491_S000	7675	1.819	8.46	0.615	0.39	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02304N3498_S000	4408	0.975	7.301	0.336	0.208	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02340N3518_S000	4191	0.861	7.208	0.322	0.196	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02444N3464_S001	75592	5.959	11.143	0.914	0.907	0.01	0.01
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02201N3524_S000	15247	2.111	9.365	0.765	0.532	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02199N3626_S005	20587	3.321	9.784	0.862	0.715	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02171N3544_S001	31917	4.003	10.343	0.972	0.855	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Mur_PNo_Var-M774_E02091N3733_S000	3512	0.818	6.851	0.269	0.164	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01755N3814_S002	123700	5.769	11.736	1.011	0.937	0.045	0.06
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02122N3652_S003	96668	5.09	11.526	1.048	0.933	0.005	0.007
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02230N3451_S000	5451	1.152	7.692	0.402	0.265	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02094N3692_S000	7228	1.391	8.226	0.517	0.32	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02335N3468_S000	7798	1.418	8.441	0.594	0.357	0.002	0.002
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M792_E02099N3565_S000	5203	1.03	7.574	0.374	0.224	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01692N3840_S000	68425	4.335	11.115	0.981	0.893	0.028	0.037
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02381N3494_S003	9189	2.086	8.722	0.667	0.441	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02368N3461_S003	23628	2.719	9.931	0.87	0.666	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01673N3781_S000	16580	2.674	9.526	0.827	0.578	0.01	0.014
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M880_E02363N3584_S002	17257	2.512	9.55	0.814	0.634	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02351N3465_S004	53406	4.643	10.754	0.877	0.885	0.007	0.008
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02165N3634_S004	32456	3.747	10.32	0.935	0.813	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02146N3630_S002	66043	4.472	11.061	0.963	0.868	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02133N3599_S004	18678	2.89	9.73	0.9	0.654	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02239N3505_S004	25695	4.533	10.107	0.954	0.829	0.005	0.005
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M707_E01589N3767_S000	2023	0.476	5.815	0.165	0.099	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02116N3637_S002	46198	4.599	10.64	0.904	0.916	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02175N3668_S002	27156	3.873	10.1	0.896	0.788	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02092N3663_S004	22778	2.845	9.907	0.881	0.677	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02173N3683_S002	24213	3.477	9.979	0.891	0.737	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02482N3444_S003	32585	4.519	10.273	0.889	0.847	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02164N3590_S005	78572	5.869	11.185	0.917	0.904	0.01	0.011
PS_manning003/E01964N3926E02184N3685-PS-Mur_PNo_Hom-M732_E02053N3767_S000	1706	0.404	5.507	0.144	0.086	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02159N3618_S005	43157	4.205	10.637	0.965	0.874	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02152N3510_S000	8766	1.816	8.627	0.636	0.423	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02147N3521_S001	32292	4.794	10.372	0.99	0.945	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02268N3554_S001	21959	3.347	9.945	0.949	0.764	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02393N3468_S003	16271	3.083	9.503	0.823	0.65	0.007	0.007
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02245N3515_S000	6731	1.287	8.117	0.498	0.295	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Var-M850_E02373N3559_S000	5465	1.221	7.669	0.392	0.262	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02104N3649_S000	6162	1.19	7.964	0.466	0.284	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M792_E02109N3687_S000	5079	1.042	7.5	0.356	0.23	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M732_E01813N3845_S000	3041	0.688	6.673	0.26	0.155	0.001	0.001
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M792_E01976N3701_S000	11463	2.062	8.906	0.644	0.453	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02194N3581_S004	26873	4.388	10.157	0.959	0.843	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02467N3448_S005	23363	3.272	9.959	0.905	0.72	0.008	0.008
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M774_E01732N3794_S000	6005	1.198	7.879	0.44	0.275	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02116N3637_S000	6835	1.409	8.253	0.561	0.332	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02210N3611_S000	3878	0.85	7.122	0.319	0.194	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02264N3453_S005	33413	4.397	10.402	0.986	0.857	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02245N3515_S000	7882	1.783	8.424	0.578	0.37	0.001	0.001
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M837_E02048N3695_S000	8650	1.573	8.5	0.568	0.377	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01661N3771_S000	13313	2.602	9.284	0.809	0.572	0.014	0.022
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02188N3566_S004	196429	7.388	12.377	1.208	0.996	0.011	0.013
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02228N3585_S000	6463	1.286	8.039	0.48	0.304	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02417N3454_S004	9289	2.012	8.802	0.715	0.453	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02129N3557_S000	10364	2.064	8.894	0.703	0.485	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02201N3524_S001	30334	4.624	10.291	0.971	0.923	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02140N3655_S000	7430	1.381	8.342	0.565	0.337	0.001	0.001
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01609N3825_S000	5067	1.109	7.502	0.357	0.241	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02239N3477_S004	27849	3.652	10.194	0.96	0.819	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02351N3465_S005	17986	2.869	9.62	0.838	0.644	0.007	0.007
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M809_E02116N3502_S000	5376	1.203	7.683	0.404	0.263	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02227N3634_S000	4347	0.807	7.263	0.328	0.201	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02188N3566_S003	15506	2.926	9.491	0.854	0.637	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02328N3482_S002	101915	7.717	11.541	1.009	1.0	0.007	0.007
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M824_E02013N3694_S000	11408	1.913	8.829	0.599	0.425	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02202N3553_S002	29957	3.933	10.27	0.963	0.847	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M861_E01755N3814_S005	238352	6.995	12.586	1.227	0.984	0.033	0.037
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02279N3514_S000	6635	1.491	8.179	0.537	0.328	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02321N3496_S000	7197	1.302	8.265	0.54	0.323	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02434N3452_S002	12482	2.362	9.174	0.772	0.563	0.004	0.005
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M809_E02280N3610_S000	3603	0.835	6.925	0.282	0.165	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M774_E01773N3892_S000	10463	1.922	8.877	0.685	0.447	-0.001	-0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M650_E01791N3873_S000	1542	0.356	5.324	0.132	0.076	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02079N3688_S004	22176	2.969	9.89	0.889	0.66	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02156N3574_S004	36647	3.489	10.441	0.934	0.819	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02076N3673_S001	34399	3.621	10.374	0.931	0.768	0.004	0.005
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02272N3638_S000	6148	1.165	7.931	0.453	0.26	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02426N3465_S002	9929	2.087	8.858	0.708	0.464	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02229N3514_S002	28556	3.672	10.227	0.968	0.843	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02311N3485_S003	19667	3.797	9.759	0.88	0.691	0.004	0.005
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02008N3644_S000	18441	2.788	9.67	0.859	0.639	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M774_E02280N3610_S000	1987	0.589	5.739	0.156	0.093	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02120N3675_S001	47974	4.288	10.722	0.945	0.843	0.004	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02515N3431_S005	10636	2.447	9.063	0.812	0.559	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02328N3482_S004	20747	4.244	9.841	0.905	0.715	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M680_E01780N3748_S000	1918	0.417	5.814	0.174	0.098	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02171N3544_S001	38960	4.434	10.511	0.943	0.889	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02321N3597_S003	17768	2.73	9.643	0.868	0.675	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02441N3439_S003	8942	2.102	8.747	0.704	0.476	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02279N3514_S005	14273	2.58	9.276	0.748	0.541	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M707_E01600N3777_S000	2317	0.555	6.062	0.185	0.116	-0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02239N3505_S002	16959	3.212	9.555	0.832	0.672	0.004	0.004
