eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Hom-M792_E02033N3761_S000,0.15,8.044025980719022e-06,0.001,0.001,0.769,20.33,37.61,37612032,27.0,0.001,1.0,1.2066038971078532e-06,1.8674136321195144e-05,142.0,"37.367,20.082"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02272N3440_S000,0.65,1.424721293201083e-07,0.001,0.001,1.691,22.72,34.4,34402272,27.0,0.001,1.0,9.26068840580704e-08,1.8674136321195144e-05,230.0,"34.397,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02515N3431_S001,0.82,7.063590725773581e-09,0.004,0.004,3.832,25.15,34.31,34312515,35.0,0.004,1.0,5.792144395134336e-09,1.8674136321195144e-05,137.0,"34.067,25.032"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02090N3619_S005,0.98,2.87054430475798e-08,0.002,0.002,3.224,20.9,36.19,36192090,63.0,0.002,1.0,2.8131334186628205e-08,1.8674136321195144e-05,232.0,"36.047,20.742"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M774_E02076N3673_S000,0.15,1.2193333959257664e-06,0.001,0.001,0.988,20.76,36.73,36722076,49.0,0.001,1.0,1.8290000938886495e-07,1.8674136321195144e-05,252.0,"36.707,20.742"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02233N3624_S002,0.76,1.8913621717267352e-08,0.002,0.002,3.064,22.33,36.24,36242233,26.0,0.002,1.0,1.4374352505123188e-08,1.8674136321195144e-05,190.0,"36.047,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M754_E02309N3460_S000,0.08,1.3172027234045947e-06,0.001,0.001,0.497,23.09,34.6,34602309,75.0,0.001,1.0,1.0537621787236758e-07,1.8674136321195144e-05,491.0,"34.397,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02220N3597_S003,1.12,2.021875546991984e-08,0.004,0.004,4.373,22.2,35.97,35972220,55.0,0.004,1.0,2.2645006126310222e-08,1.8674136321195144e-05,373.0,"35.717,22.062"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02156N3574_S004,0.68,2.8179384452012565e-08,0.004,0.002,3.79,21.56,35.74,35742156,87.0,0.004,1.0,1.9161981427368545e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02229N3514_S005,1.19,6.856568140512544e-09,0.005,0.005,4.491,22.29,35.14,35142229,121.0,0.005,1.0,8.159316087209927e-09,1.8674136321195144e-05,720.0,"35.057,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02076N3673_S002,0.89,3.0853331020915594e-08,0.004,0.002,4.446,20.76,36.73,36722076,49.0,0.004,1.0,2.7459464608614878e-08,1.8674136321195144e-05,252.0,"36.707,20.742"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02220N3597_S005,0.64,3.110875655443902e-08,0.002,0.002,2.578,22.2,35.97,35972220,55.0,0.002,1.0,1.9909604194840974e-08,1.8674136321195144e-05,373.0,"35.717,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02344N3478_S000,0.43,1.9717964067459174e-07,0.002,0.002,1.117,23.44,34.78,34782344,127.0,0.002,1.0,8.478724549007445e-08,1.8674136321195144e-05,385.0,"34.727,23.382"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02121N3611_S000,0.35,1.1034198048132153e-07,0.001,0.001,1.946,21.21,36.11,36112121,70.0,0.001,1.0,3.8619693168462534e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02148N3750_S000,0.07,1.1219957949311518e-05,0.001,0.001,0.423,21.48,37.5,37502148,11.0,0.001,1.0,7.853970564518064e-07,1.8674136321195144e-05,19.0,"37.367,21.402"
