id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001	18888	6.77	9.981	1.144	0.971	0.002	0.002	8.678
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000	4624	2.671	7.616	0.439	0.418	0.001	0.001	2.904
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004	10971	1.956	8.984	0.727	0.453	0.004	0.004	2.226
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000	1039	0.553	5.27	0.186	0.126	0.001	0.001	0.678
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000	1234	0.487	5.332	0.167	0.123	0.001	0.001	0.598
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000	1689	0.605	5.811	0.197	0.153	0.001	0.001	0.687
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001	7160	1.393	8.201	0.509	0.304	0.002	0.002	1.465
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000	1169	0.496	5.186	0.152	0.115	0.001	0.001	0.523
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001	26019	5.662	10.129	0.963	0.806	0.004	0.004	6.853
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001	17225	6.357	9.869	1.122	0.98	0.004	0.004	7.033
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003	13817	5.637	9.407	0.881	0.739	0.002	0.004	6.703
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000	5021	2.586	7.8	0.486	0.46	0.001	0.001	3.174
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000	8455	2.765	8.43	0.542	0.478	0.001	0.001	3.012
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004	10478	4.2	8.956	0.74	0.64	0.002	0.002	5.269
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002	34167	6.004	10.566	1.135	0.86	0.045	0.053	6.961
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000	5903	1.647	7.737	0.388	0.28	0.008	0.011	1.764
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001	17371	6.94	9.92	1.171	1.008	0.002	0.002	7.652
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005	25290	5.434	10.068	0.932	0.759	0.011	0.011	5.727
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000	9805	3.143	8.689	0.605	0.467	0.004	0.004	3.671
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004	29538	6.809	10.334	1.041	0.887	0.005	0.007	7.449
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000	887	0.447	4.953	0.159	0.114	0.001	0.001	0.459
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000	1432	1.647	6.08	0.304	0.242	0.001	0.001	1.794
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000	5610	2.875	7.997	0.53	0.508	0.001	0.001	3.493
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001	25896	5.385	10.045	0.89	0.713	0.008	0.008	6.775
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000	4859	2.913	7.847	0.526	0.49	0.001	0.001	3.685
