,Train_size,RP,Site,True,Pred,Bias,Pred_low,Pred_high,Sigma
0,225,1000.0,1,0.0,0.0,0.0,0.009909340875170486,0.0,0.0024773352187926214
1,225,10000.0,1,0.0,0.5677318177682157,0.5677318177682157,1.5458146501058276,0.0,0.3864536625264569
2,225,100000.0,1,2.410258236361121,3.854325917103301,1.44406768074218,5.393491920377508,2.333541029355887,0.7649877227554052
3,225,1000000.0,1,7.4243857134306115,7.0354025207111555,-0.38898319271945603,9.726757369734017,4.334804755847324,1.3479881534716731
4,225,10000000.0,1,7.433682631739302,7.638587909197155,0.20490527745785325,11.06587092464058,4.984249798100214,1.5204052816350915
5,225,100000000.0,1,9.204977452232926,9.272309977929586,0.06733252569665993,13.33979212689426,6.809226646974017,1.6326413699800606
6,225,1000000000.0,1,9.433373685032144,10.802101957644082,1.3687282726119374,13.846857544094508,8.192981980965042,1.4134688907823665
7,225,1000.0,2,0.0,0.0,0.0,0.16219076698684803,0.0,0.04054769174671201
8,225,10000.0,2,0.7350225362935461,0.9699660222374277,0.2349434859438816,1.5127255464843525,0.4982043210306977,0.2536303063634137
9,225,100000.0,2,2.2770984305471704,2.727867653329544,0.45076922278237364,3.4860651686589423,2.012720684407336,0.3683361210629016
10,225,1000000.0,2,4.117844824408092,4.806389905904812,0.68854508149672,6.757319683819699,2.9796218417096125,0.9444244605275217
11,225,10000000.0,2,5.421263629077283,6.158814322734236,0.7375506936569529,8.1093485027771,4.228881166460232,0.9701168340792172
12,225,100000000.0,2,6.6891201351536544,7.128150664656792,0.43903052950313715,10.065732820327831,4.8888865630621146,1.2942115643164291
13,225,1000000000.0,2,7.022159145917837,8.298375378298001,1.2762162323801638,11.255536335305578,5.454755465473634,1.450195217457986
14,225,1000.0,3,0.0,0.0,0.0,0.029847041862022774,0.0,0.0074617604655056935
15,225,10000.0,3,0.0,0.0,0.0,0.13203081677346412,0.0,0.03300770419336603
16,225,100000.0,3,0.8895605648252498,1.2193186293284224,0.3297580645031726,1.8883039224216849,0.5873371438065088,0.32524169465379404
17,225,1000000.0,3,2.6678405640613527,3.4943549148540587,0.826514350792706,4.5052270567494705,2.483215894478065,0.5055027905678514
18,225,10000000.0,3,4.362668852919924,4.251512659494151,-0.11115619342577343,5.648727379300961,2.9361051857825866,0.6781555483795937
19,225,100000000.0,3,6.160423136706249,4.996227113423221,-1.1641960232830275,6.624569907721329,3.6499200978052615,0.743662452479017
20,225,1000000000.0,3,6.37644754044327,5.3189931874028895,-1.0574543530403808,6.722502613347585,4.168785299314918,0.6384293285081666
21,225,1000.0,4,0.0,0.0,0.0,0.28849162585383287,0.0,0.07212290646345822
22,225,10000.0,4,1.1373701959312041,1.4664687917759862,0.32909859584478207,2.1956796192692867,0.7658747355949294,0.35745122091858933
23,225,100000.0,4,2.974338182902808,3.2049032717363626,0.23056508883355464,4.035829006489088,2.539115048612945,0.37417848946903576
24,225,1000000.0,4,4.582247778434207,5.445699439171119,0.8634516607369127,6.786887049363023,4.104571441127054,0.6705789020589923
25,225,10000000.0,4,6.349771234316684,6.256004948116047,-0.09376628620063698,8.025295619667363,4.701792781207554,0.8308757096149522
26,225,100000000.0,4,7.722310942983323,6.964650898674787,-0.757660044308536,9.277955884324665,5.454764189734394,0.9557979236475678
27,225,1000000000.0,4,8.993180763905627,7.299983682650513,-1.6931970812551143,9.942294411559331,5.569485649490005,1.0932021905173315
28,225,1000.0,5,0.6755648752224959,1.1761931448863243,0.5006282696638285,1.822811498094518,0.5390119902743217,0.32094987695504906
29,225,10000.0,5,3.060441298481421,3.3877531165540917,0.32731181807267085,4.241671726668169,2.522517393325351,0.4297885833357046
30,225,100000.0,5,4.940173073431346,5.36266654960752,0.4224934761761743,6.538407492332075,4.4960907399066485,0.5105791881063566
31,225,1000000.0,5,6.714517771123502,7.966884355764624,1.2523665846411225,9.718867531376487,6.215580637650465,0.8758217234315055
32,225,10000000.0,5,8.618955803473286,9.056333656276513,0.43737785280322683,11.394753070368218,6.835092138476565,1.1399152329729132
33,225,100000000.0,5,10.08349153327847,9.88611162903997,-0.19737990423850071,12.812657341811015,7.868315510509135,1.2360854578254699
34,225,1000000000.0,5,11.154261304175764,10.332154892935305,-0.8221064112404584,13.523162937214577,8.200433907763069,1.3306822573628772
35,225,1000.0,6,0.0,0.0,0.0,0.009911920023155158,0.0,0.0024779800057887894
36,225,10000.0,6,0.0,0.0,0.0,0.36739106479606637,0.0,0.09184776619901659
37,225,100000.0,6,1.7785537275472387,2.0449791719949233,0.26642544444768457,2.9763773821348205,1.1333382589474688,0.46075978079683794
38,225,1000000.0,6,4.048510634085829,4.9370697733035955,0.888559139217767,6.487229730698423,3.376756994895806,0.7776181839506542
39,225,10000000.0,6,6.1630088341310225,6.51568292412645,0.3526740899954275,8.55453591577963,4.804765075639975,0.9374427100349136
40,225,100000000.0,6,7.902834526671923,7.637060644813316,-0.26577388185860773,9.90511912750979,5.458314043163983,1.1117012710864518
41,225,1000000000.0,6,8.21279056880808,7.662221938068008,-0.5505686307400719,10.34346685917625,5.582271926589748,1.1902987331466255
42,225,1000.0,7,0.0,0.0,0.0,0.0797315858434632,0.0,0.0199328964608658
43,225,10000.0,7,0.6403835375201357,1.1461486531014653,0.5057651155813296,2.059453152037035,0.25061044164643137,0.4522106775976509
44,225,100000.0,7,3.2107319253467477,3.759382493967944,0.5486505686211962,4.602286146345296,2.9791797536511937,0.4057765981735256
45,225,1000000.0,7,5.093057151770431,5.74987158467942,0.6568144329089893,7.100902373990732,4.399270241552028,0.6754080331096761
46,225,10000000.0,7,7.344897502240284,7.801882395960998,0.4569848937207146,9.552479030170925,6.096766627062703,0.8639281007770556
47,225,100000000.0,7,8.34303504691091,8.835846122970977,0.49281107606006813,10.680688098070092,6.977379389902589,0.9258271770418758
48,225,1000000000.0,7,9.623495921484418,8.998195470410867,-0.6253004510735511,12.970181463407366,7.001891772985466,1.492072422605475
49,225,1000.0,8,0.0,0.0,0.0,0.009820699798452286,0.0,0.0024551749496130714
50,225,10000.0,8,0.0,0.0,0.0,0.010003093313145509,0.0,0.0025007733282863772
51,225,100000.0,8,0.4148781471981973,0.84227185825127,0.4273937110530727,1.4650493995211797,0.27696638023826525,0.29702075482072865
52,225,1000000.0,8,2.4659414871525014,2.585209545205282,0.11926805805278073,3.4772781759132636,1.724849730949388,0.4381071112409689
53,225,10000000.0,8,4.925483006755997,4.351611800920074,-0.573871205835923,5.810039662667293,3.2723481164055053,0.634422886565447
54,225,100000000.0,8,6.10162515652854,5.143422077533453,-0.958203078995087,6.762724767055299,3.697903709149868,0.7662052644763577
55,225,1000000000.0,8,7.112240293670511,5.35637455995564,-1.755865733714871,7.999731176168584,3.9203922688683397,1.0198347268250612
56,225,1000.0,9,0.0,0.0,0.0,0.1300507851021078,0.0,0.03251269627552695
57,225,10000.0,9,1.1632400868571453,1.0731284191758736,-0.09011166768127166,1.5050251808886508,0.6713122013176525,0.20842824489274958
58,225,100000.0,9,2.7466548370440473,2.857356193502117,0.11070135645806944,3.5575473710756342,2.1669123118015676,0.34765876481851665
59,225,1000000.0,9,3.939098634609512,4.204873511634912,0.26577487702540026,5.170518525064115,3.2996275106849478,0.4677227535947919
60,225,10000000.0,9,5.6217401578126225,6.215801315749572,0.5940611579369497,7.509787582572388,4.932691805905528,0.6442739441667149
