,Train_size,RP,Site,True,Pred,Bias,Pred_high,Pred_low
0,225,1000.0,2,0.0,0.0,0.0,0.16219076698684803,0.0
1,225,10000.0,2,0.7350225362935461,0.9699660222374277,0.2349434859438816,1.5127255464843525,0.4982043210306977
2,225,100000.0,2,2.2770984305471704,2.727867653329544,0.45076922278237364,3.4860651686589423,2.012720684407336
3,225,1000000.0,2,4.117844824408092,4.806389905904812,0.68854508149672,6.757319683819699,2.9796218417096125
4,225,10000000.0,2,5.421263629077283,6.158814322734236,0.7375506936569529,8.1093485027771,4.228881166460232
5,225,100000000.0,2,6.6891201351536544,7.128150664656792,0.43903052950313715,10.065732820327831,4.8888865630621146
6,225,1000000000.0,2,7.022159145917837,8.298375378298001,1.2762162323801638,11.255536335305578,5.454755465473634
7,529,1000.0,2,0.0,0.0,0.0,0.14967924100864025,0.0
8,529,10000.0,2,0.7350225362935461,0.8792755522647154,0.14425301597116935,1.4318194848243813,0.3036940975863484
9,529,100000.0,2,2.2770984305471704,2.4679548389587103,0.19085640841153984,3.1151115622022267,1.8808005785526773
10,529,1000000.0,2,4.117844824408092,4.3567896679440095,0.2389448435359176,5.567104882536392,3.1496161318793057
11,529,10000000.0,2,5.421263629077283,5.924008050301077,0.5027444212237935,7.24758161492813,4.39165142088254
12,529,100000000.0,2,6.6891201351536544,7.317239243473956,0.6281191083203019,9.136529807196581,5.756458853278859
13,529,1000000000.0,2,7.022159145917837,7.472126890544246,0.44996774462640854,9.322695704273615,5.791286470334141
14,892,1000.0,2,0.0,0.0,0.0,0.01706660484649243,0.0
15,892,10000.0,2,0.7350225362935461,0.8153459827198508,0.08032344642630473,1.3175811090637761,0.32622805704671226
16,892,100000.0,2,2.2770984305471704,2.507698999291895,0.23060056874472457,3.1254732738013233,1.9819119362513884
17,892,1000000.0,2,4.117844824408092,4.566171195455484,0.4483263710473926,5.3679574528082705,3.7755108435653346
18,892,10000000.0,2,5.421263629077283,5.887729929042943,0.4664662999656599,7.114873544955199,4.588825156466342
19,892,100000000.0,2,6.6891201351536544,7.037099173438939,0.34797903828528476,8.536229657121543,5.700667283750597
20,892,1000000000.0,2,7.022159145917837,7.141961808002975,0.11980266208513779,8.622345529186072,5.758955037238507
21,1658,1000.0,2,0.0,0.0,0.0,0.028217006860574788,0.0
22,1658,10000.0,2,0.7350225362935461,0.8257206166348974,0.0906980803413513,1.234799363159877,0.407128658552251
23,1658,100000.0,2,2.2770984305471704,2.565977186433033,0.28887875588586276,3.064636770310723,2.0935694636317104
24,1658,1000000.0,2,4.117844824408092,4.327624953232197,0.20978012882410546,4.898317789532296,3.746555620457381
25,1658,10000000.0,2,5.421263629077283,5.6170509230514325,0.19578729397414918,6.684057662188245,4.586656834179534
26,1658,100000000.0,2,6.6891201351536544,6.7633725533227285,0.07425241816907402,8.748506189315524,5.549872748306952
27,1658,1000000000.0,2,7.022159145917837,7.326944908246708,0.304785762328871,9.558060466025598,5.788970044742259
28,3454,1000.0,2,0.0,0.0,0.0,0.027587609307061136,0.0
29,3454,10000.0,2,0.7350225362935461,0.7067204905078759,-0.028302045785670193,1.0638443199868524,0.37952947687354693
30,3454,100000.0,2,2.2770984305471704,2.4487319520867823,0.17163352153961187,2.8266781410007704,2.048511198352021
31,3454,1000000.0,2,4.117844824408092,4.267386038398093,0.14954121399000098,4.887810283940903,3.6582190490265076
32,3454,10000000.0,2,5.421263629077283,5.601256447752019,0.1799928186747355,6.474962131645378,4.74362166250138
33,3454,100000000.0,2,6.6891201351536544,6.847555714077903,0.15843557892424887,7.979423856548494,5.638235196007535
34,3454,1000000000.0,2,7.022159145917837,7.67711999579048,0.6549608498726425,9.037800335960565,6.326444658121646
35,7071,1000.0,2,0.0,0.0,0.0,0.009986035962529997,0.0
36,7071,10000.0,2,0.7350225362935461,0.7415150323214735,0.006492496027927452,1.0381318829572401,0.42111420316103026
37,7071,100000.0,2,2.2770984305471704,2.451210509318904,0.17411207877173362,2.924515028914438,2.0436120495379324
38,7071,1000000.0,2,4.117844824408092,4.3072042682565534,0.1893594438484616,4.779225941296903,3.83648877756471
39,7071,10000000.0,2,5.421263629077283,5.637261083746472,0.2159974546691883,6.506856642689102,4.817856781258459
40,7071,100000000.0,2,6.6891201351536544,6.7290164399489685,0.03989630479531403,8.012189625449246,5.668853149550023
41,7071,1000000000.0,2,7.022159145917837,7.597079975780475,0.5749208298626378,8.757660265925548,6.446504688136653
