ID	Source_Region	Type	Mag	lon	lat	SlipModel	Scaling	RuptureModel	Rigidity	Depth	Strike	Dip	Rake	Length	Area	Slip	Location	LocationCount
E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01622N3816_S000	E01548N3896E01854N3659	PS	8.09	16.22	38.16	S000	Mur	PYes	Var								38151622	28.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M888_E02358N3562_S001	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S001	Str	PNo	Var								35612358	79.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M792_E01620N3835_S000	E01517N3917E01678N3772	PS	7.92	16.2	38.35	S000	Mur	PNo	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M792_E01620N3835_S000	E01517N3917E01678N3772	PS	7.92	16.2	38.35	S000	Mur	PYes	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M809_E01619N3854_S000	E01517N3917E01678N3772	PS	8.09	16.19	38.54	S000	Str	PYes	Hom								38541619	12.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02236N3646_S000	E02113N3823E02873N3483	PS	8.5	22.36	36.46	S000	Str	PNo	Hom								36462236	69.0
E02113N3823E02873N3483-PS-Str_PYes_Var-M861_E02340N3543_S003	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S003	Str	PYes	Var								35432340	44.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M792_E01587N3805_S000	E01517N3917E01678N3772	PS	7.92	15.87	38.05	S000	Mur	PYes	Hom								38041587	32.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M792_E01598N3815_S000	E01517N3917E01678N3772	PS	7.92	15.98	38.15	S000	Mur	PYes	Hom								38151598	28.0
E02113N3823E02873N3483-PS-Str_PYes_Var-M861_E02340N3543_S004	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S004	Str	PYes	Var								35432340	44.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02207N3659_S005	E02020N3739E02658N3366	PS	8.61	22.07	36.59	S005	Str	PNo	Hom								36592207	43.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M792_E01609N3825_S000	E01517N3917E01678N3772	PS	7.92	16.09	38.25	S000	Mur	PYes	Hom								38251609	26.0
E02113N3823E02873N3483-PS-Str_PYes_Var-M861_E02340N3543_S005	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S005	Str	PYes	Var								35432340	44.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M861_E02340N3543_S001	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S001	Str	PYes	Hom								35432340	44.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M861_E02067N3699_S003	E01964N3926E02184N3685	PS	8.61	20.67	36.99	S003	Str	PYes	Var								36992067	45.0
E02113N3823E02873N3483-PS-Str_PYes_Var-M861_E02340N3543_S001	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S001	Str	PYes	Var								35432340	44.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M809_E01609N3825_S000	E01517N3917E01678N3772	PS	8.09	16.09	38.25	S000	Str	PNo	Hom								38251609	26.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M861_E02067N3699_S004	E01964N3926E02184N3685	PS	8.61	20.67	36.99	S004	Str	PYes	Var								36992067	45.0
E01548N3896E01854N3659-PS-Str_PNo_Hom-M809_E01622N3816_S000	E01548N3896E01854N3659	PS	8.09	16.22	38.16	S000	Str	PNo	Hom								38151622	28.0
E02020N3739E02658N3366-PS-Mur_PNo_Hom-M861_E02218N3646_S003	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S003	Mur	PNo	Hom								36462218	42.0
E01548N3896E01854N3659-PS-Mur_PNo_Hom-M809_E01633N3827_S000	E01548N3896E01854N3659	PS	8.09	16.33	38.27	S000	Mur	PNo	Hom								38271632	26.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M792_E01585N3824_S000	E01517N3917E01678N3772	PS	7.92	15.85	38.24	S000	Str	PNo	Hom								38241585	16.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M861_E02340N3543_S003	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S003	Str	PYes	Hom								35432340	44.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M792_E01620N3835_S000	E01517N3917E01678N3772	PS	7.92	16.2	38.35	S000	Str	PYes	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M774_E01587N3805_S000	E01517N3917E01678N3772	PS	7.74	15.87	38.05	S000	Str	PYes	Hom								38041587	32.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M792_E01585N3824_S000	E01517N3917E01678N3772	PS	7.92	15.85	38.24	S000	Str	PYes	Hom								38241585	16.0
E02113N3823E02873N3483-PS-Str_PYes_Var-M861_E02340N3543_S002	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S002	Str	PYes	Var								35432340	44.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M792_E01609N3825_S000	E01517N3917E01678N3772	PS	7.92	16.09	38.25	S000	Mur	PNo	Hom								38251609	26.0
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01622N3816_S000	E01548N3896E01854N3659	PS	8.09	16.22	38.16	S000	Mur	PYes	Hom								38151622	28.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M792_E01620N3835_S000	E01517N3917E01678N3772	PS	7.92	16.2	38.35	S000	Str	PNo	Hom								38351620	25.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M792_E01609N3825_S000	E01517N3917E01678N3772	PS	7.92	16.09	38.25	S000	Str	PYes	Hom								38251609	26.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02218N3646_S002	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S002	Str	PYes	Hom								36462218	42.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M850_E02236N3646_S000	E02113N3823E02873N3483	PS	8.5	22.36	36.46	S000	Str	PYes	Hom								36462236	69.0
E02020N3739E02658N3366-PS-Mur_PNo_Var-M861_E02218N3646_S005	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S005	Mur	PNo	Var								36462218	42.0
E01517N3917E01678N3772-PS-Str_PYes_Var-M792_E01598N3815_S000	E01517N3917E01678N3772	PS	7.92	15.98	38.15	S000	Str	PYes	Var								38151598	28.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M809_E01643N3856_S000	E01517N3917E01678N3772	PS	8.09	16.43	38.56	S000	Str	PNo	Hom								38561643	13.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M774_E01575N3795_S000	E01517N3917E01678N3772	PS	7.74	15.75	37.95	S000	Str	PNo	Hom								37951575	30.0
E01548N3896E01854N3659-PS-Str_PNo_Hom-M809_E01633N3827_S000	E01548N3896E01854N3659	PS	8.09	16.33	38.27	S000	Str	PNo	Hom								38271632	26.0
E02020N3739E02658N3366-PS-Str_PNo_Var-M861_E02193N3666_S001	E02020N3739E02658N3366	PS	8.61	21.93	36.66	S001	Str	PNo	Var								36652193	52.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02204N3672_S001	E02020N3739E02658N3366	PS	8.61	22.04	36.72	S001	Str	PNo	Hom								36722204	57.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M850_E02067N3699_S000	E01964N3926E02184N3685	PS	8.5	20.67	36.99	S000	Str	PYes	Var								36992067	45.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M861_E02067N3699_S005	E01964N3926E02184N3685	PS	8.61	20.67	36.99	S005	Str	PYes	Var								36992067	45.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M888_E02358N3562_S005	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S005	Str	PNo	Var								35612358	79.0
E01517N3917E01678N3772-PS-Mur_PYes_Var-M792_E01598N3815_S000	E01517N3917E01678N3772	PS	7.92	15.98	38.15	S000	Mur	PYes	Var								38151598	28.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M774_E01574N3813_S000	E01517N3917E01678N3772	PS	7.74	15.74	38.13	S000	Str	PNo	Hom								38131574	20.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M888_E02358N3562_S004	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S004	Str	PNo	Var								35612358	79.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02204N3672_S005	E02020N3739E02658N3366	PS	8.61	22.04	36.72	S005	Str	PNo	Hom								36722204	57.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02193N3666_S003	E02020N3739E02658N3366	PS	8.61	21.93	36.66	S003	Str	PNo	Hom								36652193	52.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M774_E01587N3805_S000	E01517N3917E01678N3772	PS	7.74	15.87	38.05	S000	Str	PNo	Hom								38041587	32.0
E01964N3926E02184N3685-PS-Str_PYes_Hom-M861_E02067N3699_S002	E01964N3926E02184N3685	PS	8.61	20.67	36.99	S002	Str	PYes	Hom								36992067	45.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M861_E02067N3699_S001	E01964N3926E02184N3685	PS	8.61	20.67	36.99	S001	Str	PYes	Var								36992067	45.0
E01548N3896E01854N3659-PS-Str_PYes_Hom-M809_E01622N3816_S000	E01548N3896E01854N3659	PS	8.09	16.22	38.16	S000	Str	PYes	Hom								38151622	28.0
E02020N3739E02658N3366-PS-Str_PNo_Var-M861_E02193N3666_S005	E02020N3739E02658N3366	PS	8.61	21.93	36.66	S005	Str	PNo	Var								36652193	52.0
E01517N3917E01678N3772-PS-Str_PYes_Var-M809_E01619N3854_S000	E01517N3917E01678N3772	PS	8.09	16.19	38.54	S000	Str	PYes	Var								38541619	12.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M888_E02358N3562_S003	E02113N3823E02873N3483	PS	8.88	23.58	35.62	S003	Str	PNo	Var								35612358	79.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02193N3666_S001	E02020N3739E02658N3366	PS	8.61	21.93	36.66	S001	Str	PYes	Hom								36652193	52.0
