ID	Source_Region	Type	Mag	lon	lat	SlipModel	Scaling	RuptureModel	Rigidity	Depth	Strike	Dip	Rake	Length	Area	Slip	Location	LocationCount
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02526N3441_S005	E02020N3739E02658N3366	PS	8.88	25.26	34.41	S005	Mur	PYes	Var								34402526	44.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02280N3610_S004	E02113N3823E02873N3483	PS	8.61	22.8	36.1	S004	Mur	PNo	Var								36102280	57.0
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M850_E01804N3797_S000	E01548N3896E01854N3659	PS	8.5	18.04	37.97	S000	Mur	PYes	Hom								37971804	40.0
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02458N3438_S005	E02020N3739E02658N3366	PS	8.88	24.58	34.38	S005	Mur	PYes	Var								34382458	84.0
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02206N3569_S005	E02020N3739E02658N3366	PS	8.88	22.06	35.69	S005	Mur	PYes	Hom								35692206	110.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M824_E01652N3742_S000	E01548N3896E01854N3659	PS	8.24	16.52	37.42	S000	Mur	PYes	Var								37421652	18.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M871_E02320N3583_S004	E02113N3823E02873N3483	PS	8.71	23.2	35.83	S004	Mur	PNo	Var								35832320	84.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M824_E01636N3789_S000	E01548N3896E01854N3659	PS	8.24	16.36	37.89	S000	Str	PYes	Var								37891636	30.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02280N3610_S005	E02113N3823E02873N3483	PS	8.71	22.8	36.1	S005	Str	PNo	Hom								36102280	57.0
E01548N3896E01854N3659-PS-Str_PYes_Hom-M850_E01690N3715_S000	E01548N3896E01854N3659	PS	8.5	16.9	37.15	S000	Str	PYes	Hom								37151689	42.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02294N3618_S004	E02113N3823E02873N3483	PS	8.61	22.94	36.18	S004	Str	PNo	Var								36182294	54.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01650N3761_S000	E01548N3896E01854N3659	PS	8.5	16.5	37.61	S000	Str	PYes	Var								37611650	26.0
E01577N3897E01966N3571-PS-Mur_PYes_Var-M754_E01797N3730_S000	E01577N3897E01966N3571	PS	7.54	17.97	37.3	S000	Mur	PYes	Var								37291797	30.0
E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02079N3631_S003	E01849N3766E02950N3220	PS	8.61	20.79	36.31	S003	Str	PYes	Var								36312079	48.0
E01577N3897E01966N3571-PS-Str_PYes_Var-M774_E01863N3828_S000	E01577N3897E01966N3571	PS	7.74	18.63	38.28	S000	Str	PYes	Var								38281863	15.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02245N3515_S003	E02020N3739E02658N3366	PS	9.02	22.45	35.15	S003	Str	PYes	Var								35152245	130.0
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M850_E01718N3822_S000	E01548N3896E01854N3659	PS	8.5	17.18	38.22	S000	Mur	PYes	Hom								38221718	33.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02217N3548_S005	E02020N3739E02658N3366	PS	9.02	22.17	35.48	S005	Str	PYes	Hom								35472217	131.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M792_E01632N3846_S000	E01517N3917E01678N3772	PS	7.92	16.32	38.46	S000	Mur	PNo	Hom								38461632	15.0
E01577N3897E01966N3571-PS-Mur_PYes_Var-M837_E01762N3719_S000	E01577N3897E01966N3571	PS	8.37	17.62	37.19	S000	Mur	PYes	Var								37191762	29.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02209N3537_S003	E02020N3739E02658N3366	PS	9.02	22.09	35.37	S003	Str	PYes	Hom								35362209	127.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02306N3593_S004	E02113N3823E02873N3483	PS	8.61	23.06	35.93	S004	Str	PNo	Var								35932306	68.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02350N3576_S005	E02113N3823E02873N3483	PS	8.71	23.5	35.76	S005	Str	PNo	Var								35762350	68.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02206N3569_S004	E02020N3739E02658N3366	PS	9.02	22.06	35.69	S004	Str	PYes	Var								35692206	110.0
E01577N3897E01966N3571-PS-Str_PYes_Hom-M824_E01817N3788_S000	E01577N3897E01966N3571	PS	8.24	18.17	37.88	S000	Str	PYes	Hom								37881817	30.0
E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02054N3653_S001	E01849N3766E02950N3220	PS	8.61	20.54	36.53	S001	Str	PYes	Var								36532054	40.0
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02201N3524_S001	E02020N3739E02658N3366	PS	8.88	22.01	35.24	S001	Mur	PYes	Hom								35242201	114.0
E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02054N3653_S001	E01849N3766E02950N3220	PS	8.61	20.54	36.53	S001	Str	PYes	Hom								36532054	40.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02280N3610_S001	E02113N3823E02873N3483	PS	8.61	22.8	36.1	S001	Mur	PNo	Hom								36102280	57.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02294N3618_S004	E02113N3823E02873N3483	PS	8.61	22.94	36.18	S004	Mur	PNo	Hom								36182294	54.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02344N3564_S000	E02113N3823E02873N3483	PS	8.5	23.44	35.64	S000	Str	PNo	Hom								35642344	58.0
E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02079N3631_S003	E01849N3766E02950N3220	PS	8.71	20.79	36.31	S003	Str	PYes	Hom								36312079	48.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01653N3723_S000	E01548N3896E01854N3659	PS	7.92	16.53	37.23	S000	Mur	PYes	Var								37221653	18.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02383N3566_S002	E02113N3823E02873N3483	PS	8.71	23.83	35.66	S002	Str	PNo	Var								35652383	40.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01600N3777_S000	E01548N3896E01854N3659	PS	7.32	16.0	37.77	S000	Mur	PYes	Var								37771600	31.0
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02409N3467_S005	E02020N3739E02658N3366	PS	9.02	24.09	34.67	S005	Mur	PYes	Hom								34672409	103.0
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01689N3734_S000	E01548N3896E01854N3659	PS	8.37	16.89	37.34	S000	Str	PYes	Hom								37341689	33.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02202N3553_S001	E02020N3739E02658N3366	PS	9.02	22.02	35.53	S001	Str	PYes	Hom								35532202	121.0
E01517N3917E01678N3772-PS-Mur_PYes_Var-M754_E01563N3803_S000	E01517N3917E01678N3772	PS	7.54	15.63	38.03	S000	Mur	PYes	Var								38031563	16.0
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02408N3442_S001	E02020N3739E02658N3366	PS	8.88	24.08	34.42	S001	Mur	PYes	Var								34422408	102.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01664N3733_S000	E01548N3896E01854N3659	PS	8.09	16.64	37.33	S000	Mur	PYes	Var								37331664	13.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02349N3553_S000	E02113N3823E02873N3483	PS	8.5	23.49	35.53	S000	Str	PNo	Hom								35532349	30.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02272N3638_S002	E02113N3823E02873N3483	PS	8.61	22.72	36.38	S002	Mur	PNo	Var								36382272	66.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M850_E01732N3794_S000	E01548N3896E01854N3659	PS	8.5	17.32	37.94	S000	Mur	PYes	Var								37941732	36.0
E01849N3766E02950N3220-PS-Mur_PYes_Hom-M861_E02072N3658_S002	E01849N3766E02950N3220	PS	8.61	20.72	36.58	S002	Mur	PYes	Hom								36582072	48.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02367N3571_S003	E02113N3823E02873N3483	PS	8.61	23.67	35.71	S003	Mur	PNo	Hom								35712367	54.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M774_E01812N3865_S000	E01548N3896E01854N3659	PS	7.74	18.12	38.65	S000	Mur	PYes	Var								38651812	17.0
E01517N3917E01678N3772-PS-Mur_PNo_Var-M754_E01575N3795_S000	E01517N3917E01678N3772	PS	7.54	15.75	37.95	S000	Mur	PNo	Var								37951575	30.0
E01577N3897E01966N3571-PS-Mur_PYes_Var-M774_E01817N3788_S000	E01577N3897E01966N3571	PS	7.74	18.17	37.88	S000	Mur	PYes	Var								37881817	30.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02236N3526_S003	E02020N3739E02658N3366	PS	9.02	22.36	35.26	S003	Str	PYes	Var								35262236	131.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02293N3602_S000	E02113N3823E02873N3483	PS	8.5	22.93	36.02	S000	Str	PNo	Hom								36022293	69.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02335N3587_S002	E02113N3823E02873N3483	PS	8.61	23.35	35.87	S002	Mur	PNo	Var								35862335	56.0
E01548N3896E01854N3659-PS-Str_PNo_Hom-M774_E01611N3806_S000	E01548N3896E01854N3659	PS	7.74	16.11	38.06	S000	Str	PNo	Hom								38061611	34.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01701N3725_S000	E01548N3896E01854N3659	PS	8.37	17.01	37.25	S000	Str	PYes	Var								37251701	37.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02335N3587_S004	E02113N3823E02873N3483	PS	8.61	23.35	35.87	S004	Str	PNo	Var								35862335	56.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02276N3623_S001	E02113N3823E02873N3483	PS	8.71	22.76	36.23	S001	Str	PNo	Hom								36222276	63.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02259N3628_S005	E02113N3823E02873N3483	PS	8.71	22.59	36.28	S005	Str	PNo	Hom								36282259	76.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M824_E01689N3734_S000	E01548N3896E01854N3659	PS	8.24	16.89	37.34	S000	Mur	PYes	Var								37341689	33.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02348N3591_S002	E02113N3823E02873N3483	PS	8.71	23.48	35.91	S002	Str	PNo	Var								35902348	40.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02144N3587_S005	E02020N3739E02658N3366	PS	8.88	21.44	35.87	S005	Str	PYes	Hom								35862144	107.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02226N3659_S004	E02113N3823E02873N3483	PS	8.61	22.26	36.59	S004	Str	PNo	Var								36592226	68.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02383N3566_S001	E02113N3823E02873N3483	PS	8.71	23.83	35.66	S001	Str	PNo	Var								35652383	40.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02229N3514_S003	E02020N3739E02658N3366	PS	9.02	22.29	35.14	S003	Str	PYes	Hom								35142229	121.0
E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01623N3797_S000	E01548N3896E01854N3659	PS	8.24	16.23	37.97	S000	Str	PYes	Hom								37971623	30.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02304N3498_S004	E02020N3739E02658N3366	PS	9.02	23.04	34.98	S004	Str	PYes	Var								34972304	117.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02144N3587_S002	E02020N3739E02658N3366	PS	9.02	21.44	35.87	S002	Str	PYes	Hom								35862144	107.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02245N3515_S002	E02020N3739E02658N3366	PS	9.02	22.45	35.15	S002	Str	PYes	Hom								35152245	130.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02361N3475_S004	E02020N3739E02658N3366	PS	8.88	23.61	34.75	S004	Str	PYes	Hom								34752361	116.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M880_E02335N3600_S004	E02113N3823E02873N3483	PS	8.8	23.35	36.0	S004	Str	PNo	Var								36002335	50.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01703N3706_S000	E01548N3896E01854N3659	PS	8.37	17.03	37.06	S000	Str	PYes	Var								37061703	42.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02226N3538_S002	E02020N3739E02658N3366	PS	8.88	22.26	35.38	S002	Str	PYes	Var								35382226	133.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02217N3548_S004	E02020N3739E02658N3366	PS	9.02	22.17	35.48	S004	Str	PYes	Hom								35472217	131.0
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M850_E01727N3708_S000	E01548N3896E01854N3659	PS	8.5	17.27	37.08	S000	Mur	PYes	Hom								37081727	44.0
E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01710N3774_S000	E01548N3896E01854N3659	PS	8.37	17.1	37.74	S000	Str	PYes	Hom								37741710	38.0
E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01774N3710_S000	E01577N3897E01966N3571	PS	8.37	17.74	37.1	S000	Str	PYes	Var								37101773	38.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02253N3503_S004	E02020N3739E02658N3366	PS	9.02	22.53	35.03	S004	Str	PYes	Var								35032253	124.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02383N3566_S003	E02113N3823E02873N3483	PS	8.71	23.83	35.66	S003	Str	PNo	Var								35652383	40.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02367N3571_S003	E02113N3823E02873N3483	PS	8.8	23.67	35.71	S003	Str	PNo	Hom								35712367	54.0
E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02079N3631_S002	E01849N3766E02950N3220	PS	8.71	20.79	36.31	S002	Str	PYes	Hom								36312079	48.0
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01628N3741_S000	E01548N3896E01854N3659	PS	8.09	16.28	37.41	S000	Mur	PYes	Hom								37401628	21.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01791N3825_S000	E01548N3896E01854N3659	PS	7.92	17.91	38.25	S000	Str	PYes	Var								38251791	29.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02194N3581_S005	E02020N3739E02658N3366	PS	9.02	21.94	35.81	S005	Str	PYes	Hom								35812194	117.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02408N3442_S005	E02020N3739E02658N3366	PS	9.02	24.08	34.42	S005	Str	PYes	Var								34422408	102.0
E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01729N3669_S000	E01577N3897E01966N3571	PS	8.37	17.29	36.69	S000	Str	PYes	Var								36691729	34.0
E01577N3897E01966N3571-PS-Str_PYes_Var-M774_E01773N3729_S000	E01577N3897E01966N3571	PS	7.74	17.73	37.29	S000	Str	PYes	Var								37291773	30.0
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01600N3777_S000	E01548N3896E01854N3659	PS	7.92	16.0	37.77	S000	Mur	PYes	Hom								37771600	31.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02229N3514_S005	E02020N3739E02658N3366	PS	9.02	22.29	35.14	S005	Str	PYes	Var								35142229	121.0
E01577N3897E01966N3571-PS-Mur_PYes_Var-M824_E01840N3808_S000	E01577N3897E01966N3571	PS	8.24	18.4	38.08	S000	Mur	PYes	Var								38081839	22.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02183N3593_S004	E02020N3739E02658N3366	PS	9.02	21.83	35.93	S004	Str	PYes	Var								35932183	113.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M824_E01727N3708_S000	E01548N3896E01854N3659	PS	8.24	17.27	37.08	S000	Str	PYes	Var								37081727	44.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02335N3468_S005	E02020N3739E02658N3366	PS	8.88	23.35	34.68	S005	Str	PYes	Hom								34682335	121.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01589N3767_S000	E01548N3896E01854N3659	PS	7.54	15.89	37.67	S000	Str	PYes	Var								37671589	12.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02236N3646_S002	E02113N3823E02873N3483	PS	8.61	22.36	36.46	S002	Str	PNo	Var								36462236	69.0
E01577N3897E01966N3571-PS-Str_PYes_Var-M754_E01739N3699_S000	E01577N3897E01966N3571	PS	7.54	17.39	36.99	S000	Str	PYes	Var								36991739	46.0
E01577N3897E01966N3571-PS-Mur_PYes_Var-M824_E01796N3749_S000	E01577N3897E01966N3571	PS	8.24	17.96	37.49	S000	Mur	PYes	Var								37491796	36.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02387N3554_S004	E02113N3823E02873N3483	PS	8.61	23.87	35.54	S004	Mur	PNo	Var								35542387	19.0
E01964N3926E02184N3685-PS-Str_PYes_Hom-M837_E02088N3719_S000	E01964N3926E02184N3685	PS	8.37	20.88	37.19	S000	Str	PYes	Hom								37192088	47.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01687N3753_S000	E01548N3896E01854N3659	PS	8.09	16.87	37.53	S000	Str	PYes	Var								37531687	34.0
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02321N3496_S002	E02020N3739E02658N3366	PS	8.88	23.21	34.96	S002	Mur	PYes	Hom								34962321	132.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01772N3748_S000	E01548N3896E01854N3659	PS	7.32	17.72	37.48	S000	Str	PYes	Var								37471772	39.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02184N3552_S005	E02020N3739E02658N3366	PS	9.02	21.84	35.52	S005	Str	PYes	Var								35522184	118.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M850_E01705N3831_S000	E01548N3896E01854N3659	PS	8.5	17.05	38.31	S000	Mur	PYes	Var								38311705	30.0
E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02072N3658_S005	E01849N3766E02950N3220	PS	8.71	20.72	36.58	S005	Str	PYes	Hom								36582072	48.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02287N3633_S005	E02113N3823E02873N3483	PS	8.61	22.87	36.33	S005	Mur	PNo	Var								36332287	63.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02183N3593_S005	E02020N3739E02658N3366	PS	9.02	21.83	35.93	S005	Str	PYes	Var								35932183	113.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M880_E02373N3559_S002	E02113N3823E02873N3483	PS	8.8	23.73	35.59	S002	Str	PNo	Var								35592373	42.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02308N3607_S003	E02113N3823E02873N3483	PS	8.8	23.08	36.07	S003	Str	PNo	Hom								36072308	68.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M880_E02348N3591_S004	E02113N3823E02873N3483	PS	8.8	23.48	35.91	S004	Str	PNo	Var								35902348	40.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02217N3548_S005	E02020N3739E02658N3366	PS	9.02	22.17	35.48	S005	Str	PYes	Var								35472217	131.0
E02113N3823E02873N3483-PS-Mur_PNo_Var-M871_E02383N3566_S005	E02113N3823E02873N3483	PS	8.71	23.83	35.66	S005	Mur	PNo	Var								35652383	40.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M824_E01656N3685_S000	E01548N3896E01854N3659	PS	8.24	16.56	36.85	S000	Mur	PYes	Var								36851655	24.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M774_E01588N3786_S000	E01548N3896E01854N3659	PS	7.74	15.88	37.86	S000	Str	PYes	Var								37861588	16.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02253N3503_S005	E02020N3739E02658N3366	PS	9.02	22.53	35.03	S005	Str	PYes	Var								35032253	124.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02408N3442_S002	E02020N3739E02658N3366	PS	9.02	24.08	34.42	S002	Str	PYes	Hom								34422408	102.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02321N3597_S004	E02113N3823E02873N3483	PS	8.8	23.21	35.97	S004	Str	PNo	Hom								35972321	64.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02226N3538_S005	E02020N3739E02658N3366	PS	9.02	22.26	35.38	S005	Str	PYes	Hom								35382226	133.0
E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02344N3478_S004	E02020N3739E02658N3366	PS	9.02	23.44	34.78	S004	Mur	PYes	Var								34782344	127.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M850_E01718N3822_S000	E01548N3896E01854N3659	PS	8.5	17.18	38.22	S000	Mur	PYes	Var								38221718	33.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02478N3458_S005	E02020N3739E02658N3366	PS	9.02	24.78	34.58	S005	Str	PYes	Var								34582478	24.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01647N3799_S000	E01548N3896E01854N3659	PS	8.09	16.47	37.99	S000	Str	PYes	Var								37991647	31.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02144N3587_S002	E02020N3739E02658N3366	PS	8.88	21.44	35.87	S002	Str	PYes	Var								35862144	107.0
E01577N3897E01966N3571-PS-Mur_PYes_Hom-M837_E01796N3749_S000	E01577N3897E01966N3571	PS	8.37	17.96	37.49	S000	Mur	PYes	Hom								37491796	36.0
E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02393N3468_S001	E02020N3739E02658N3366	PS	9.02	23.93	34.68	S001	Mur	PYes	Var								34682393	117.0
E02020N3739E02658N3366-PS-Mur_PNo_Hom-M850_E02182N3695_S000	E02020N3739E02658N3366	PS	8.5	21.82	36.95	S000	Mur	PNo	Hom								36952182	39.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02209N3537_S002	E02020N3739E02658N3366	PS	9.02	22.09	35.37	S002	Str	PYes	Var								35362209	127.0
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02206N3569_S001	E02020N3739E02658N3366	PS	8.88	22.06	35.69	S001	Mur	PYes	Hom								35692206	110.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02232N3550_S001	E02020N3739E02658N3366	PS	9.02	22.32	35.5	S001	Str	PYes	Hom								35502232	84.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02184N3552_S004	E02020N3739E02658N3366	PS	9.02	21.84	35.52	S004	Str	PYes	Var								35522184	118.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M837_E01699N3763_S000	E01548N3896E01854N3659	PS	8.37	16.99	37.63	S000	Str	PYes	Var								37631698	35.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02243N3633_S002	E02113N3823E02873N3483	PS	8.61	22.43	36.33	S002	Str	PNo	Var								36332243	65.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01661N3771_S000	E01548N3896E01854N3659	PS	8.09	16.61	37.71	S000	Mur	PYes	Var								37711661	30.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01701N3725_S000	E01548N3896E01854N3659	PS	8.37	17.01	37.25	S000	Mur	PYes	Var								37251701	37.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02373N3559_S004	E02113N3823E02873N3483	PS	8.61	23.73	35.59	S004	Mur	PNo	Hom								35592373	42.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02200N3695_S000	E02113N3823E02873N3483	PS	8.5	22.0	36.95	S000	Str	PNo	Hom								36952200	38.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02171N3606_S004	E02020N3739E02658N3366	PS	8.88	21.71	36.06	S004	Str	PYes	Var								36062171	104.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02280N3610_S001	E02113N3823E02873N3483	PS	8.71	22.8	36.1	S001	Str	PNo	Var								36102280	57.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M850_E02375N3521_S000	E02113N3823E02873N3483	PS	8.5	23.75	35.21	S000	Str	PYes	Hom								35212375	12.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M837_E02218N3695_S000	E02113N3823E02873N3483	PS	8.37	22.18	36.95	S000	Str	PNo	Hom								36952218	28.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01640N3732_S000	E01548N3896E01854N3659	PS	8.09	16.4	37.32	S000	Str	PYes	Var								37321639	26.0
E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02083N3604_S002	E01849N3766E02950N3220	PS	8.61	20.83	36.04	S002	Str	PYes	Hom								36042083	33.0
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02253N3503_S002	E02020N3739E02658N3366	PS	9.02	22.53	35.03	S002	Str	PYes	Var								35032253	124.0
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02483N3431_S001	E02020N3739E02658N3366	PS	8.88	24.83	34.31	S001	Mur	PYes	Hom								34312483	58.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02467N3448_S001	E02020N3739E02658N3366	PS	9.02	24.67	34.48	S001	Str	PYes	Hom								34472467	79.0
E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S001	E01849N3766E02950N3220	PS	8.71	20.72	36.58	S001	Str	PYes	Var								36582072	48.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02367N3571_S001	E02113N3823E02873N3483	PS	8.61	23.67	35.71	S001	Mur	PNo	Hom								35712367	54.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02287N3633_S001	E02113N3823E02873N3483	PS	8.71	22.87	36.33	S001	Str	PNo	Hom								36332287	63.0
E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01600N3777_S000	E01548N3896E01854N3659	PS	8.09	16.0	37.77	S000	Mur	PYes	Var								37771600	31.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01729N3832_S000	E01548N3896E01854N3659	PS	8.5	17.29	38.32	S000	Str	PYes	Var								38321729	33.0
E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02061N3628_S005	E01849N3766E02950N3220	PS	8.61	20.61	36.28	S005	Str	PYes	Var								36282061	37.0
E01577N3897E01966N3571-PS-Str_PYes_Hom-M850_E01729N3669_S000	E01577N3897E01966N3571	PS	8.5	17.29	36.69	S000	Str	PYes	Hom								36691729	34.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02144N3587_S004	E02020N3739E02658N3366	PS	9.02	21.44	35.87	S004	Str	PYes	Hom								35862144	107.0
E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02061N3628_S002	E01849N3766E02950N3220	PS	8.61	20.61	36.28	S002	Str	PYes	Hom								36282061	37.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01634N3664_S000	E01548N3896E01854N3659	PS	7.92	16.34	36.64	S000	Str	PYes	Var								36641634	13.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01760N3738_S000	E01548N3896E01854N3659	PS	7.54	17.6	37.38	S000	Str	PYes	Var								37381760	42.0
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02335N3587_S005	E02113N3823E02873N3483	PS	8.61	23.35	35.87	S005	Str	PNo	Var								35862335	56.0
