,mse,r2,g,l2n,true,pred,truemax,predmax,id
6117,0.0015359369144260263,0.8492570811086814,0.07018123612194971,0.10141576268181052,8643.0,9700.0,2.1302714347839355,1.7882130146026611,BS_manning003/E01446N4259E02038N3783-BS-M754_E01980N3850_D010_S157D70R090_A001972_S039
6118,0.013736969607693756,0.9500657929829248,0.025084254956993624,0.5433335020599479,84348.0,73953.0,8.267058372497559,7.697113037109375,BS_manning003/E01470N3877E01631N3641-BS-M792_E01583N3715_D010_S022D30R090_A008541_S034
6119,0.004355586015973556,0.8980598029948247,0.042157965273716735,0.2084683908315457,17261.0,20231.0,3.2322425842285156,3.3675537109375,BS_manning003/E01267N3753E01646N3535-BS-M774_E01592N3602_D107_S067D10R090_A003139_S050
6120,0.007353483264063546,0.8137650262223362,0.09869284581403626,0.19993994468987075,14233.0,14999.0,6.412813186645508,3.2811925411224365,BS_manning003/E01470N3877E01631N3641-BS-M732_E01587N3737_D010_S202D70R270_A002108_S017
6121,0.0023398303329956443,0.8658449059775476,0.09101850773060272,0.132975736519902,12418.0,8354.0,2.0561017990112305,1.558288335800171,BS_manning003/E01267N3753E01646N3535-BS-M754_E01523N3692_D172_S112D90R090_A001972_S039
6122,0.03508789893345482,0.7959060823852098,0.11988419922136428,0.42470994313159754,61210.0,42571.0,5.932145595550537,4.976161956787109,BS_manning003/E01470N3877E01631N3641-BS-M809_E01587N3737_D010_S292D30R090_A012497_S042
6123,0.0008567503858417421,0.9190620047974196,0.03635526235849362,0.10344074024362218,9565.0,9746.0,2.055191993713379,1.8976259231567383,BS_manning003/E01889N4173E02097N3847-BS-M792_E02043N3872_D010_S112D70R270_A008541_S034
6124,0.0045217912821747,0.7759977584012104,0.09142668578589364,0.14286327268518495,10657.0,14239.0,3.598339080810547,2.6501760482788086,BS_manning003/E01446N4259E02038N3783-BS-M754_E01970N3805_D010_S157D30R270_A001972_S039
6125,0.0008787159671855298,0.7317293113558866,0.10354217177825353,0.05745036852756046,6392.0,7047.0,1.2592096328735352,1.2865415811538696,BS_manning003/E01889N4173E02097N3847-BS-M754_E01967N3917_D010_S292D30R270_A003524_S022
6126,0.09598244300203569,0.857381394833302,0.055585003462296,0.8884919877777645,150915.0,192076.0,12.403103828430176,7.786413192749023,BS_manning003/E01470N3877E01631N3641-BS-M792_E01534N3760_D010_S022D70R090_A008541_S034
6127,0.06611513841458677,0.931938836494217,0.025600723694570227,1.108664686510223,227723.0,221775.0,12.732386589050293,12.07252311706543,BS_manning003/E01267N3753E01646N3535-BS-M774_E01530N3737_D010_S157D70R270_A003139_S050
6128,0.0097746969714922,0.7850565120693718,0.1574404731624922,0.21547717702373423,19649.0,12159.0,3.2511374950408936,1.912636160850525,BS_manning003/E01470N3877E01631N3641-BS-M754_E01538N3782_D140_S112D90R270_A003524_S022
