timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/02/14 14:14:59.126, 0, NVIDIA A100 80GB PCIe, 70 %, 29 %, 27641 MiB, 81920 MiB
2025/02/14 14:14:59.127, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:14:59.128, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:14:59.129, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:15:29.130, 0, NVIDIA A100 80GB PCIe, 63 %, 25 %, 27641 MiB, 81920 MiB
2025/02/14 14:15:29.131, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:15:29.132, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:15:29.133, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:15:59.135, 0, NVIDIA A100 80GB PCIe, 68 %, 27 %, 27641 MiB, 81920 MiB
2025/02/14 14:15:59.136, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:15:59.137, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:15:59.138, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:16:29.139, 0, NVIDIA A100 80GB PCIe, 71 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:16:29.140, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:16:29.141, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:16:29.142, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:16:59.143, 0, NVIDIA A100 80GB PCIe, 71 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:16:59.144, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:16:59.144, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:16:59.145, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:17:29.147, 0, NVIDIA A100 80GB PCIe, 69 %, 27 %, 27641 MiB, 81920 MiB
2025/02/14 14:17:29.147, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:17:29.148, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:17:29.148, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:17:59.149, 0, NVIDIA A100 80GB PCIe, 69 %, 29 %, 27641 MiB, 81920 MiB
2025/02/14 14:17:59.150, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:17:59.151, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:17:59.152, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:18:29.153, 0, NVIDIA A100 80GB PCIe, 70 %, 28 %, 27641 MiB, 81920 MiB
2025/02/14 14:18:29.154, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:18:29.155, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:18:29.156, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:18:59.158, 0, NVIDIA A100 80GB PCIe, 63 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:18:59.158, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:18:59.159, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:18:59.159, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:19:29.161, 0, NVIDIA A100 80GB PCIe, 59 %, 28 %, 27641 MiB, 81920 MiB
2025/02/14 14:19:29.162, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:19:29.163, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:19:29.163, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:19:59.165, 0, NVIDIA A100 80GB PCIe, 51 %, 21 %, 27641 MiB, 81920 MiB
2025/02/14 14:19:59.165, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:19:59.166, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:19:59.166, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
