,Train_size,RP,Site,True,Pred,Bias,Sigma
0,228,1000.0,1,0.0,0.0,0.0,0.0
1,228,10000.0,1,0.0,0.0,0.0,0.0
2,228,100000.0,1,0.935136269438345,0.8942196377923802,-0.04091663164596482,0.5128156967182139
3,228,1000000.0,1,3.6790206118969158,3.5889915490566007,-0.09002906284031509,1.504963046702318
4,228,10000000.0,1,7.191610864315678,7.824892721098063,0.6332818567823848,2.2811405702851424
5,228,100000000.0,1,9.2129017221681,9.871552097165187,0.6586503749970873,2.281140570285144
6,228,1000000000.0,1,10.56025115111922,11.088129338721552,0.5278781876023331,2.2811405702851424
7,228,1000.0,2,0.0,0.281763247585466,0.281763247585466,0.23387657769684767
8,228,10000.0,2,2.3625700055125134,2.6084865401048707,0.2459165345923573,0.5156047240206241
9,228,100000.0,2,3.6976422985458473,4.114651981236134,0.41700968269028715,0.7459032075314571
10,228,1000000.0,2,4.750009408662028,5.037725487188226,0.2877160785261976,0.8279004346332393
11,228,10000000.0,2,5.884901235129102,5.698175751156041,-0.18672548397306077,0.830415207603802
12,228,100000000.0,2,6.658851510462244,6.2993652215765,-0.3594862888857442,0.830415207603802
13,228,1000000000.0,2,7.6065282620943995,6.49383550353811,-1.1126927585562898,0.830415207603802
14,228,1000.0,3,0.0,0.0,0.0,0.0
15,228,10000.0,3,0.3369153710234869,0.3952427744808032,0.058327403457316296,0.2627289413071346
16,228,100000.0,3,1.1357483244003712,1.12042958986713,-0.015318734533241285,0.32063881608666045
17,228,1000000.0,3,2.459920202302472,2.604954410788909,0.1450342084864369,0.5802901450725364
18,228,10000000.0,3,4.3939462927390185,4.150806866006465,-0.2431394267325535,0.47023511755877934
19,228,100000000.0,3,5.974077437641258,4.827776713153033,-1.146300724488225,0.47023511755877934
20,228,1000000000.0,3,5.982100089937212,5.070279756485448,-0.9118203334517645,0.47023511755877934
21,228,1000.0,4,0.0,0.0,0.0,0.0
22,228,10000.0,4,0.5825024936169365,0.5618065352337401,-0.020695958383196378,0.29243727906686745
