,Train_size,RP,Site,True,Pred,Bias,Sigma
0,225,1000.0,1,0.0,0.0,0.0,0.0
1,225,10000.0,1,0.0,1.0066085213313618,1.0066085213313618,1.0828714144332456
2,225,100000.0,1,2.410258236361121,3.490367497732757,1.0801092613716357,2.002686478727376
3,225,1000000.0,1,7.4243857134306115,6.995389242155575,-0.4289964712750365,2.481240620310153
4,225,10000000.0,1,7.433682631739302,8.171697168965459,0.7380145372261566,2.6213106553276635
5,225,100000000.0,1,9.204977452232926,9.156741636042955,-0.04823581618997075,2.6213106553276635
6,225,1000000000.0,1,9.433373685032144,9.633481249763875,0.20010756473173075,2.6213106553276635
7,225,1000.0,2,0.0,0.0,0.0,0.0
8,225,10000.0,2,0.7350225362935461,1.0407897407487197,0.3057672044551736,0.6635204774368133
9,225,100000.0,2,2.2770984305471704,2.377768490161078,0.10067005961390763,0.7141953303995106
10,225,1000000.0,2,4.117844824408092,4.855286468815636,0.7374416444075438,1.1904638511402492
11,225,10000000.0,2,5.421263629077283,5.892501365624408,0.471237736547125,1.0005002501250626
12,225,100000000.0,2,6.6891201351536544,6.731222308767228,0.04210217361357316,0.9904952476238114
13,225,1000000000.0,2,7.022159145917837,7.671870291567262,0.6497111456494249,1.0005002501250635
14,225,1000.0,3,0.0,0.0,0.0,0.0
15,225,10000.0,3,0.0,0.0,0.0,0.0
16,225,100000.0,3,0.8895605648252498,1.1520042426120263,0.26244367778677646,0.720595931698581
17,225,1000000.0,3,2.6678405640613527,3.2152828741930297,0.547442310131677,0.8804402201100552
18,225,10000000.0,3,4.362668852919924,4.385816234133116,0.023147381213191487,0.9703274743038897
19,225,100000000.0,3,6.160423136706249,5.132779698481404,-1.0276434382248452,1.2806403201600807
20,225,1000000000.0,3,6.37644754044327,5.407110068035155,-0.9693374724081156,1.2806403201600807
21,225,1000.0,4,0.0,0.4232455891571278,0.4232455891571278,0.0
22,225,10000.0,4,1.1373701959312041,1.4245776864303838,0.2872074904991797,0.6691221761353208
23,225,100000.0,4,2.974338182902808,2.8412648618158416,-0.13307332108696635,0.6937782693891834
24,225,1000000.0,4,4.582247778434207,5.165873806157271,0.5836260277230645,0.9105028192447753
25,225,10000000.0,4,6.349771234316684,6.4515053122028,0.10173407788611577,0.9185676031605228
26,225,100000000.0,4,7.722310942983323,7.455799836553991,-0.2665111064293315,0.920460230115058
27,225,1000000000.0,4,8.993180763905627,7.838325675839057,-1.1548550880665704,1.5507753876938466
28,225,1000.0,5,0.6755648752224959,0.8292277193194322,0.1536628440969363,0.05473009107440863
29,225,10000.0,5,3.060441298481421,3.144561973693806,0.08412067521238509,0.6277907775282645
30,225,100000.0,5,4.940173073431346,5.010505916150696,0.07033284271934992,0.9291805760924925
31,225,1000000.0,5,6.714517771123502,7.697488370540933,0.9829705994174311,1.070535267633817
32,225,10000000.0,5,8.618955803473286,9.025677321329617,0.40672151785633126,1.070490260208727
33,225,100000000.0,5,10.08349153327847,10.14714550939041,0.06365397611194012,1.0705352676338151
34,225,1000000000.0,5,11.154261304175764,10.664027629259335,-0.49023367491642844,1.0605302651325665
